date,000852.SH_换手率均值_60日
2015-01-12,4.196533333333333
2015-01-13,4.167096666666667
2015-01-14,4.14935
2015-01-15,4.128218333333334
2015-01-16,4.122145
2015-01-19,4.134041666666667
2015-01-20,4.152616666666667
2015-01-21,4.1822
2015-01-22,4.193921666666666
2015-01-23,4.185241666666667
2015-01-26,4.177693333333334
2015-01-27,4.187695
2015-01-28,4.1865733333333335
2015-01-29,4.174716666666667
2015-01-30,4.17536
2015-02-02,4.166708333333333
2015-02-03,4.152489999999999
2015-02-04,4.151941666666667
2015-02-05,4.14049
2015-02-06,4.14806
2015-02-09,4.126705
2015-02-10,4.117533333333333
2015-02-11,4.112715
2015-02-12,4.11357
2015-02-13,4.122833333333333
2015-02-16,4.137308333333333
2015-02-17,4.14374
2015-02-25,4.1318150000000005
2015-02-26,4.12061
2015-02-27,4.110996666666667
2015-03-02,4.120393333333333
2015-03-03,4.13399
2015-03-04,4.141463333333333
2015-03-05,4.159526666666666
2015-03-06,4.142943333333333
2015-03-09,4.113748333333334
2015-03-10,4.079776666666667
2015-03-11,4.061818333333333
2015-03-12,4.022043333333333
2015-03-13,4.015306666666667
2015-03-16,4.036246666666666
2015-03-17,4.082445
2015-03-18,4.11809
2015-03-19,4.160781666666667
2015-03-20,4.189916666666666
2015-03-23,4.253408333333334
2015-03-24,4.3321716666666665
2015-03-25,4.377191666666667
2015-03-26,4.446908333333334
2015-03-27,4.49143
2015-03-30,4.553681666666666
2015-03-31,4.608958333333333
2015-04-01,4.649075
2015-04-02,4.719451666666667
2015-04-03,4.794804999999999
2015-04-07,4.855248333333334
2015-04-08,4.92064
2015-04-09,4.986091666666667
2015-04-10,5.031303333333333
2015-04-13,5.099548333333333
2015-04-14,5.176011666666667
2015-04-15,5.243771666666666
2015-04-16,5.296806666666667
2015-04-17,5.371791666666667
2015-04-20,5.446128333333333
2015-04-21,5.484905
2015-04-22,5.549023333333334
2015-04-23,5.605788333333334
2015-04-24,5.6519466666666665
2015-04-27,5.6964266666666665
2015-04-28,5.7429033333333335
2015-04-29,5.756196666666667
2015-04-30,5.785073333333333
2015-05-04,5.820708333333333
2015-05-05,5.863723333333334
2015-05-06,5.906333333333334
2015-05-07,5.9289966666666665
2015-05-08,5.95896
2015-05-11,6.002988333333334
2015-05-12,6.067278333333333
2015-05-13,6.1467583333333335
2015-05-14,6.22537
2015-05-15,6.289951666666666
2015-05-18,6.344363333333333
2015-05-19,6.391005000000001
2015-05-20,6.4606699999999995
2015-05-21,6.528788333333334
2015-05-22,6.620443333333333
2015-05-25,6.703033333333334
2015-05-26,6.781828333333333
2015-05-27,6.839146666666667
2015-05-28,6.905756666666666
2015-05-29,6.956235
2015-06-01,6.987785000000001
2015-06-02,7.043435
2015-06-03,7.111923333333334
2015-06-04,7.164988333333334
2015-06-05,7.234241666666667
2015-06-08,7.292893333333334
2015-06-09,7.331860000000001
2015-06-10,7.342034999999999
2015-06-11,7.3363283333333325
2015-06-12,7.347910000000001
2015-06-15,7.362048333333333
2015-06-16,7.368155
2015-06-17,7.348771666666666
2015-06-18,7.298596666666667
2015-06-19,7.257738333333333
2015-06-23,7.228116666666667
2015-06-24,7.233059999999999
2015-06-25,7.225033333333333
2015-06-26,7.200911666666667
2015-06-29,7.202941666666666
2015-06-30,7.205128333333334
2015-07-01,7.192691666666667
2015-07-02,7.164128333333333
2015-07-03,7.128231666666667
2015-07-06,7.12548
2015-07-07,7.067028333333334
2015-07-08,6.991608333333334
2015-07-09,6.947043333333332
2015-07-10,6.883660000000001
2015-07-13,6.867008333333333
2015-07-14,6.863898333333334
2015-07-15,6.867743333333333
2015-07-16,6.88172
2015-07-17,6.8663333333333325
2015-07-20,6.871248333333333
2015-07-21,6.873283333333333
2015-07-22,6.884328333333333
2015-07-23,6.9065883333333336
2015-07-24,6.967596666666666
2015-07-27,7.005903333333333
2015-07-28,7.0458549999999995
2015-07-29,7.054188333333333
2015-07-30,7.082183333333333
2015-07-31,7.093115
2015-08-03,7.092336666666667
2015-08-04,7.081564999999999
2015-08-05,7.072208333333333
