date,000852.SH_成交额
2014-10-17,116990767468.0
2014-10-20,98366962984.0
2014-10-21,97286472025.0
2014-10-22,92356801859.0
2014-10-23,91055540478.0
2014-10-24,74170107413.0
2014-10-27,77135355518.0
2014-10-28,108121603187.0
2014-10-29,139661086797.0
2014-10-30,129645347257.0
2014-10-31,113469639036.0
2014-11-03,110581394062.0
2014-11-04,110172629449.0
2014-11-05,93363462988.0
2014-11-06,97644985328.0
2014-11-07,119635428262.0
2014-11-10,99495256192.0
2014-11-11,126642459882.0
2014-11-12,84716108438.0
2014-11-13,104307528182.0
2014-11-14,76506096275.0
2014-11-17,82709787116.0
2014-11-18,80186257684.0
2014-11-19,92923455738.0
2014-11-20,83203223026.0
2014-11-21,91897708323.0
2014-11-24,120141606010.0
2014-11-25,129983737893.0
2014-11-26,138181876458.0
2014-11-27,144415219753.0
2014-11-28,155207923047.0
2014-12-01,139615870435.0
2014-12-02,127887726548.0
2014-12-03,168204447441.0
2014-12-04,174012459354.0
2014-12-05,195661960285.0
2014-12-08,175867837741.0
2014-12-09,201088499804.0
2014-12-10,134706489854.99998
2014-12-11,141142118740.0
2014-12-12,133718550421.0
2014-12-15,143201758167.0
2014-12-16,131645679208.0
2014-12-17,131583411881.0
2014-12-18,113318945250.0
2014-12-19,120186708124.0
2014-12-22,128343450030.0
2014-12-23,83223809001.0
2014-12-24,78907261747.0
2014-12-25,80771963584.0
2014-12-26,89956699888.0
2014-12-29,105583627386.0
2014-12-30,92129200848.0
2014-12-31,80295494990.0
2015-01-05,101288039748.0
2015-01-06,110059303584.0
2015-01-07,93244684969.0
2015-01-08,95807162552.0
2015-01-09,90795662347.0
2015-01-12,79555875170.0
2015-01-13,80323189593.0
2015-01-14,75375981829.0
2015-01-15,70026973105.0
2015-01-16,88875684146.0
2015-01-19,119568618369.0
2015-01-20,117445146776.0
2015-01-21,139532996524.0
2015-01-22,135752101664.0
2015-01-23,132046363308.0
2015-01-26,125562912754.0
2015-01-27,142896419488.0
2015-01-28,125692219574.0
2015-01-29,98415711887.0
2015-01-30,102158988720.0
2015-02-02,87187402675.0
2015-02-03,105804997944.0
2015-02-04,109847874606.0
2015-02-05,126547745568.0
2015-02-06,106945564103.0
2015-02-09,81516379644.0
2015-02-10,70776930508.0
2015-02-11,89656836641.0
2015-02-12,98892332770.0
2015-02-13,125125654204.0
2015-02-16,130187604341.0
2015-02-17,120361647331.0
2015-02-25,121332743130.0
2015-02-26,125678392132.0
2015-02-27,140801276195.0
2015-03-02,190683606647.0
2015-03-03,199684836849.0
2015-03-04,172199592131.0
2015-03-05,184251805420.0
2015-03-06,163047185987.0
2015-03-09,143537467817.0
2015-03-10,163534793677.0
2015-03-11,163381562011.0
2015-03-12,161712746497.0
2015-03-13,148486392608.0
2015-03-16,220881209851.0
2015-03-17,255291720086.0
2015-03-18,248036412145.0
2015-03-19,247708825152.0
2015-03-20,239794078497.0
2015-03-23,279995707026.0
2015-03-24,339224797353.0
2015-03-25,308615337508.0
2015-03-26,298915620846.0
2015-03-27,221507666425.0
2015-03-30,258115078683.0
2015-03-31,262456157937.0
2015-04-01,261377330103.0
2015-04-02,305776902595.0
2015-04-03,311259210885.0
2015-04-07,324407852277.0
2015-04-08,336182262240.0
2015-04-09,305710236040.0
2015-04-10,270626595987.99997
2015-04-13,310734138989.0
2015-04-14,314316250643.0
2015-04-15,277035088167.0
2015-04-16,238514946989.0
2015-04-17,280570398123.0
2015-04-20,296143105879.0
2015-04-21,263163939805.0
2015-04-22,316672686408.0
2015-04-23,336026494802.0
2015-04-24,316622096669.0
2015-04-27,318848099692.0
2015-04-28,299667942341.0
2015-04-29,246011968298.0
2015-04-30,266207266483.0
2015-05-04,243014729745.0
2015-05-05,262227610498.0
2015-05-06,250173174397.0
2015-05-07,207141706186.0
2015-05-08,247446737136.0
2015-05-11,323495426309.0
2015-05-12,361872954243.0
2015-05-13,360059491170.0
2015-05-14,342326521797.0
2015-05-15,322585154986.0
2015-05-18,324918257445.0
2015-05-19,346504436530.0
2015-05-20,418367649070.0
2015-05-21,416785493358.0
2015-05-22,491733845221.0
2015-05-25,468991081769.0
2015-05-26,491335374901.0
2015-05-27,512612941729.0
2015-05-28,560725590060.0
2015-05-29,451198081529.0
2015-06-01,422613190673.0
2015-06-02,482900102700.0
2015-06-03,503514256377.0
2015-06-04,475712217351.0
2015-06-05,532996000676.0
2015-06-08,485710798603.0
2015-06-09,388477746229.0
2015-06-10,418037110543.0
2015-06-11,438786620754.0
2015-06-12,483953090186.0
2015-06-15,497774397008.0
2015-06-16,420246781476.0
2015-06-17,384451082491.0
2015-06-18,364849210199.0
2015-06-19,304890416099.0
2015-06-23,301230056321.0
2015-06-24,334728589831.0
2015-06-25,349316863037.0
2015-06-26,266579599774.0
2015-06-29,301574712980.0
2015-06-30,358005801076.0
2015-07-01,341676647293.0
2015-07-02,262425999288.0
2015-07-03,230779720112.0
2015-07-06,264323432428.0
2015-07-07,78684955731.0
2015-07-08,93887151460.0
2015-07-09,129915950371.0
2015-07-10,92027745178.0
2015-07-13,169957844131.0
2015-07-14,250977945591.0
2015-07-15,289383299627.0
2015-07-16,267282377983.0
2015-07-17,262321171357.0
2015-07-20,348624376230.0
2015-07-21,320902960964.0
2015-07-22,344257232867.0
2015-07-23,370515106322.0
2015-07-24,418056044534.0
2015-07-27,364925894674.0
2015-07-28,317984991260.0
2015-07-29,283307533505.0
2015-07-30,309659108996.0
2015-07-31,223756536590.0
2015-08-03,202279481430.0
2015-08-04,238094684293.0
2015-08-05,282388060748.0
2015-08-06,209691017670.0
2015-08-07,281178894804.0
2015-08-10,346808273196.0
2015-08-11,375446921573.0
2015-08-12,311109314946.0
2015-08-13,315614595653.0
2015-08-14,368398869161.0
2015-08-17,347933584125.0
2015-08-18,396868978548.0
2015-08-19,333680341387.0
2015-08-20,302770744961.0
2015-08-21,245513430495.0
2015-08-24,137360602651.0
2015-08-25,131335953297.0
2015-08-26,232504159625.0
2015-08-27,192071721835.0
2015-08-28,231080766912.0
2015-08-31,202214001300.0
2015-09-01,151687542369.0
2015-09-02,158744087438.0
2015-09-07,151934624432.0
2015-09-08,147627469177.0
2015-09-09,236102455336.0
2015-09-10,182389580071.0
2015-09-11,163377710871.0
2015-09-14,186172643221.0
2015-09-15,140961322829.0
2015-09-16,165184453294.0
2015-09-17,220063200982.0
2015-09-18,158271273109.0
2015-09-21,186298024421.0
2015-09-22,217039256104.0
2015-09-23,190417420244.0
2015-09-24,185647161360.0
2015-09-25,183157735630.0
2015-09-28,140785636800.0
2015-09-29,146136609538.0
2015-09-30,122932647239.0
2015-10-08,179906343998.0
2015-10-09,200868765261.0
2015-10-12,274266626142.00003
2015-10-13,255741487825.0
2015-10-14,256032317440.0
2015-10-15,267470190642.0
2015-10-16,316748484267.0
2015-10-19,315738935649.0
2015-10-20,294886961141.0
2015-10-21,370866553863.0
2015-10-22,297896901534.0
2015-10-23,348636915556.0
2015-10-26,372251270702.0
2015-10-27,337026199759.0
2015-10-28,315707419264.0
2015-10-29,268593176249.0
2015-10-30,285902706941.0
2015-11-02,255116865760.0
2015-11-03,214570284360.0
2015-11-04,312030721147.0
2015-11-05,367574317093.0
2015-11-06,335999018927.0
2015-11-09,375662140020.0
2015-11-10,376311338581.0
2015-11-11,365478039552.0
2015-11-12,387833627586.0
2015-11-13,366732561440.0
2015-11-16,301659704827.0
2015-11-17,398803523058.0
2015-11-18,295722654159.0
2015-11-19,293759511413.0
2015-11-20,377355793768.0
2015-11-23,373132778434.0
2015-11-24,279783638446.0
2015-11-25,355974265066.0
2015-11-26,376940830492.0
2015-11-27,372029536495.0
2015-11-30,321899189667.0
2015-12-01,271316596513.0
2015-12-02,236802535284.0
2015-12-03,240931472172.0
2015-12-04,268457359658.0
2015-12-07,258635124187.0
2015-12-08,280221764183.0
2015-12-09,254279454333.0
2015-12-10,256497685772.0
2015-12-11,221143657626.0
2015-12-14,205541261748.0
2015-12-15,237234840581.0
2015-12-16,256712356849.0
2015-12-17,333940239961.0
2015-12-18,316675107900.0
2015-12-21,278292261004.0
2015-12-22,266174291213.0
2015-12-23,299599618164.0
2015-12-24,230327783577.0
2015-12-25,219758197013.0
2015-12-28,298902505852.0
2015-12-29,228954328961.0
2015-12-30,256185892200.0
2015-12-31,240733025926.0
2016-01-04,196597042062.0
2016-01-05,265746817146.0
2016-01-06,227283115352.0
2016-01-07,57536623712.0
2016-01-08,230862791365.0
2016-01-11,194711633491.0
2016-01-12,169839433017.0
2016-01-13,158494624654.0
2016-01-14,166877340334.0
2016-01-15,171047653915.0
2016-01-18,154134667799.0
2016-01-19,185107945510.0
2016-01-20,187428780514.0
2016-01-21,175594988325.0
2016-01-22,145965106672.0
2016-01-25,140599114698.0
2016-01-26,165581391714.0
2016-01-27,159481584662.0
2016-01-28,123800379795.0
2016-01-29,131355165739.0
2016-02-01,115888111197.0
2016-02-02,132941491825.0
2016-02-03,125642740733.0
2016-02-04,147961157207.0
2016-02-05,116833713395.0
2016-02-15,104873393276.0
2016-02-16,160075994969.0
2016-02-17,186376763698.0
2016-02-18,193574638208.0
2016-02-19,168719500867.0
2016-02-22,193573549148.0
2016-02-23,192375010029.0
2016-02-24,196294406341.0
2016-02-25,214208677253.0
2016-02-26,158808004752.0
2016-02-29,138384514856.0
2016-03-01,144811421350.0
2016-03-02,183328415472.0
