date,881001.WI_RSI,881001.WI_RSI_30P,881001.WI_RSI_70P
2005-07-25,46.47692212826307,30.083971770578497,52.963502974954686
2005-07-26,55.39631983595209,30.083971770578497,53.327281301908556
2005-07-27,59.72668101548116,30.083971770578497,53.327281301908556
2005-07-28,67.54587391382124,30.083971770578497,53.53300971585584
2005-07-29,69.62958782853703,30.083971770578497,53.63669726251215
2005-08-01,63.78804044831495,30.083971770578497,53.81332785681815
2005-08-02,71.19207011780058,30.083971770578497,53.98365731759639
2005-08-03,72.27845620660422,30.353924867595953,54.24804026096719
2005-08-04,76.68227315645468,30.642912409298823,54.458221319847105
2005-08-05,89.00547686337012,30.642912409298823,54.91723516012319
2005-08-08,89.45490411936497,30.642912409298823,55.163426920780644
2005-08-09,89.87646535599659,30.642912409298823,55.47327779925117
2005-08-10,90.71988228936951,30.642912409298823,55.91770056786855
2005-08-11,90.42665283127951,30.642912409298823,56.63827653851908
2005-08-12,82.21583753755111,30.642912409298823,56.90593481496089
2005-08-15,82.43325750720906,30.642912409298823,57.081411028792445
2005-08-16,77.41802382093034,30.642912409298823,57.52400825747183
2005-08-17,80.79456442810961,30.642912409298823,58.19225059026547
2005-08-18,67.61915297727995,30.642912409298823,58.19225059026547
2005-08-19,66.6318006343989,30.642912409298823,58.19225059026547
2005-08-22,65.77181717673642,30.642912409298823,58.19225059026547
2005-08-23,60.71551366013844,30.642912409298823,58.19225059026547
2005-08-24,64.54104893266258,30.642912409298823,58.19225059026547
2005-08-25,60.650244351629,30.642912409298823,58.19225059026547
2005-08-26,58.89188890870033,30.642912409298823,58.19225059026547
2005-08-29,52.266406486651604,30.642912409298823,57.52400825747183
2005-08-30,47.89105885762393,30.642912409298823,57.01538176685652
2005-08-31,48.87702381658405,30.642912409298823,56.63827653851908
2005-09-01,59.9505969676819,30.642912409298823,56.63827653851908
2005-09-02,55.22580906437513,30.642912409298823,55.91770056786855
2005-09-05,60.099693824210334,30.642912409298823,56.63827653851908
2005-09-06,48.59308194960953,30.642912409298823,56.63827653851908
2005-09-07,68.2649193441451,30.642912409298823,57.2026027744461
2005-09-08,68.66245201288842,31.12441402799612,58.19225059026547
2005-09-09,62.93267647044364,31.44959612858599,58.78008450043415
2005-09-12,68.77335529933171,31.695210912643248,58.98794719325996
2005-09-13,70.67868101894696,32.19936297600167,59.352014888506034
2005-09-14,71.21234147554468,33.1566495395578,59.69296983323436
2005-09-15,71.26241882295434,34.06345344761522,59.79385580114138
2005-09-16,75.89239687118396,34.378378191870155,59.995326024640434
2005-09-19,79.81617145640524,34.42552093931668,60.26485898243593
2005-09-20,73.22527192913498,34.5545406472337,60.66982514418183
2005-09-21,59.192610268266,34.89491901824758,60.66982514418183
2005-09-22,47.26400271848132,35.05224301808219,60.66982514418183
2005-09-23,40.92360067318953,35.13650578209101,60.66982514418183
2005-09-26,48.27648646228014,35.29254858407948,60.66982514418183
2005-09-27,34.206082347753835,35.29254858407948,60.66982514418183
2005-09-28,32.52345235380065,35.13650578209101,60.66982514418183
2005-09-29,41.71044822155445,35.13650578209101,60.66982514418183
2005-09-30,40.38057065567311,35.13650578209101,60.66982514418183
2005-10-10,29.00726545391295,35.05224301808219,60.66982514418183
2005-10-11,33.61119171673972,34.89491901824758,60.66982514418183
2005-10-12,35.9305923073973,34.89491901824758,60.66982514418183
2005-10-13,34.711631746097346,34.68010933807509,60.66982514418183
2005-10-14,28.174697709844132,34.5545406472337,60.66982514418183
2005-10-17,28.899996584193925,34.42552093931668,60.66982514418183
2005-10-18,37.50817657894709,34.42552093931668,60.66982514418183
2005-10-19,43.95971407751828,34.42552093931668,60.66982514418183
2005-10-20,47.36396296404471,34.42552093931668,60.66982514418183
2005-10-21,48.07250773394312,34.42552093931668,60.66982514418183
2005-10-24,57.580593178370144,34.42552093931668,60.66982514418183
2005-10-25,50.782947097919205,34.42552093931668,60.66982514418183
2005-10-26,34.51023557469213,34.48711561263531,60.66982514418183
2005-10-27,33.64471036044892,34.48711561263531,60.66982514418183
2005-10-28,32.70506372351499,34.48711561263531,60.66982514418183
2005-10-31,26.774246317412942,34.48711561263531,60.66982514418183
2005-11-01,21.09769968593489,34.48711561263531,60.66982514418183
2005-11-02,31.37872787256533,34.48711561263531,60.66982514418183
2005-11-03,32.149331820951524,34.48711561263531,60.66982514418183
2005-11-04,35.76948940794767,34.577660609290525,60.66982514418183
2005-11-07,31.743118023192785,34.577660609290525,60.66982514418183
2005-11-08,36.97091580652834,34.68010933807509,60.66982514418183
2005-11-09,36.33261182297161,34.92644142626983,60.66982514418183
2005-11-10,28.147386158789807,34.92644142626983,60.66982514418183
2005-11-11,27.70285989172393,34.68010933807509,60.66982514418183
2005-11-14,31.98903454163851,34.68010933807509,60.66982514418183
2005-11-15,37.44513513056311,34.68010933807509,60.66982514418183
2005-11-16,42.78150104579518,34.92644142626983,60.66982514418183
2005-11-17,49.78619827642917,35.12204565338678,60.66982514418183
2005-11-18,56.7402513331133,35.29254858407948,60.66982514418183
2005-11-21,60.70678367208869,35.439528983990634,60.709402668503614
2005-11-22,45.497530787655336,35.439528983990634,60.709402668503614
2005-11-23,52.887798443611466,35.68244888433043,60.709402668503614
2005-11-24,52.84180556228192,35.882261437562406,60.709402668503614
2005-11-25,52.61267237669814,36.212005968299316,60.709402668503614
2005-11-28,47.71687263417899,36.779424611461316,60.709402668503614
2005-11-29,44.18120268595191,37.302869333352675,60.709402668503614
2005-11-30,56.08003497070908,37.302869333352675,60.709402668503614
2005-12-01,54.22192381191301,37.302869333352675,60.709402668503614
2005-12-02,49.65913252255696,37.302869333352675,60.667206147766905
2005-12-05,44.645653016086364,37.302869333352675,60.667206147766905
2005-12-06,43.360245182778904,37.302869333352675,60.667206147766905
2005-12-07,48.040086817649716,37.302869333352675,60.667206147766905
2005-12-08,35.67508455598679,36.779424611461316,60.667206147766905
2005-12-09,43.435474531870604,36.779424611461316,60.667206147766905
2005-12-12,53.67646199513839,36.779424611461316,60.667206147766905
2005-12-13,49.984700701559575,36.779424611461316,60.26485898243593
2005-12-14,52.33288588182775,36.779424611461316,59.995326024640434
2005-12-15,48.72033032821527,36.779424611461316,59.79385580114138
2005-12-16,54.8630204867551,36.779424611461316,59.352831492430546
2005-12-19,62.58074318110944,36.779424611461316,59.352831492430546
2005-12-20,62.97451478395721,36.779424611461316,59.79385580114138
2005-12-21,59.526608809072926,36.779424611461316,59.79385580114138
2005-12-22,67.17360521963107,36.779424611461316,59.995326024640434
2005-12-23,85.8965978509552,37.302869333352675,60.26485898243593
2005-12-26,86.4552810537677,37.48926414443189,60.667206147766905
2005-12-27,82.76104317159582,37.48926414443189,60.709402668503614
2005-12-28,83.88356027024977,39.518852432655294,61.275082516429734
2005-12-29,82.75263644773362,40.7606916679346,62.6863231679097
2005-12-30,72.14141816272402,41.474393957044974,62.94522796449771
2006-01-04,76.18815736787383,42.46018519852296,63.21857248326453
2006-01-05,77.40303377010947,43.18662194168378,64.01394299361924
2006-01-06,82.69779614178397,43.41290572714309,64.91027940588472
2006-01-09,82.79526766946765,43.80244221382397,66.02981221403516
2006-01-10,83.38444507224473,44.11475610342182,66.79434200996855
2006-01-11,78.44590263085888,44.506317917046026,67.28528582788812
2006-01-12,85.22687990475536,44.82642444003934,67.56785763285885
2006-01-13,82.42779170898179,45.319440923593056,67.8128828873395
2006-01-16,69.25505924347955,46.18310472608074,68.3841791447681
2006-01-17,67.49644871999261,47.027878541415845,68.3841791447681
2006-01-18,73.58990479612007,47.33397489037569,68.69572299882141
2006-01-19,75.0208028048553,47.33397489037569,68.91786648257606
2006-01-20,73.27105352317528,47.33397489037569,69.3674178189968
2006-01-23,79.70123276806044,47.33397489037569,69.94431578566001
2006-01-24,77.33285522187361,47.33397489037569,70.83269774860304
2006-01-25,75.29577743676057,47.33397489037569,71.1981515251238
2006-02-06,78.94497842193093,47.33397489037569,71.22736467976758
2006-02-07,76.4922253018274,47.33397489037569,71.22736467976758
2006-02-08,76.33760326084389,47.33397489037569,71.22736467976758
2006-02-09,70.78495143449382,47.33397489037569,70.91316844680908
2006-02-10,70.58864424885012,47.33397489037569,70.71056214361101
2006-02-13,71.03089028607211,47.33397489037569,70.71056214361101
2006-02-14,83.91396721437688,47.33397489037569,70.71056214361101
2006-02-15,83.96506876995963,47.33397489037569,70.71056214361101
2006-02-16,61.47668236400573,47.33397489037569,70.61565527987916
2006-02-17,56.07868205555633,47.33397489037569,69.65513474509072
2006-02-20,55.245748700991946,47.33397489037569,68.91786648257606
2006-02-21,60.53313421769003,47.33397489037569,68.69572299882141
2006-02-22,60.116766326098215,47.33397489037569,68.69572299882141
2006-02-23,59.47326061925685,47.33397489037569,68.69572299882141
2006-02-24,53.10851987486945,47.33397489037569,68.69572299882141
2006-02-27,50.91528997745096,47.33397489037569,68.69572299882141
2006-02-28,51.247216531314834,47.33397489037569,68.69572299882141
2006-03-01,61.69228890013444,47.33397489037569,68.69572299882141
2006-03-02,46.2066012883089,46.94678228942959,68.69572299882141
2006-03-03,48.26927534146945,46.94678228942959,68.69572299882141
2006-03-06,43.27383161721895,45.99388013811283,68.69572299882141
2006-03-07,33.91021057273736,45.24196745618464,68.69572299882141
2006-03-08,40.60359838833981,44.506317917046026,68.69572299882141
2006-03-09,40.98864708688655,44.11475610342182,68.69572299882141
2006-03-10,43.68497282345493,43.87729170129927,68.69572299882141
2006-03-13,39.299913202347724,43.61012333597963,68.69572299882141
2006-03-14,39.25530895814309,43.41290572714309,68.69572299882141
2006-03-15,44.059264420800595,43.41290572714309,67.87952069379433
2006-03-16,39.2893932526534,43.33432111311092,67.87952069379433
2006-03-17,40.35279664529517,43.12613244579182,67.27045826973954
2006-03-20,46.02525446503489,43.12613244579182,64.23424191465936
2006-03-21,44.21292200232821,43.12613244579182,62.69887466196377
2006-03-22,58.752521851740326,43.12613244579182,61.95882518442694
2006-03-23,59.22845692662846,43.12613244579182,61.541364324844345
