time,000905.SH_涨跌幅绝对值_1日
2005-01-05,1.6927290468292
2005-01-06,0.9005283803940278
2005-01-07,0.3027362896455221
2005-01-10,0.875195217350333
2005-01-11,0.19933680268140463
2005-01-12,0.027470811023633246
2005-01-13,0.4411968828696766
2005-01-14,1.2734559309820703
2005-01-17,2.2643173303711572
2005-01-18,1.421655983190151
2005-01-19,0.5222816992613621
2005-01-20,1.3970216204761354
2005-01-21,1.6510653875777326
2005-01-24,1.9884291551300448
2005-01-25,0.8552086691298588
2005-01-26,1.1603186624421058
2005-01-27,1.678416527068538
2005-01-28,1.95187636469204
2005-01-31,3.124694854018162
2005-02-01,1.0103473353470949
2005-02-02,5.574320810308642
2005-02-03,1.9633017818122656
2005-02-04,1.768305067533249
2005-02-16,1.0715904318793212
2005-02-17,0.5075400812681208
2005-02-18,1.279377696281081
2005-02-21,1.7672624224037037
2005-02-22,2.6348033598860843
2005-02-23,1.1481728471510966
2005-02-24,0.5089977218721842
2005-02-25,0.03201730496287247
2005-02-28,0.3193967882607285
2005-03-01,0.03085672975480236
2005-03-02,1.470285811653782
2005-03-03,0.510859237408412
2005-03-04,0.7987833337288697
2005-03-07,0.37310234148382193
2005-03-08,2.234861011387834
2005-03-09,0.3004496545266022
2005-03-10,2.615369715752258
2005-03-11,0.3867554410792229
2005-03-14,0.16524111531809327
2005-03-15,1.382761474389882
2005-03-16,0.9976545308005069
2005-03-17,1.3161692664821034
2005-03-18,2.2098611073920194
2005-03-21,0.004633973980228134
2005-03-22,2.8422847381873395
2005-03-23,0.06828794533495497
2005-03-24,1.0997688459847055
2005-03-25,0.20678268639636732
2005-03-28,0.9119438447011463
2005-03-29,0.6622437624807187
2005-03-30,3.0390124027744103
2005-03-31,0.8008333436451354
2005-04-01,3.5129030386086946
2005-04-04,1.9056736808740538
2005-04-05,0.8930946179124488
2005-04-06,1.8644981280718342
2005-04-07,1.4997436196120706
2005-04-08,1.8366828161182847
2005-04-11,0.09984654386665515
2005-04-12,2.224438566212872
2005-04-13,2.4605082973010894
2005-04-14,1.5579402438780643
2005-04-15,2.3683352486837506
2005-04-18,1.3307112565711487
2005-04-19,0.18499242052649745
2005-04-20,2.071589581129507
2005-04-21,1.895184049461418
2005-04-22,1.1445496974616276
2005-04-25,1.9061092767561405
2005-04-26,1.6862095123047371
2005-04-27,1.787451475609192
2005-04-28,2.4600185962786014
2005-04-29,1.5111269137454975
2005-05-09,3.446392271926624
2005-05-10,0.03800102395042915
2005-05-11,0.7967358034832284
2005-05-12,0.5002649186145458
2005-05-13,0.912434520934724
2005-05-16,0.8230679930001816
2005-05-17,1.2725029727619575
2005-05-18,0.7560586715213313
2005-05-19,0.03601558492585255
2005-05-20,0.704293645598475
2005-05-23,3.101583387252327
2005-05-24,1.8922194616768584
2005-05-25,0.11796083551882663
2005-05-26,1.3181474057579523
2005-05-27,1.0044754600612715
2005-05-30,0.8260450721746526
2005-05-31,0.08275530010082299
2005-06-01,2.2838046762842623
2005-06-02,1.1881752674100632
2005-06-03,0.44890898480806074
2005-06-06,1.5983717314192347
2005-06-07,0.2099690314953495
2005-06-08,7.888244315529769
2005-06-09,0.9942236379195668
2005-06-10,2.1324546176704207
2005-06-13,0.3183001545204567
2005-06-14,1.9251976620973
2005-06-15,2.6804254752252232
2005-06-16,0.9651370155477013
2005-06-17,0.4736642432007332
2005-06-20,2.948994984608877
2005-06-21,0.9148595479360311
2005-06-22,0.3001726298920593
2005-06-23,1.136020775743396
2005-06-24,0.47643347043975215
2005-06-27,2.599965814193994
2005-06-28,1.8337716007507665
2005-06-29,0.6082686442519858
2005-06-30,2.7715265630220753
2005-07-01,3.9355554376362845
2005-07-04,1.4294695088590603
2005-07-05,0.6521829047489991
2005-07-06,0.15458067808675757
2005-07-07,0.5345392524521042
2005-07-08,3.286514373483107
2005-07-11,1.1591552374338399
2005-07-12,3.5073305574022884
2005-07-13,0.9588470577417629
2005-07-14,0.013789468941616256
2005-07-15,2.464834876812849
2005-07-18,2.4689008072913854
2005-07-19,0.892303630059943
2005-07-20,0.6012237826889644
2005-07-21,0.35416722631215203
2005-07-22,2.363405733355295
2005-07-25,0.3573383972444333
2005-07-26,2.3639977909682974
2005-07-27,1.92346108843926
2005-07-28,0.37132590681518973
2005-07-29,0.32185538589188933
2005-08-01,0.7603128251602698
2005-08-02,1.7058234109006198
2005-08-03,0.8465982785048842
2005-08-04,0.583304752699576
2005-08-05,2.947617939999647
2005-08-08,1.561018457285246
2005-08-09,1.7583678387036006
2005-08-10,1.1856013245130637
2005-08-11,1.0926892268999122
2005-08-12,1.9757672833109807
2005-08-15,2.851714752580281
2005-08-16,0.047995217151564074
2005-08-17,1.8184981126320166
2005-08-18,3.962664681940631
2005-08-19,0.024979772476929618
2005-08-22,1.2946036456486842
2005-08-23,1.7537065722505019
2005-08-24,1.1998815052747247
2005-08-25,1.1735589972856397
2005-08-26,0.4797840314292756
2005-08-29,0.9736670827230287
2005-08-30,0.5644951985465996
2005-08-31,2.12579300344391
2005-09-01,2.3975852578619783
2005-09-02,0.818114062202091
2005-09-05,1.3530318572812172
2005-09-06,2.4651415259699827
2005-09-07,2.9720889841169384
2005-09-08,0.17621393384941175
2005-09-09,1.1450055637356793
2005-09-12,0.4613969480490754
2005-09-13,2.348451323677714
2005-09-14,1.180124979127739
2005-09-15,0.38492518440234047
2005-09-16,0.09439251827697559
2005-09-19,1.4004433120685889
2005-09-20,0.6801799913808804
2005-09-21,1.5552501731301849
2005-09-22,3.272634144035913
2005-09-23,1.3027080281768577
2005-09-26,0.7243114665954398
2005-09-27,2.044030908508987
2005-09-28,0.5366657409114461
2005-09-29,2.2211298290978343
2005-09-30,0.20452409126228144
2005-10-10,1.2375950105174227
2005-10-11,2.3144158705464157
2005-10-12,1.0343457888081664
2005-10-13,0.4799985580892896
2005-10-14,0.8372856415190477
2005-10-17,0.3086571246260217
2005-10-18,1.7003562987264909
2005-10-19,0.8263408597301791
2005-10-20,0.026739958976174094
2005-10-21,0.9560645693253988
2005-10-24,0.30501873127848356
2005-10-25,2.2478242998940634
2005-10-26,2.6834112562202472
2005-10-27,0.7534881760317025
2005-10-28,2.6581153926471757
2005-10-31,0.4358455051311161
2005-11-01,0.6433285585506265
2005-11-02,2.0633332037778507
2005-11-03,1.3578225334279104
2005-11-04,0.7499040904517473
2005-11-07,0.8238317275799156
2005-11-08,0.8269576556825475
