date,000905.SH_对_000852.SH_相对换手率
2014-10-17,0.8934923111210162
2014-10-20,0.822491134031782
2014-10-21,0.857799892415277
2014-10-22,0.840004657797444
2014-10-23,0.8812083825776138
2014-10-24,0.9558993220827924
2014-10-27,0.9189123235140316
2014-10-28,0.899526886096556
2014-10-29,0.9599984540465333
2014-10-30,0.9660378139949057
2014-10-31,1.0041486039248588
2014-11-03,1.0187232441078233
2014-11-04,1.068258971871969
2014-11-05,1.0998202185036647
2014-11-06,1.052085092014182
2014-11-07,1.0648949465890065
2014-11-10,1.1230423800168399
2014-11-11,1.0628627309254024
2014-11-12,1.1154159736490232
2014-11-13,1.0638574925777384
2014-11-14,1.0938486084027654
2014-11-17,1.0717409447504591
2014-11-18,1.010896130346232
2014-11-19,0.968314552284018
2014-11-20,0.931810614636745
2014-11-21,1.0362710013950385
2014-11-24,1.2501012282359292
2014-11-25,1.0774793608806024
2014-11-26,1.03024846957148
2014-11-27,1.08111004784689
2014-11-28,1.0805285143814063
2014-12-01,1.109648494278052
2014-12-02,1.140760893804915
2014-12-03,1.1792540023106124
2014-12-04,1.1453870967741935
2014-12-05,1.1712871287128712
2014-12-08,1.200104687288937
2014-12-09,1.2694730458035257
2014-12-10,1.2959220421565512
2014-12-11,1.2732530873847114
2014-12-12,1.1342943695811134
2014-12-15,1.149856638514502
2014-12-16,1.1766336961470016
2014-12-17,1.205769307763142
2014-12-18,1.209466037594548
2014-12-19,1.329715420251489
2014-12-22,1.2960643667691374
2014-12-23,1.284548714883443
2014-12-24,1.2571946521640607
2014-12-25,1.312903539794296
2014-12-26,1.3521554169030061
2014-12-29,1.3129752564876283
2014-12-30,1.2453958583684992
2014-12-31,1.3286110061705074
2015-01-05,1.3601913516555668
2015-01-06,1.3184699815489425
2015-01-07,1.1949695964621339
2015-01-08,1.1798076132533093
2015-01-09,1.2418053991539093
2015-01-12,1.1857465986968705
2015-01-13,1.1351073213760658
2015-01-14,1.1471986611387925
2015-01-15,1.2454185543447207
2015-01-16,1.2369817956817664
2015-01-19,1.1318224198522557
