date,932000.CSI_年化波动率_60日
2014-04-03,23.941991180883974
2014-04-04,23.989838233694336
2014-04-08,23.146953742138525
2014-04-09,23.232230757990312
2014-04-10,23.22203930518182
2014-04-11,22.869045973373943
2014-04-14,22.596110471690476
2014-04-15,22.639703948779456
2014-04-16,22.345559908624764
2014-04-17,22.308482920751636
2014-04-18,22.317754589223384
2014-04-21,22.581700341099193
2014-04-22,22.657465672173384
2014-04-23,22.411894623341915
2014-04-24,22.200516799851158
2014-04-25,22.565408485310318
2014-04-28,23.517561511378602
2014-04-29,23.66614349342478
2014-04-30,23.7335182035738
2014-05-05,23.83733296260622
2014-05-06,23.87799868291176
2014-05-07,23.909204626886982
2014-05-08,23.29397534377351
2014-05-09,23.30956193678541
2014-05-12,23.389444479740707
2014-05-13,23.102651953942622
2014-05-14,22.604444395575253
2014-05-15,22.444869782492745
2014-05-16,22.438416612886744
2014-05-19,22.4359742131573
2014-05-20,22.272272465303473
2014-05-21,22.39958326171182
2014-05-22,22.247698147666213
2014-05-23,20.89626389331172
2014-05-26,21.09253656425481
2014-05-27,20.835699225632034
2014-05-28,20.84071888317126
2014-05-29,20.474974365850333
2014-05-30,20.482638404076248
2014-06-03,20.487045400587416
2014-06-04,20.497260654045483
2014-06-05,20.674804772830132
2014-06-06,19.110695530435358
2014-06-09,19.090421984044152
2014-06-10,19.23831418373355
2014-06-11,19.12507667992291
2014-06-12,19.12514420928798
2014-06-13,18.585042586918362
2014-06-16,18.56219158234225
2014-06-17,18.587872849779192
2014-06-18,17.719549959730223
2014-06-19,18.33798819834237
2014-06-20,18.49333433485797
2014-06-23,18.635055138653232
2014-06-24,18.63170382648557
2014-06-25,18.045021801785563
2014-06-26,17.33769539154565
2014-06-27,17.37836166893815
2014-06-30,17.132342925935397
2014-07-01,17.12419151748815
2014-07-02,17.161434163131787
2014-07-03,17.082053043393703
2014-07-04,17.02240640575032
2014-07-07,16.850591711398934
2014-07-08,16.910059257458762
2014-07-09,17.174603990315337
2014-07-10,17.083454595374697
2014-07-11,17.09920697799351
2014-07-14,17.272828268965913
2014-07-15,17.333434975304115
2014-07-16,17.49187180114019
2014-07-17,17.143775049947298
2014-07-18,17.002427788143343
2014-07-21,16.99470522458619
2014-07-22,17.088688747075327
2014-07-23,16.600397080079933
2014-07-24,15.018756082864948
2014-07-25,14.89209682455878
2014-07-28,15.008866423598596
2014-07-29,14.889498690817577
2014-07-30,14.853106542875436
2014-07-31,14.291523320967778
2014-08-01,14.500378236083513
2014-08-04,14.509924053924617
2014-08-05,14.155959131274596
2014-08-06,14.14533286425454
2014-08-07,14.35906552115284
2014-08-08,13.664803290279313
2014-08-11,13.801742788132277
2014-08-12,13.762542385907667
