date,000300.SH_对_000852.SH_相对强弱
2014-10-17,0.4030146560267042
2014-10-20,0.39884686376841727
2014-10-21,0.3987199426905552
2014-10-22,0.4012670240281642
2014-10-23,0.4040035187690446
2014-10-24,0.40234530016025105
2014-10-27,0.3943558990603709
2014-10-28,0.39208007823907565
2014-10-29,0.39242870514490935
2014-10-30,0.395560392643667
2014-10-31,0.4040074992631201
2014-11-03,0.4003427027404268
2014-11-04,0.40328084141123555
2014-11-05,0.40201533744055357
2014-11-06,0.39847201357503476
2014-11-07,0.40174789789676474
2014-11-10,0.4107394536430308
2014-11-11,0.4248066247341028
2014-11-12,0.4239041525423452
2014-11-13,0.4282608500772438
2014-11-14,0.4295059810837804
2014-11-17,0.4207787690631755
2014-11-18,0.4139436262301854
2014-11-19,0.40965489648767545
2014-11-20,0.4101409992597705
2014-11-21,0.4139638769165491
2014-11-24,0.4209833652284442
2014-11-25,0.4201150358501493
2014-11-26,0.42314821433566324
2014-11-27,0.4255624528492239
2014-11-28,0.4335863187214538
2014-12-01,0.4411150379571946
2014-12-02,0.4527935955956093
2014-12-03,0.4555677908220763
2014-12-04,0.4699772395653081
2014-12-05,0.48357195328012353
2014-12-08,0.5037360369962978
2014-12-09,0.5042570909994486
2014-12-10,0.5059905981174245
2014-12-11,0.49247352287896806
2014-12-12,0.4878738432344974
2014-12-15,0.4832018527683011
2014-12-16,0.4978560733536239
2014-12-17,0.5129807594702523
2014-12-18,0.5115407236425796
2014-12-19,0.525496261130325
2014-12-22,0.5546010167006994
2014-12-23,0.5520043112107085
2014-12-24,0.5248495583503037
2014-12-25,0.5360250355724847
2014-12-26,0.5527549528901163
2014-12-29,0.5665628624069701
2014-12-30,0.5779315338589879
2014-12-31,0.58626184566787
2015-01-05,0.6019287951790699
2015-01-06,0.5898943229788387
2015-01-07,0.5908750595327958
2015-01-08,0.5774164352329152
2015-01-09,0.5787722021432073
2015-01-12,0.5795796732023233
2015-01-13,0.5698027133261782
2015-01-14,0.5704931677767299
2015-01-15,0.5842633843536147
2015-01-16,0.5814303251320562
2015-01-19,0.5491894714356917
2015-01-20,0.5359665096484236
2015-01-21,0.548875896978734
2015-01-22,0.5431284364059752
2015-01-23,0.5493225461995394
2015-01-26,0.543157571148217
2015-01-27,0.534065522663788
2015-01-28,0.5288303913556378
