date,932000.CSI_涨跌幅绝对值_1日
2014-01-03,0.3415208885170551
2014-01-06,2.973863893704709
2014-01-07,0.8029041047778129
2014-01-08,0.5805005003792552
2014-01-09,1.7884198270787466
2014-01-10,1.644115501908594
2014-01-13,0.3282921990684251
2014-01-14,2.0785656543629294
2014-01-15,0.8686461868244955
2014-01-16,0.32913820978943686
2014-01-17,0.4707727380616311
2014-01-20,0.531249518485577
2014-01-21,1.9056971356680386
2014-01-22,1.7907357129068213
2014-01-23,1.1227662971971641
2014-01-24,1.0353799789215579
2014-01-27,0.03679919599679504
2014-01-28,0.3392563749502031
2014-01-29,1.0633212472750841
2014-01-30,0.36449791278333477
2014-02-07,1.8172719255976189
2014-02-10,2.6931973582543955
2014-02-11,0.515669548883424
2014-02-12,1.7084793310698565
2014-02-13,1.8168001225870145
2014-02-14,2.3819794478597167
2014-02-17,2.2380230114305677
2014-02-18,0.1872954625363965
2014-02-19,0.08206004989015359
2014-02-20,1.6957995738520193
2014-02-21,0.047323288061806856
2014-02-24,1.2104319721409018
2014-02-25,3.8978863979272194
2014-02-26,0.6488291152768166
2014-02-27,1.593105453432675
2014-02-28,1.1009107174939858
2014-03-03,2.2676735468501352
2014-03-04,0.12261619216800135
2014-03-05,0.04416850951860507
2014-03-06,0.30811797291994125
2014-03-07,0.22276347213084913
2014-03-10,3.8036470334710026
2014-03-11,0.4289824017285837
2014-03-12,0.30125423186421196
2014-03-13,1.274384074430257
2014-03-14,0.061949826647900164
2014-03-17,2.44417234148282
2014-03-18,0.7495202199315765
2014-03-19,0.5235627042912361
2014-03-20,2.8571922674261008
2014-03-21,1.5264474918310622
2014-03-24,0.033235608420800755
2014-03-25,0.16395392693427935
2014-03-26,0.735945291047102
2014-03-27,2.239584393876737
2014-03-28,2.7192329308402208
2014-03-31,0.5207001440596937
2014-04-01,1.8252706940700136
2014-04-02,0.3291643047930948
2014-04-03,0.3920749628297804
2014-04-04,1.0130239108617545
2014-04-08,0.8655602910805138
2014-04-09,1.3628746487773569
2014-04-10,0.3555313186914155
2014-04-11,0.14856586749484313
2014-04-14,1.0649823851913487
2014-04-15,0.42067856525654923
2014-04-16,0.059965329457467575
2014-04-17,0.19804901625020133
2014-04-18,0.5607627231497547
2014-04-21,1.6037384001556187
2014-04-22,0.9651934769348225
2014-04-23,0.27396158577820406
2014-04-24,0.4475513876297965
2014-04-25,2.1161350004805457
2014-04-28,3.325103348942604
2014-04-29,1.328139323737343
2014-04-30,0.9966070084110656
2014-05-05,1.551275082897785
2014-05-06,0.8769901664392288
2014-05-07,1.7987704298027762
2014-05-08,0.1483449308722795
2014-05-09,0.7318320533654776
2014-05-12,1.956962525615924
2014-05-13,0.002353003219512928
2014-05-14,0.3430909256872283
2014-05-15,1.9407582685420977
2014-05-16,0.2792345604735402
2014-05-19,0.2612149579364176
2014-05-20,0.7718982991481438
2014-05-21,1.1092449113615954
2014-05-22,0.050609541055368634
2014-05-23,1.0417414014605386
2014-05-26,1.5688351682080715
2014-05-27,0.15339688573081656
2014-05-28,1.1249631439837593
2014-05-29,1.1330058708681312
2014-05-30,0.2916108142995588
2014-06-03,0.240402399264239
2014-06-04,0.4937217072524702
2014-06-05,1.3347368387026437
2014-06-06,0.1344111151231453
2014-06-09,0.1584599457195357
2014-06-10,1.3106068812993144
2014-06-11,0.6746594926145821
2014-06-12,0.2147011331647075
2014-06-13,0.8158918056518694
2014-06-16,0.5796022807389001
2014-06-17,0.6430399743727166
2014-06-18,0.9398513597795422
2014-06-19,2.7039541424264013
2014-06-20,1.1887671643285191
2014-06-23,1.1760314830699725
2014-06-24,0.7137158580726499
2014-06-25,0.27883123090411965
2014-06-26,1.5504474740581253
2014-06-27,1.0473949157844498
2014-06-30,0.9743079518851561
2014-07-01,0.5682082253536391
2014-07-02,0.7713313894469831
2014-07-03,0.38444694100632226
2014-07-04,0.22153343667044023
2014-07-07,0.36947509115705657
2014-07-08,0.8735452751964079
2014-07-09,1.3683609596698565
2014-07-10,0.4759113179643837
2014-07-11,0.7764099278797287
2014-07-14,1.3598477974802625
2014-07-15,0.5692708738819774
2014-07-16,1.1062989314027605
2014-07-17,0.1761236007669753
2014-07-18,0.10555088516240874
2014-07-21,0.1907041683748001
2014-07-22,1.249645804118349
2014-07-23,0.9930221817836538
2014-07-24,0.6648480811600077
2014-07-25,0.7351061225749467
2014-07-28,1.439550834382053
2014-07-29,1.1519154062426429
2014-07-30,0.6170176071744526
2014-07-31,0.788495663845179
2014-08-01,0.9470531723202669
2014-08-04,1.3216413333464683
2014-08-05,0.8072365498296152
2014-08-06,0.2805999205601095
