date,8841431.WI_占市场比重
2009-05-27,9.04931247513881
2009-06-01,7.632043948271108
2009-06-02,8.249058194398515
2009-06-03,7.961885669164971
2009-06-04,7.218672373038225
2009-06-05,7.875050307918023
2009-06-08,8.440619342989082
2009-06-09,9.557783715786755
2009-06-10,9.325037480135556
2009-06-11,9.873459896940645
2009-06-12,9.834163256835291
2009-06-15,8.472989978062746
2009-06-16,8.76179828199596
2009-06-17,8.918907088341973
2009-06-18,8.331236628461069
2009-06-19,8.970946813616099
2009-06-22,7.71060716401165
2009-06-23,7.550682653788283
2009-06-24,7.075367024235697
2009-06-25,9.058118288164943
2009-06-26,9.562743305325313
2009-06-29,8.646289089587013
2009-06-30,7.7005349681429385
2009-07-01,7.543778103998086
2009-07-02,7.045045538840091
2009-07-03,7.289812419966369
2009-07-06,6.734956485863662
2009-07-07,7.520497611639689
2009-07-08,8.037032729284638
2009-07-09,9.056353380474672
2009-07-10,9.178881275043192
2009-07-13,9.321246259782825
2009-07-14,8.770269933544398
2009-07-15,8.076483484953085
2009-07-16,8.020890091013129
2009-07-17,8.584481092861404
2009-07-20,7.946827331301959
2009-07-21,8.145341881411767
2009-07-22,7.3173900384479325
2009-07-23,7.655261387250574
2009-07-24,7.717803220037052
2009-07-27,7.063709478059687
2009-07-28,7.552985512980147
2009-07-29,7.299452808260291
2009-07-30,6.5077633074805545
2009-07-31,6.913875151417918
2009-08-03,7.290952416309312
2009-08-04,7.880959084270176
2009-08-05,8.24817639557866
2009-08-06,8.072931218484339
2009-08-07,8.426584994182369
2009-08-10,8.288401824754578
2009-08-11,8.785530236539167
2009-08-12,7.433354581017859
2009-08-13,6.910838689582341
2009-08-14,7.2591053731577855
2009-08-17,6.992270487505523
2009-08-18,6.281993940114473
2009-08-19,7.012253510581136
2009-08-20,6.422889071001718
2009-08-21,7.624148491755591
2009-08-24,8.542390864534829
2009-08-25,8.086429560180903
2009-08-26,8.959646944601001
2009-08-27,10.431307717749295
2009-08-28,8.179993262720101
2009-08-31,7.752918848276841
2009-09-01,7.3157486744227365
2009-09-02,7.880890590957285
2009-09-03,7.484119691338184
2009-09-04,8.061537944963847
2009-09-07,8.825727442763766
2009-09-08,7.774897976095583
2009-09-09,7.225458184396658
2009-09-10,8.520050763010808
2009-09-11,8.217658795623226
2009-09-14,8.664569401289187
2009-09-15,9.321791467817343
2009-09-16,9.399875629890742
2009-09-17,10.604245791366244
2009-09-18,10.74098069401271
2009-09-21,9.410804864067956
2009-09-22,9.28216330882652
2009-09-23,9.178965191511441
2009-09-24,8.3581375331993
2009-09-25,9.1147091102784
2009-09-28,8.956291638692438
2009-09-29,8.426184991032915
2009-09-30,7.869916612725851
2009-10-09,7.449489189183292
2009-10-12,8.00774822737456
2009-10-13,8.245451654566251
2009-10-14,7.565910655804471
2009-10-15,8.37856157616336
2009-10-16,8.700076352642306
2009-10-19,8.109055283577492
2009-10-20,8.62568676569149
2009-10-21,9.274992907729457
2009-10-22,9.978018679369624
2009-10-23,9.17844848419033
2009-10-26,10.018263120627314
2009-10-27,9.764997890692587
2009-10-28,8.96403228866534
2009-10-29,8.364516367243288
2009-10-30,8.711617888363252
2009-11-02,8.669912060379797
2009-11-03,9.386521609549204
2009-11-04,9.597319161774221
2009-11-05,10.487319059921369
2009-11-06,10.331452037794474
2009-11-09,9.822474056426229
2009-11-10,9.361094217676952
2009-11-11,9.852813421965196
2009-11-12,10.336693922412426
2009-11-13,10.028801204134526
2009-11-16,9.466523304147916
2009-11-17,9.69624757996376
2009-11-18,10.374114049806101
2009-11-19,10.955367087936377
2009-11-20,10.921253237177979
2009-11-23,10.661274626196096
2009-11-24,9.543797571158015
