date,8841431.WI_换手率均值_120日
2009-11-20,4.876543333333333
2009-11-23,4.9021675
2009-11-24,4.936413333333333
2009-11-25,4.946214166666667
2009-11-26,4.9725325
2009-11-27,4.976089166666666
2009-11-30,4.976355833333334
2009-12-01,4.990423333333334
2009-12-02,5.0080350000000005
2009-12-03,5.0193725
2009-12-04,5.037323333333333
2009-12-07,5.0341708333333335
2009-12-08,5.046205
2009-12-09,5.0517416666666675
2009-12-10,5.045090833333333
2009-12-11,5.0356966666666665
2009-12-14,5.022406666666667
2009-12-15,5.016639166666667
2009-12-16,5.014954166666667
2009-12-17,5.015544166666667
2009-12-18,5.0075375
2009-12-21,4.993228333333334
2009-12-22,4.980546666666667
2009-12-23,4.966655833333333
2009-12-24,4.9589
2009-12-25,4.946031666666667
2009-12-28,4.932240833333334
2009-12-29,4.9193725
2009-12-30,4.904709166666667
2009-12-31,4.892340833333334
2010-01-04,4.872865833333334
2010-01-05,4.8576033333333335
2010-01-06,4.844569166666667
2010-01-07,4.833495833333333
2010-01-08,4.811296666666666
2010-01-11,4.796659166666667
2010-01-12,4.7902375
2010-01-13,4.780638333333333
2010-01-14,4.771977500000001
2010-01-15,4.772427500000001
2010-01-18,4.772949166666666
2010-01-19,4.7675925
2010-01-20,4.773803333333333
2010-01-21,4.7578875
2010-01-22,4.7394575
2010-01-25,4.721426666666668
2010-01-26,4.703519166666666
2010-01-27,4.675080833333334
2010-01-28,4.639064166666667
2010-01-29,4.607996666666667
2010-02-01,4.5854083333333335
2010-02-02,4.5664325
2010-02-03,4.5602125000000004
2010-02-04,4.5618675
2010-02-05,4.562694166666666
2010-02-08,4.559312500000001
2010-02-09,4.548263333333334
2010-02-10,4.537476666666666
2010-02-11,4.5333425
2010-02-12,4.524689166666666
2010-02-22,4.524068333333333
2010-02-23,4.521298333333333
2010-02-24,4.521138333333334
2010-02-25,4.522841666666666
2010-02-26,4.5210375
2010-03-01,4.517935
2010-03-02,4.527585833333333
2010-03-03,4.541835000000001
2010-03-04,4.567268333333333
2010-03-05,4.5766425
2010-03-08,4.572820000000001
2010-03-09,4.569398333333334
2010-03-10,4.559843333333333
2010-03-11,4.552793333333333
2010-03-12,4.544738333333333
2010-03-15,4.5352875
2010-03-16,4.522179166666666
2010-03-17,4.5097825
2010-03-18,4.496034166666666
2010-03-19,4.4814750000000005
2010-03-22,4.462604166666667
2010-03-23,4.439711666666667
2010-03-24,4.438644166666666
2010-03-25,4.438989166666667
2010-03-26,4.4382925
2010-03-29,4.443454166666667
2010-03-30,4.455589166666666
2010-03-31,4.47152
2010-04-01,4.496855833333333
2010-04-02,4.521556666666666
2010-04-06,4.5408808333333335
2010-04-07,4.553253333333333
2010-04-08,4.571552499999999
2010-04-09,4.5803675
2010-04-12,4.603451666666667
2010-04-13,4.627030833333333
2010-04-14,4.629836666666667
2010-04-15,4.626670000000001
2010-04-16,4.612481666666667
2010-04-19,4.613521666666667
2010-04-20,4.602003333333333
2010-04-21,4.599705833333333
2010-04-22,4.601548333333333
2010-04-23,4.607231666666666
2010-04-26,4.608735
2010-04-27,4.61251
2010-04-28,4.598161666666666
2010-04-29,4.576074166666666
2010-04-30,4.5518925
2010-05-04,4.5210341666666665
2010-05-05,4.4878175
2010-05-06,4.467148333333333
2010-05-07,4.443745000000001
2010-05-10,4.4226175
2010-05-11,4.397433333333334
2010-05-12,4.370901666666667
2010-05-13,4.3341025
2010-05-14,4.301927500000001
2010-05-17,4.2709141666666675
2010-05-18,4.232764166666667
2010-05-19,4.1905325
2010-05-20,4.148369166666667
2010-05-21,4.095036666666667
2010-05-24,4.069633333333333
2010-05-25,4.0262158333333335
2010-05-26,3.998971666666667
2010-05-27,3.983233333333333
2010-05-28,3.9559816666666667
2010-05-31,3.9169549999999997
2010-06-01,3.880935833333333
2010-06-02,3.8352125
2010-06-03,3.817194166666667
2010-06-04,3.789865
2010-06-07,3.771564166666667
2010-06-08,3.761815833333333
2010-06-09,3.757035
2010-06-10,3.7481958333333334
2010-06-11,3.7361125
2010-06-17,3.7186266666666667
2010-06-18,3.7023866666666665
2010-06-21,3.690009166666667
2010-06-22,3.687474166666667
2010-06-23,3.68127
2010-06-24,3.677116666666666
2010-06-25,3.6648025
2010-06-28,3.650939166666667
2010-06-29,3.6437708333333334
2010-06-30,3.6275683333333335
2010-07-01,3.611655
2010-07-02,3.6010641666666667
2010-07-05,3.5826458333333333
2010-07-06,3.564625
2010-07-07,3.5450649999999997
2010-07-08,3.5249016666666666
2010-07-09,3.5195175
2010-07-12,3.506804166666667
2010-07-13,3.487638333333334
2010-07-14,3.4679675
2010-07-15,3.444171666666667
2010-07-16,3.4192949999999995
2010-07-19,3.3969499999999995
2010-07-20,3.3853999999999997
2010-07-21,3.365243333333333
2010-07-22,3.3559616666666665
2010-07-23,3.346505
2010-07-26,3.352116666666667
2010-07-27,3.3557300000000003
2010-07-28,3.3722416666666666
2010-07-29,3.3905375
2010-07-30,3.3970991666666666
2010-08-02,3.4080508333333333
2010-08-03,3.4208358333333333
2010-08-04,3.422414166666667
2010-08-05,3.424609166666667
2010-08-06,3.425370833333333
2010-08-09,3.43895
2010-08-10,3.4558691666666665
2010-08-11,3.4639141666666666
2010-08-12,3.4761491666666666
2010-08-13,3.4838641666666663
2010-08-16,3.493933333333333
2010-08-17,3.5003941666666667
2010-08-18,3.4999675
2010-08-19,3.495635
2010-08-20,3.4933399999999994
2010-08-23,3.4810641666666666
2010-08-24,3.4734708333333333
2010-08-25,3.4654525
2010-08-26,3.4451600000000004
2010-08-27,3.4384533333333334
2010-08-30,3.44749
2010-08-31,3.45628
2010-09-01,3.4687183333333333
2010-09-02,3.4857225
2010-09-03,3.5047608333333335
2010-09-06,3.5273416666666666
2010-09-07,3.5406516666666668
2010-09-08,3.5457183333333333
2010-09-09,3.5553266666666663
2010-09-10,3.5599624999999997
2010-09-13,3.5630516666666665
2010-09-14,3.5683750000000005
2010-09-15,3.5711958333333333
2010-09-16,3.570835
2010-09-17,3.5654891666666666
2010-09-20,3.5574041666666667
2010-09-21,3.5430616666666666
2010-09-27,3.5292491666666668
2010-09-28,3.509298333333333
2010-09-29,3.4914849999999995
2010-09-30,3.47155
2010-10-08,3.4658483333333336
2010-10-11,3.4657525000000002
2010-10-12,3.4635275
2010-10-13,3.4527225
2010-10-14,3.442226666666667
2010-10-15,3.4416241666666663
2010-10-18,3.4370008333333333
2010-10-19,3.4387608333333333
2010-10-20,3.4380900000000003
2010-10-21,3.4395808333333333
2010-10-22,3.4371291666666663
2010-10-25,3.4397766666666665
2010-10-26,3.446144166666667
2010-10-27,3.4600725000000003
2010-10-28,3.4629841666666668
2010-10-29,3.472536666666667
2010-11-01,3.4904941666666667
2010-11-02,3.5192858333333334
2010-11-03,3.546464166666667
2010-11-04,3.5673833333333334
2010-11-05,3.5926199999999997
2010-11-08,3.6295983333333335
2010-11-09,3.6623466666666666
2010-11-10,3.6911791666666662
2010-11-11,3.7266125000000003
2010-11-12,3.7607366666666664
2010-11-15,3.7787625
2010-11-16,3.80137
2010-11-17,3.8119175000000003
2010-11-18,3.8195266666666665
2010-11-19,3.8349808333333333
2010-11-22,3.8543466666666664
2010-11-23,3.8597525
2010-11-24,3.869295
2010-11-25,3.8905975
2010-11-26,3.9006475
2010-11-29,3.9096416666666665
2010-11-30,3.925639166666667
2010-12-01,3.929685833333333
2010-12-02,3.947204166666667
2010-12-03,3.95512
2010-12-06,3.9646483333333333
2010-12-07,3.9713366666666663
2010-12-08,3.976131666666667
2010-12-09,3.9733691666666666
2010-12-10,3.9700816666666667
2010-12-13,3.9808966666666667
2010-12-14,3.9991816666666664
2010-12-15,4.01407
2010-12-16,4.022505833333333
2010-12-17,4.027068333333333
2010-12-20,4.0396025
2010-12-21,4.050595833333333
2010-12-22,4.0606583333333335
2010-12-23,4.069703333333333
2010-12-24,4.070426666666666
2010-12-27,4.079754166666667
2010-12-28,4.087033333333333
2010-12-29,4.083922500000001
2010-12-30,4.08739
2010-12-31,4.088496666666667
2011-01-04,4.094879166666667
2011-01-05,4.100415833333333
2011-01-06,4.098738333333333
2011-01-07,4.09849
2011-01-10,4.098109166666666
2011-01-11,4.093234166666667
2011-01-12,4.088616666666666
2011-01-13,4.086495
2011-01-14,4.0831975
2011-01-17,4.07086
2011-01-18,4.0529858333333335
2011-01-19,4.04349
2011-01-20,4.0334200000000004
2011-01-21,4.021215833333333
2011-01-24,4.0076849999999995
2011-01-25,3.9839991666666665
2011-01-26,3.9573625
2011-01-27,3.9431991666666666
2011-01-28,3.9239508333333335
2011-01-31,3.9061066666666666
2011-02-01,3.889320833333333
2011-02-09,3.8732325
2011-02-10,3.8617733333333333
2011-02-11,3.8490116666666667
2011-02-14,3.838401666666667
2011-02-15,3.8414883333333334
2011-02-16,3.838894166666667
2011-02-17,3.841223333333333
2011-02-18,3.831949166666667
2011-02-21,3.8249416666666667
2011-02-22,3.8245291666666663
2011-02-23,3.8139941666666664
2011-02-24,3.806096666666667
2011-02-25,3.799760833333333
2011-02-28,3.7943841666666667
2011-03-01,3.7902291666666668
2011-03-02,3.7944816666666665
2011-03-03,3.8005758333333337
2011-03-04,3.7880433333333334
2011-03-07,3.780156666666667
2011-03-08,3.7680433333333334
2011-03-09,3.754679166666667
2011-03-10,3.7395424999999998
2011-03-11,3.7300108333333335
2011-03-14,3.732139166666667
2011-03-15,3.7330525
2011-03-16,3.725429166666667
2011-03-17,3.7211983333333336
2011-03-18,3.708466666666667
2011-03-21,3.693678333333333
2011-03-22,3.6769575
2011-03-23,3.6677608333333334
2011-03-24,3.6761466666666665
2011-03-25,3.6894383333333334
2011-03-28,3.710659166666667
2011-03-29,3.7296325
2011-03-30,3.7383691666666667
2011-03-31,3.7454833333333335
2011-04-01,3.7505366666666666
2011-04-06,3.7491216666666665
2011-04-07,3.739189166666667
2011-04-08,3.732905
2011-04-11,3.7283241666666664
2011-04-12,3.7185908333333333
2011-04-13,3.7125575000000004
2011-04-14,3.710109166666667
2011-04-15,3.7115766666666667
2011-04-18,3.711431666666667
2011-04-19,3.7164983333333335
2011-04-20,3.7115283333333333
2011-04-21,3.6997050000000002
2011-04-22,3.6861566666666667
2011-04-25,3.6687716666666663
2011-04-26,3.6563116666666664
2011-04-27,3.6432783333333334
