date,932000.CSI_均线_120日
2014-07-01,1097.7631250000002
2014-07-02,1099.3413158333335
2014-07-03,1100.9870666666668
2014-07-04,1102.9062033333332
2014-07-07,1104.7969308333334
2014-07-08,1106.7283691666667
2014-07-09,1108.6682608333333
2014-07-10,1110.7902866666668
2014-07-11,1112.9647341666669
2014-07-14,1115.1109091666665
2014-07-15,1117.1267391666665
2014-07-16,1119.00132
2014-07-17,1120.8970958333334
2014-07-18,1122.8260958333333
2014-07-21,1124.5788683333333
2014-07-22,1126.30816
2014-07-23,1127.8396383333336
2014-07-24,1129.2141433333334
2014-07-25,1130.6660858333335
2014-07-28,1132.2940383333334
2014-07-29,1133.9484425
2014-07-30,1135.6992575000002
2014-07-31,1137.3738533333333
2014-08-01,1138.7082566666666
2014-08-04,1140.1340391666668
2014-08-05,1141.4884458333333
2014-08-06,1143.0428416666666
2014-08-07,1144.2762541666668
2014-08-08,1145.3831283333336
2014-08-11,1146.6275525000003
2014-08-12,1147.9340683333332
2014-08-13,1149.4477825
2014-08-14,1150.9153616666667
2014-08-15,1152.4158683333333
2014-08-18,1154.5071316666665
2014-08-19,1156.6049300000002
2014-08-20,1158.8650358333332
2014-08-21,1161.0432225
2014-08-22,1163.1107999999997
2014-08-25,1165.11411
2014-08-26,1166.890375833333
2014-08-27,1168.7359758333332
2014-08-28,1170.5246458333336
2014-08-29,1172.8041275
2014-09-01,1175.3588816666665
2014-09-02,1178.1338083333333
2014-09-03,1180.9110974999999
2014-09-04,1183.8148816666665
2014-09-05,1186.5490883333332
2014-09-09,1189.347535
2014-09-10,1192.2267316666664
2014-09-11,1195.4108741666666
2014-09-12,1198.644835
2014-09-15,1202.0776691666665
2014-09-16,1205.0985441666667
2014-09-17,1208.1902708333332
2014-09-18,1211.6177225000001
2014-09-19,1215.4701191666668
2014-09-22,1219.2868674999997
2014-09-23,1223.1696574999999
2014-09-24,1227.2843816666668
2014-09-25,1231.4090541666667
2014-09-26,1235.5527166666666
2014-09-29,1239.7879516666665
2014-09-30,1244.0182408333335
2014-10-08,1248.4567624999997
2014-10-09,1252.9603741666665
2014-10-10,1257.3182158333334
2014-10-13,1261.7133566666666
2014-10-14,1266.075505
2014-10-15,1270.4824508333334
2014-10-16,1274.6842175
2014-10-17,1278.809695
2014-10-20,1283.250225
2014-10-21,1287.6188241666666
2014-10-22,1291.8628024999998
2014-10-23,1296.0151008333335
2014-10-24,1300.4950791666668
2014-10-27,1305.0036341666666
2014-10-28,1309.84375
2014-10-29,1314.7531458333333
2014-10-30,1319.5828008333335
2014-10-31,1324.5266608333332
2014-11-03,1329.6266991666666
2014-11-04,1334.665155
2014-11-05,1339.56119
2014-11-06,1344.6023933333333
2014-11-07,1349.4815391666666
2014-11-10,1354.5935108333333
2014-11-11,1359.1908483333334
2014-11-12,1364.0217791666666
2014-11-13,1368.534865833333
2014-11-14,1372.907815
2014-11-17,1377.5313899999999
2014-11-18,1382.1273308333332
2014-11-19,1386.7260866666666
2014-11-20,1391.299985833333
2014-11-21,1395.9234299999998
2014-11-24,1400.7669908333335
2014-11-25,1405.7331583333334
2014-11-26,1410.8440058333333
2014-11-27,1416.1402733333332
2014-11-28,1421.3259025
2014-12-01,1426.3596891666666
2014-12-02,1431.5326775
2014-12-03,1436.6083824999998
2014-12-04,1441.7385216666667
2014-12-05,1446.3858141666667
2014-12-08,1450.8693816666666
2014-12-09,1454.6003491666668
2014-12-10,1458.7785208333335
2014-12-11,1463.2366100000002
2014-12-12,1468.1256341666667
2014-12-15,1473.1692675000002
2014-12-16,1478.0074391666667
2014-12-17,1482.5256616666666
2014-12-18,1486.9864358333334
2014-12-19,1491.0161041666665
2014-12-22,1494.1017283333333
2014-12-23,1496.9151583333332
2014-12-24,1499.9941658333332
2014-12-25,1503.1547058333335
2014-12-26,1506.2858416666668
2014-12-29,1509.0874233333334
2014-12-30,1511.6392725
2014-12-31,1514.1989425
2015-01-05,1516.9527441666667
2015-01-06,1519.9103541666666
2015-01-07,1522.7543658333334
2015-01-08,1525.4934975
2015-01-09,1528.2094575
2015-01-12,1530.8394283333332
2015-01-13,1533.7020858333335
2015-01-14,1536.5385558333335
2015-01-15,1539.4710983333332
2015-01-16,1542.4470824999999
2015-01-19,1545.3163141666666
2015-01-20,1548.736495
2015-01-21,1552.3487524999998
2015-01-22,1556.0253275
2015-01-23,1559.444175
2015-01-26,1563.0562208333333
2015-01-27,1566.680325
2015-01-28,1570.3873675
2015-01-29,1573.9074225
2015-01-30,1577.1890091666667
2015-02-02,1580.4398491666666
2015-02-03,1583.9984233333334
2015-02-04,1587.4854799999998
2015-02-05,1590.7801308333333
2015-02-06,1593.7717766666667
2015-02-09,1596.5929174999999
2015-02-10,1599.5602416666666
2015-02-11,1602.5718816666667
2015-02-12,1605.5172266666668
2015-02-13,1608.6232925
2015-02-16,1611.9989358333335
2015-02-17,1615.4424033333335
2015-02-25,1618.8321308333334
2015-02-26,1622.3785666666665
2015-02-27,1626.3511383333337
2015-03-02,1630.5935625
2015-03-03,1634.9091858333334
2015-03-04,1639.43814
2015-03-05,1643.9033191666667
