date,8841431.WI_年化波动率_120日
2009-11-23,32.932589155838286
2009-11-24,34.108548729390726
2009-11-25,34.485852612770515
2009-11-26,34.922909981047894
2009-11-27,35.14057668101161
2009-11-30,35.582981092125266
2009-12-01,35.82079388681294
2009-12-02,35.871573279284696
2009-12-03,35.87285202176502
2009-12-04,36.1722785256298
2009-12-07,36.09849758666617
2009-12-08,36.030074741746375
2009-12-09,36.12136783260808
2009-12-10,36.117738129000244
2009-12-11,36.11969698774667
2009-12-14,36.13845730034743
2009-12-15,36.11622811601648
2009-12-16,36.127143357817936
2009-12-17,36.454056600033425
2009-12-18,36.855044820774374
2009-12-21,36.887755415732734
2009-12-22,37.20754778593738
2009-12-23,37.23928590646347
2009-12-24,37.43060154710554
2009-12-25,37.42324761215644
2009-12-28,37.48080272271238
2009-12-29,37.48649150348714
2009-12-30,37.49635172453377
2009-12-31,37.48818272878735
2010-01-04,37.38879091480551
2010-01-05,37.41067916456887
2010-01-06,37.4007169860854
2010-01-07,37.489511216588085
2010-01-08,37.50729778656211
2010-01-11,37.5180539000796
2010-01-12,37.59686264568226
2010-01-13,37.55348839407194
2010-01-14,37.48191342394266
2010-01-15,37.44947403986685
2010-01-18,37.474717969159485
2010-01-19,37.455026858146226
2010-01-20,37.79266155523404
2010-01-21,37.77405368226714
2010-01-22,36.84533493055665
2010-01-25,36.88643152280376
2010-01-26,37.179361865687646
2010-01-27,37.10159653834682
2010-01-28,37.089381964821236
2010-01-29,37.09256888843692
2010-02-01,37.13372187954887
2010-02-02,36.96341279647664
2010-02-03,36.998852853558226
2010-02-04,37.02146349566596
2010-02-05,36.229000985674986
2010-02-08,36.228801876038474
2010-02-09,35.26045590949908
2010-02-10,33.65609748003426
2010-02-11,33.595211435272304
2010-02-12,32.59001354716864
2010-02-22,32.20666345054372
2010-02-23,31.97207822742556
2010-02-24,31.9755382444302
2010-02-25,31.94002611049752
2010-02-26,31.580459882285755
2010-03-01,31.57790531246581
2010-03-02,31.303128971087542
2010-03-03,29.563830338746367
2010-03-04,30.125875955362385
2010-03-05,30.119606958899446
2010-03-08,29.65473030626416
2010-03-09,29.598526112956453
2010-03-10,29.619504212388843
2010-03-11,29.580861468355003
2010-03-12,29.67058516173628
2010-03-15,29.662912161723977
2010-03-16,29.623992368660662
2010-03-17,29.615549915196972
2010-03-18,29.58488472660169
2010-03-19,29.585728566254986
2010-03-22,29.375941730383055
2010-03-23,29.01100651025446
2010-03-24,28.942376151709198
2010-03-25,28.748349617077157
2010-03-26,28.54399232919928
2010-03-29,28.49588699600601
2010-03-30,28.47173524028382
2010-03-31,27.93831874221025
2010-04-01,27.591090524430516
2010-04-02,27.588191908843473
2010-04-06,26.870792260587496
2010-04-07,26.8563729474103
2010-04-08,26.790386919460406
2010-04-09,26.814320589513503
2010-04-12,26.8443072475261
2010-04-13,27.153299070993185
2010-04-14,27.038721981926823
2010-04-15,27.053799726983392
2010-04-16,27.015015213116765
2010-04-19,27.6993826773976
2010-04-20,27.685131118129412
2010-04-21,27.940318876795622
2010-04-22,27.58510021498528
2010-04-23,27.58837262280842
2010-04-26,27.39933675349704
2010-04-27,27.787079301799334
2010-04-28,27.598826340872602
2010-04-29,27.794969009248355
2010-04-30,28.4115970842867
2010-05-04,28.372286500738813
2010-05-05,28.731421999366862
2010-05-06,29.100320973175435
2010-05-07,29.214733278090716
2010-05-10,29.30693081669178
2010-05-11,29.56629173630745
2010-05-12,29.70879617136947
2010-05-13,29.708034905351777
2010-05-14,29.69954723454833
2010-05-17,31.478403233401263
2010-05-18,31.360647741484115
2010-05-19,31.336907038340044
2010-05-20,31.328806037017742
2010-05-21,30.248379938001097
2010-05-24,30.485549729238436
2010-05-25,30.038467206703068
2010-05-26,29.816209346791013
2010-05-27,29.34627078548085
2010-05-28,29.005296713489653
2010-05-31,29.265462160931456
2010-06-01,29.385264222181807
2010-06-02,29.18341794210114
2010-06-03,29.030875746683577
2010-06-04,29.07686739630877
2010-06-07,28.997016122135843
2010-06-08,29.042652505707107
2010-06-09,29.239467436305755
2010-06-10,29.231841529999798
2010-06-11,29.219722337293025
2010-06-17,29.24047172497136
2010-06-18,29.599792116054672
2010-06-21,29.45753370770105
2010-06-22,29.43420007397104
2010-06-23,29.067665435527463
2010-06-24,28.966832439648133
2010-06-25,28.78440090529313
2010-06-28,28.86309772225039
2010-06-29,30.152002986733994
2010-06-30,30.302373928561348
2010-07-01,30.33233853770239
2010-07-02,30.286379622690042
2010-07-05,30.28234711434081
2010-07-06,30.519560053468652
2010-07-07,30.57862067773461
2010-07-08,30.458414874428474
2010-07-09,30.68867640497232
2010-07-12,30.726968722514503
2010-07-13,30.62055119551752
2010-07-14,30.666104313348804
2010-07-15,30.619839749520704
2010-07-16,30.62132114538173
2010-07-19,30.716615485364056
2010-07-20,30.98199783784061
2010-07-21,30.568076109650512
2010-07-22,30.61521449552392
2010-07-23,30.347050197154708
2010-07-26,30.35943158169381
2010-07-27,29.79788522766426
2010-07-28,29.90196015421327
2010-07-29,29.90039310801859
2010-07-30,29.876992057311647
2010-08-02,29.899315084739158
2010-08-03,29.99932737833464
2010-08-04,29.94496934099763
2010-08-05,29.90421624260493
2010-08-06,29.959261360009947
2010-08-09,30.028728327133287
2010-08-10,30.532882716206633
2010-08-11,30.535803750170686
2010-08-12,30.56769483693281
2010-08-13,30.556393290852462
2010-08-16,30.672094614518507
2010-08-17,30.646761888187505
2010-08-18,30.453692916186963
2010-08-19,30.370001418044335
2010-08-20,30.50117758790255
2010-08-23,30.44124240530155
2010-08-24,30.492688831122557
2010-08-25,30.594219645595043
2010-08-26,30.15247023655123
2010-08-27,30.15512280349948
2010-08-30,30.285955567683192
2010-08-31,30.312272027218114
2010-09-01,30.33738184894158
2010-09-02,30.511457494227678
2010-09-03,30.495167801084094
2010-09-06,30.4779882636025
2010-09-07,30.459848194804223
2010-09-08,30.282250244202647
2010-09-09,30.356701431513837
2010-09-10,30.373585316953605
2010-09-13,30.43630356007716
2010-09-14,30.42659828430002
2010-09-15,30.532482689154023
2010-09-16,30.726401838693292
2010-09-17,30.690990936948833
2010-09-20,30.749321670284047
2010-09-21,30.723312653525987
2010-09-27,30.870669437592834
2010-09-28,30.820694757250006
2010-09-29,30.882406812927858
2010-09-30,30.92265596679926
2010-10-08,31.07955164333648
2010-10-11,31.0930448177603
2010-10-12,31.041127183899235
2010-10-13,30.991717978236206
2010-10-14,31.155171331469617
2010-10-15,31.14089045917174
2010-10-18,31.14431933352149
2010-10-19,31.58562326708596
2010-10-20,31.06073836014369
2010-10-21,31.051513590764795
2010-10-22,30.814714552693108
2010-10-25,30.94366648948975
2010-10-26,30.942232520131736
2010-10-27,30.93940353529092
2010-10-28,30.631446002335423
2010-10-29,30.650706234861815
2010-11-01,30.519664820655585
2010-11-02,29.950001076292416
2010-11-03,30.00673438755638
2010-11-04,29.750990005398602
2010-11-05,29.433783868770874
2010-11-08,29.503543465190457
2010-11-09,29.397446355087858
2010-11-10,29.11609297092454
2010-11-11,28.953999841343375
2010-11-12,30.350352035929912
2010-11-15,30.64100393205147
2010-11-16,28.906380796718167
2010-11-17,29.127430730383647
2010-11-18,29.173381051524622
2010-11-19,29.19157901948416
2010-11-22,29.17934970469842
2010-11-23,28.528807398986732
2010-11-24,28.665179954093674
2010-11-25,28.67181730224944
2010-11-26,28.57206440959819
2010-11-29,28.580707556187672
2010-11-30,28.602457197193104
2010-12-01,28.383703183545876
2010-12-02,28.326512669898545
2010-12-03,28.335561707845713
2010-12-06,28.419024980073715
2010-12-07,28.46125418321297
2010-12-08,28.417521164653504
2010-12-09,28.414001267492274
2010-12-10,28.445524079665415
2010-12-13,28.680381474123056
2010-12-14,28.685389712526444
2010-12-15,27.868634984175923
2010-12-16,27.597519866374032
2010-12-17,27.574916246141274
2010-12-20,27.66814633281005
2010-12-21,27.725099605480846
2010-12-22,27.617170437931467
2010-12-23,27.662418441784766
2010-12-24,26.159114451224934
2010-12-27,26.287237164025747
2010-12-28,26.383175102617678
2010-12-29,26.444449533019498
2010-12-30,26.427600168062497
2010-12-31,26.254290362285527
2011-01-04,26.28132037069411
2011-01-05,26.271996811478914
2011-01-06,26.025444580537776
2011-01-07,25.981885001829564
2011-01-10,26.119245298029604
2011-01-11,26.14035011329556
2011-01-12,25.830350027802883
2011-01-13,25.824760847566957
2011-01-14,25.877828593205265
2011-01-17,26.32983466461504
2011-01-18,26.337109246279994
2011-01-19,26.391612333057974
2011-01-20,26.998689065957613
2011-01-21,26.955835363850056
2011-01-24,27.07715613421715
2011-01-25,27.049004433255874
2011-01-26,27.106267326358623
2011-01-27,27.146889344527608
2011-01-28,27.05749232995378
2011-01-31,26.970420245721066
2011-02-01,26.928872511827922
2011-02-09,26.94009243884589
2011-02-10,27.140510868193353
2011-02-11,27.09452370732765
2011-02-14,26.57961252926385
2011-02-15,26.517045680503053
2011-02-16,26.55975032628649
2011-02-17,26.4318136617981
2011-02-18,26.33010757382407
2011-02-21,26.425632849603353
2011-02-22,26.695240677056276
2011-02-23,26.7450033160938
2011-02-24,26.5988773717993
2011-02-25,26.563251316830915
2011-02-28,26.557253913937974
2011-03-01,26.358743240596244
2011-03-02,26.3496148680354
2011-03-03,26.44956956811033
2011-03-04,26.287394762908168
2011-03-07,26.292221441009815
2011-03-08,26.235280094193897
2011-03-09,26.04632643990258
2011-03-10,25.99559674931718
2011-03-11,25.98711648734657
2011-03-14,26.01091692883271
2011-03-15,26.064742567421433
2011-03-16,26.013818414354724
2011-03-17,26.13557551129937
2011-03-18,26.064226899568048
2011-03-21,26.074825743747205
2011-03-22,25.923068298659018
2011-03-23,25.69528650369325
2011-03-24,25.701406492006395
2011-03-25,25.612474219000436
2011-03-28,25.585775249973945
2011-03-29,25.58825621321683
2011-03-30,25.582155256377238
2011-03-31,25.531324776246812
2011-04-01,25.523380966872683
2011-04-06,25.346056967504243
2011-04-07,25.3522029148191
2011-04-08,25.372936683411158
2011-04-11,25.414828884903933
2011-04-12,24.925362741880814
2011-04-13,24.90826749302623
2011-04-14,24.82858782477889
2011-04-15,24.31646793224786
2011-04-18,24.322026911182792
2011-04-19,24.35939404980279
2011-04-20,24.325090705964485
2011-04-21,24.170351660369672
2011-04-22,24.174362155186092
2011-04-25,24.43121394962087
2011-04-26,24.645655665492576
2011-04-27,24.66629961600729
2011-04-28,24.929530956149346
2011-04-29,24.98636561084761
2011-05-03,25.00359096909467
2011-05-04,25.031980152513107
2011-05-05,24.971692044649956
2011-05-06,24.712550378612438
2011-05-09,24.745178601421166
2011-05-10,24.745095183539796
2011-05-11,24.700817175187183
2011-05-12,22.995696475602003
2011-05-13,22.589096034067403
2011-05-16,22.354331510989088
2011-05-17,22.099773982766933
2011-05-18,22.01390904688244
2011-05-19,21.679407721761876
2011-05-20,21.549712786533938
2011-05-23,22.314134413164368
2011-05-24,22.08497677747987
2011-05-25,22.194182398888604
2011-05-26,22.204827105582424
2011-05-27,22.531382616464278
2011-05-30,22.131775741371264
2011-05-31,22.32989257227384
2011-06-01,22.33890966608608
2011-06-02,22.462049518659306
2011-06-03,22.512695151200486
2011-06-07,22.4587448303948
2011-06-08,22.46487618373916
2011-06-09,22.4976170587988
2011-06-10,22.433187918739446
2011-06-13,22.049859170231507
2011-06-14,22.06318432450388
2011-06-15,22.085315843362913
2011-06-16,22.292347551077818
2011-06-17,22.353436521100235
2011-06-20,22.347276462626454
2011-06-21,22.36733592935223
2011-06-22,22.34998580226926
2011-06-23,22.465419619153757
2011-06-24,22.55482616705904
2011-06-27,22.27979544817985
2011-06-28,22.132628783384757
2011-06-29,22.06245430506756
2011-06-30,22.122308248756102
2011-07-01,21.998190251391847
2011-07-04,22.095529834210843
2011-07-05,22.12223914597762
2011-07-06,22.142319131574823
2011-07-07,22.143072537984416
2011-07-08,21.93312955426364
2011-07-11,21.913739734808292
2011-07-12,22.084456992388233
2011-07-13,22.319019415800334
2011-07-14,22.22943096073183
2011-07-15,21.47576897329101
2011-07-18,21.469457159215064
2011-07-19,21.3807704685258
2011-07-20,20.638842170386493
2011-07-21,20.703362463472246
2011-07-22,20.56296818731966
2011-07-25,21.400638033159876
2011-07-26,21.29907210342737
2011-07-27,21.423334685095565
2011-07-28,21.37193214522166
2011-07-29,21.359423865052566
2011-08-01,21.423717321934085
2011-08-02,21.409483517860476
2011-08-03,21.00999717595128
2011-08-04,20.96095273509602
