date,932000.CSI_占市场比重
2014-01-02,6.906216000012126
2014-01-03,6.76162986728235
2014-01-06,5.861526561101081
2014-01-07,5.795144841089867
2014-01-08,5.953938690148333
2014-01-09,5.690852505551051
2014-01-10,5.667401290867796
2014-01-13,4.9540962433089275
2014-01-14,5.935939697912482
2014-01-15,6.429787403155232
2014-01-16,7.037432561901345
2014-01-17,6.613669332513905
2014-01-20,6.998191663152712
2014-01-21,7.192701038551539
2014-01-22,6.169090212161786
2014-01-23,6.639679108163479
2014-01-24,6.125751160669099
2014-01-27,6.176856578495355
2014-01-28,6.1179100964064235
2014-01-29,5.628888966533394
2014-01-30,5.113686342107478
2014-02-07,5.250180915574701
2014-02-10,5.171000567088097
2014-02-11,4.913520640398264
2014-02-12,5.673559112411243
2014-02-13,5.1691099375877645
2014-02-14,5.803458255540958
2014-02-17,5.35856259823559
2014-02-18,5.764603492478561
2014-02-19,5.3799139064520975
2014-02-20,4.933548035174468
2014-02-21,5.446211188751654
2014-02-24,5.1137501669902505
2014-02-25,5.793629060581277
2014-02-26,5.655113142996876
2014-02-27,5.4279980740338205
2014-02-28,4.978378178094286
2014-03-03,5.1860063293021845
2014-03-04,5.179005205439811
2014-03-05,5.30851521914672
2014-03-06,5.271649496849819
2014-03-07,5.3122089048240895
2014-03-10,4.995961828089475
2014-03-11,5.185010826459886
2014-03-12,4.7796888194052585
2014-03-13,4.847880106881484
2014-03-14,5.098999856816219
2014-03-17,5.545791240718562
2014-03-18,5.781763530367892
2014-03-19,5.419681729246545
2014-03-20,5.66553860980215
2014-03-21,4.57643429909048
2014-03-24,4.437754970024358
2014-03-25,5.0202412260212
2014-03-26,5.452382053991448
2014-03-27,5.48989335562667
2014-03-28,5.2490436457416925
2014-03-31,5.014007931106229
2014-04-01,5.047649281545985
2014-04-02,4.655893896665576
2014-04-03,4.543247549404763
2014-04-04,4.9734970857507745
2014-04-08,4.096705545178459
2014-04-09,5.100026015286894
2014-04-10,4.667359890357982
2014-04-11,4.997806456844565
2014-04-14,5.591394790566094
2014-04-15,5.778795951654552
2014-04-16,5.9531852906246385
2014-04-17,5.856593272533281
2014-04-18,6.0422831645739885
2014-04-21,5.63475900313673
2014-04-22,5.43342309132114
2014-04-23,5.339837342119567
2014-04-24,5.819644740932043
2014-04-25,6.048375240086563
2014-04-28,5.660440503412693
2014-04-29,5.364445798024032
2014-04-30,5.4587744972749075
2014-05-05,6.210139313189178
2014-05-06,6.68337285326524
2014-05-07,6.76044529330392
2014-05-08,6.173066254796899
2014-05-09,6.03744569444855
2014-05-12,4.849456566152354
2014-05-13,5.081337334602884
2014-05-14,5.852416301719772
2014-05-15,5.657661580615157
2014-05-16,5.632513181938266
2014-05-19,4.746161221222642
2014-05-20,5.485518511839366
2014-05-21,5.774425103957687
2014-05-22,5.530696377162222
2014-05-23,5.6633583226970226
2014-05-26,5.899396635981565
2014-05-27,6.652447982437367
2014-05-28,6.35953733363748
2014-05-29,6.13089644011634
2014-05-30,6.083337454145264
2014-06-03,6.309215943244395
2014-06-04,6.301886133122736
2014-06-05,7.092442484488318
2014-06-06,7.929335565187655
2014-06-09,7.435548752896717
2014-06-10,7.04460800321047
2014-06-11,7.921772961315142
2014-06-12,8.088219247443183
2014-06-13,6.951670606694103
2014-06-16,5.786647932779946
2014-06-17,5.953907695290039
2014-06-18,6.19048340775726
2014-06-19,5.485165208515868
2014-06-20,5.725511606185157
2014-06-23,6.120505250575023
2014-06-24,5.935871308374632
2014-06-25,5.892402807131634
2014-06-26,6.0468776337417625
2014-06-27,5.9413811284514715
2014-06-30,5.859206492687827
2014-07-01,6.054328655626808
2014-07-02,6.225153491425667
2014-07-03,5.59875246575839
2014-07-04,5.9680913460974105
2014-07-07,5.901362114906117
2014-07-08,5.822728143462403
2014-07-09,5.9818669498449095
2014-07-10,5.729946821622117
2014-07-11,5.227417982758087
2014-07-14,5.149706422532924
2014-07-15,5.331853639414355
2014-07-16,5.2073339360539785
2014-07-17,4.901180844489959
2014-07-18,4.624421417136996
2014-07-21,5.037665535827371
2014-07-22,4.819404786092059
2014-07-23,4.959711686634689
2014-07-24,4.26164437502716
2014-07-25,4.132650800458553
2014-07-28,3.469034199775519
2014-07-29,4.105358484936246
2014-07-30,4.348697932421027
2014-07-31,4.412207662515335
2014-08-01,4.196161512554792
2014-08-04,3.993592238956796
2014-08-05,4.276283830122361
2014-08-06,4.224686837583147
2014-08-07,4.134193460258456
2014-08-08,4.189480542953258
2014-08-11,4.656613649718496
2014-08-12,4.871476033113015
2014-08-13,4.8004808284553455
2014-08-14,5.092553240049292
2014-08-15,5.04554744018378
2014-08-18,5.456270917190095
2014-08-19,5.473685393740769
2014-08-20,5.373753346857627
2014-08-21,4.852520619762688
2014-08-22,5.249606027175682
2014-08-25,5.021299742667008
2014-08-26,5.131851351736811
2014-08-27,4.993197858847763
2014-08-28,5.251348079632618
2014-08-29,5.848071587607614
2014-09-01,5.621139224457633
2014-09-02,4.978074411378271
2014-09-03,5.443589090547101
2014-09-04,5.295761828122679
2014-09-05,4.786696102369657
2014-09-09,5.003448433492421
2014-09-10,5.359013281929069
2014-09-11,5.31053225453901
2014-09-12,5.536270490664935
2014-09-15,5.278325143573304
2014-09-16,4.906518016091967
2014-09-17,4.6984920500851635
2014-09-18,5.16028642998023
2014-09-19,5.122432824690181
2014-09-22,4.966601515964399
2014-09-23,5.560912121385321
2014-09-24,5.802697053676475
2014-09-25,5.826899824294042
2014-09-26,5.66234941441746
2014-09-29,5.723342542375225
2014-09-30,5.6396569708419335
2014-10-08,5.3662747761784635
2014-10-09,5.330311488991413
2014-10-10,5.4632783931762505
2014-10-13,5.32866066347497
2014-10-14,5.570289993491293
2014-10-15,5.220516325517078
2014-10-16,5.329465479516862
2014-10-17,5.581174953021601
2014-10-20,5.457884563586814
2014-10-21,5.841163516832806
2014-10-22,5.698431741101941
2014-10-23,5.664910899905347
2014-10-24,5.530866865853896
2014-10-27,5.079823446400938
2014-10-28,5.5856660191094845
2014-10-29,4.927487272966943
2014-10-30,4.637671453932598
2014-10-31,3.973160473173161
2014-11-03,4.529980385242025
2014-11-04,4.297947091923666
2014-11-05,4.343151561635489
2014-11-06,4.448616778991955
2014-11-07,4.290237994767356
2014-11-10,3.5608342860506625
2014-11-11,3.551739189893373
2014-11-12,3.4805221786019054
2014-11-13,3.536358146125375
2014-11-14,3.4908712029828544
2014-11-17,3.595397305428242
2014-11-18,3.9339674437728003
2014-11-19,4.4191863746657045
2014-11-20,4.476259105579204
2014-11-21,3.911704414168973
2014-11-24,3.1215570547116163
2014-11-25,3.433435321791932
2014-11-26,3.6314607390848157
2014-11-27,3.631751259457646
