date,000905.SH_占市场比重
2005-01-04,19.819219028423902
2005-01-05,24.559006698311688
2005-01-06,23.864284729227183
2005-01-07,23.562516095077328
2005-01-10,24.454240684651634
2005-01-11,25.906191696432966
2005-01-12,28.369058351675474
2005-01-13,32.495442855670824
2005-01-14,27.8648396353605
2005-01-17,27.62686046540848
2005-01-18,29.798748489351517
2005-01-19,30.537489562474985
2005-01-20,29.533748514324937
2005-01-21,24.54806650132195
2005-01-24,26.87482437526358
2005-01-25,24.34343455332393
2005-01-26,25.619444676508575
2005-01-27,27.435301530981427
2005-01-28,29.901773182035317
2005-01-31,27.428601986709044
2005-02-01,26.136655456069423
2005-02-02,21.71876793944437
2005-02-03,22.018143273842682
2005-02-04,19.940668261207158
2005-02-16,21.03481167792457
2005-02-17,21.65468793117383
2005-02-18,24.2350985455982
2005-02-21,24.142103235443173
2005-02-22,26.338090257147407
2005-02-23,27.089658049339814
2005-02-24,27.602416977721806
2005-02-25,25.988922537447305
2005-02-28,25.85695241181551
2005-03-01,28.295018055204128
2005-03-02,24.994327675528975
2005-03-03,26.933655405978453
2005-03-04,24.409908287739327
2005-03-07,25.01042558841889
2005-03-08,25.29534876090264
2005-03-09,26.99273750176626
2005-03-10,26.428053716259814
2005-03-11,25.763429521630137
2005-03-14,25.933773881760825
2005-03-15,26.580081983219365
2005-03-16,24.497675510767763
2005-03-17,25.800355615001475
2005-03-18,26.55006559850958
2005-03-21,27.789539958833775
2005-03-22,25.542787657686915
2005-03-23,24.656734315667503
2005-03-24,22.78924740767259
2005-03-25,27.358084530521324
2005-03-28,26.41199979957374
2005-03-29,23.465033455431506
2005-03-30,24.687701408799313
2005-03-31,24.403425265104616
2005-04-01,21.814707245649494
2005-04-04,22.779097125523396
2005-04-05,22.927857143131106
2005-04-06,23.233728932133157
2005-04-07,23.684218204625022
2005-04-08,26.172947931761353
2005-04-11,25.658166895869883
2005-04-12,26.564012310150886
2005-04-13,25.06523032911464
2005-04-14,25.77016591940766
2005-04-15,26.772682626157884
2005-04-18,25.44944897615759
2005-04-19,23.695888863040622
2005-04-20,25.74341103064614
2005-04-21,26.898181404699045
2005-04-22,26.458002131985836
2005-04-25,24.77201778178964
2005-04-26,23.815699454154792
2005-04-27,27.319076164270395
2005-04-28,25.27967170178541
2005-04-29,24.09272751507377
2005-05-09,24.328959527741716
2005-05-10,22.68197007274879
2005-05-11,24.64031258395275
2005-05-12,21.61715044741504
2005-05-13,22.75641606271315
2005-05-16,24.593786476646322
2005-05-17,25.04162196276066
2005-05-18,23.56410530916823
2005-05-19,26.862373466004957
2005-05-20,26.427719265875048
2005-05-23,25.43240578136278
2005-05-24,23.31252108833188
2005-05-25,28.82867216852717
2005-05-26,29.160524348248973
2005-05-27,23.509200377390645
2005-05-30,24.06042239337522
2005-05-31,25.97171698346618
2005-06-01,24.63555250988347
2005-06-02,23.598945990660447
2005-06-03,24.2388591852201
2005-06-06,23.87584363547603
2005-06-07,24.495617395811863
2005-06-08,22.186327882963532
2005-06-09,22.661718033164476
2005-06-10,21.72601540743071
2005-06-13,22.337783496696552
2005-06-14,23.539490114422186
2005-06-15,23.07056062305328
2005-06-16,22.590998046139283
2005-06-17,19.4331583205718
2005-06-20,21.312605792752198
2005-06-21,22.478001745307193
2005-06-22,20.430735032537044
2005-06-23,22.741871182080207
2005-06-24,21.193504624344538
2005-06-27,24.934089877506054
2005-06-28,23.84911534215377
2005-06-29,25.459809409499456
2005-06-30,23.55997962334931
2005-07-01,27.776400747647994
2005-07-04,29.602014090116025
2005-07-05,29.372223823933314
2005-07-06,27.469350687006592
2005-07-07,28.298600861741267
2005-07-08,29.17933830952465
2005-07-11,26.89940914866703
2005-07-12,23.215387432573948
2005-07-13,27.743453069415462
2005-07-14,26.231505702211912
2005-07-15,28.298613151594214
2005-07-18,26.615098140419
2005-07-19,25.532397683648707
