date,000852.SH_动量_120日
2015-04-15,55.82949915724049
2015-04-16,55.03672097905277
2015-04-17,56.77015334077884
2015-04-20,55.1820237544193
2015-04-21,63.837397392421494
2015-04-22,68.21586132173306
2015-04-23,68.22944118020165
2015-04-24,64.25127748523933
2015-04-27,62.88442904004179
2015-04-28,57.77864543446316
2015-04-29,62.79650356521025
2015-04-30,62.21321470562506
2015-05-04,64.801560251458
2015-05-05,60.701401663175304
2015-05-06,58.589386363144904
2015-05-07,57.45415946618
2015-05-08,64.47924090691079
2015-05-11,78.84132237003331
2015-05-12,80.57721021598161
2015-05-13,84.88882897820669
2015-05-14,86.55796224810075
2015-05-15,83.8753822633729
2015-05-18,87.99965209017901
2015-05-19,91.0267468057961
2015-05-20,96.12882095611018
2015-05-21,101.67450383558192
2015-05-22,101.60882933369226
2015-05-25,101.45462407011281
2015-05-26,108.25203492076318
2015-05-27,109.8473145281786
2015-05-28,97.88169632244474
2015-05-29,103.7901191152582
2015-06-01,112.017828416819
2015-06-02,119.1650942737264
2015-06-03,117.34898011028076
2015-06-04,121.42452696024458
2015-06-05,124.01432997946111
2015-06-08,128.84093740885746
2015-06-09,121.55883401577867
2015-06-10,123.75219005228897
2015-06-11,125.64480786654019
2015-06-12,125.38317804733899
2015-06-15,121.66108762963894
2015-06-16,115.26432049242277
2015-06-17,120.26563547020652
2015-06-18,116.43559951923268
2015-06-19,112.8019132821029
2015-06-23,116.60677767215208
2015-06-24,116.31289686001902
2015-06-25,105.06975967560335
2015-06-26,88.17562612128198
2015-06-29,78.8175414278357
2015-06-30,90.24177469597015
2015-07-01,78.08337757485666
2015-07-02,65.33406548032185
2015-07-03,51.622453661400655
2015-07-06,43.6556452819945
2015-07-07,35.5609186791088
2015-07-08,32.418219807663576
2015-07-09,37.718329876714776
2015-07-10,39.77798053774559
2015-07-13,47.127050522128776
2015-07-14,51.38088381622063
2015-07-15,43.03899265443874
2015-07-16,47.99160130850009
2015-07-17,50.57305530336231
2015-07-20,52.18563463724841
2015-07-21,53.19608363136577
2015-07-22,57.31709931626359
2015-07-23,58.87157190575034
2015-07-24,56.11073431169056
2015-07-27,45.802063944662244
2015-07-28,40.14391083478428
2015-07-29,48.58455011053835
2015-07-30,44.75014087571374
2015-07-31,38.60647956758603
2015-08-03,31.116045810388716
2015-08-04,39.24116053874898
2015-08-05,41.58046278590501
2015-08-06,42.542229378838044
2015-08-07,46.208091804867045
2015-08-10,51.65039402543974
2015-08-11,51.46172440617769
2015-08-12,46.80388118983876
2015-08-13,48.002066242363384
2015-08-14,47.833335446327816
2015-08-17,50.80139592685733
2015-08-18,39.195570700788096
2015-08-19,40.828869060954176
2015-08-20,33.1012054781866
2015-08-21,26.449018608348005
2015-08-24,14.78456987243617
2015-08-25,5.787298886873615
2015-08-26,2.7987052770602316
2015-08-27,4.599802223004845
2015-08-28,9.310515680935438
2015-08-31,5.077071894471175
2015-09-01,-0.97288489036782
2015-09-02,-6.789799649512485
2015-09-07,-7.742207968936765
2015-09-08,-4.275393604323052
2015-09-09,-2.382820115100681
2015-09-10,-4.547183855559167
2015-09-11,-4.407992999976318
2015-09-14,-13.412153649560821
2015-09-15,-18.72223056642226
2015-09-16,-14.619380804058412
2015-09-17,-13.739495886140318
2015-09-18,-13.249701990438655
2015-09-21,-9.993270040210012
2015-09-22,-10.248607776634744
2015-09-23,-13.145077468853096
2015-09-24,-14.172123714813068
2015-09-25,-18.887249566072526
2015-09-28,-18.343457919102335
2015-09-29,-18.34801212827545
2015-09-30,-17.526231749998942
2015-10-08,-16.083933369033232
2015-10-09,-16.642211478850356
2015-10-12,-13.300350496263391
2015-10-13,-8.369069287013742
2015-10-14,-10.554024276009265
2015-10-15,-7.935350154870102
2015-10-16,-4.389688176075723
2015-10-19,-8.03756843234018
2015-10-20,-8.791400365493175
2015-10-21,-15.473737960489931
2015-10-22,-12.141091732344522
2015-10-23,-9.752892903124344
2015-10-26,-5.940390497744041
2015-10-27,-7.533427983457663
2015-10-28,-10.300287117810624
2015-10-29,-10.277790057185243
2015-10-30,-8.18409316426958
2015-11-02,-10.319917072313379
2015-11-03,-8.994975581521981
2015-11-04,-8.541030213015278
2015-11-05,-12.813056903232756
2015-11-06,-12.868467700560016
2015-11-09,-11.863430993149137
2015-11-10,-11.594401976612467
2015-11-11,-9.961012414946435
2015-11-12,-12.191678767106673
2015-11-13,-16.030206163957494
2015-11-16,-15.970436114295893
2015-11-17,-19.677750366477177
