date,000852.SH_涨跌幅绝对值_1日
2014-10-20,1.582063912397924
2014-10-21,0.8369783508705875
2014-10-22,1.2370621175656238
2014-10-23,1.6097360269829553
2014-10-24,0.1929522435187847
2014-10-27,1.0924403972718544
2014-10-28,2.610924416473348
2014-10-29,1.3470379345299266
2014-10-30,0.08181921363586975
2014-10-31,0.5283591291190604
2014-11-03,1.0853153926563497
2014-11-04,0.7039045454639736
2014-11-05,0.07334940569490023
2014-11-06,0.9947737723503769
2014-11-07,0.9703154236665013
2014-11-10,0.296154550769101
2014-11-11,3.5796684666824174
2014-11-12,1.6113886027636637
2014-11-13,1.5731223462261301
2014-11-14,0.23799002022317772
2014-11-17,1.520722542477282
2014-11-18,0.6341593025083636
2014-11-19,0.8801988167808528
2014-11-20,0.1234023329386269
2014-11-21,0.8867720382371713
2014-11-24,0.8372198704840184
2014-11-25,1.5798289629642248
2014-11-26,0.6679450513590979
2014-11-27,0.5819143017867567
2014-11-28,0.08529819684153228
2014-12-01,1.3220526734040283
2014-12-02,1.0182615029196818
2014-12-03,0.873410931318297
2014-12-04,1.4026036708562728
2014-12-05,2.168448411750401
2014-12-08,0.07084396392559311
2014-12-09,4.5860394198322
2014-12-10,3.334373686878256
2014-12-11,1.515766922524775
2014-12-12,1.2667491423906885
2014-12-15,1.725771138805765
2014-12-16,0.3437894488630189
2014-12-17,1.2680145676390753
2014-12-18,0.15627864491546406
2014-12-19,1.5722499767233167
2014-12-22,4.931002314057597
2014-12-23,1.5883456834660525
2014-12-24,2.1833639197750943
2014-12-25,1.0987707636122224
2014-12-26,0.1836880510842409
2014-12-29,2.1648762515367403
2014-12-30,1.9075815804579732
2014-12-31,0.7502378550190869
2015-01-05,0.36942224994691575
2015-01-06,2.0266002753485335
2015-01-07,0.09109920432791574
2015-01-08,0.04310198744269522
2015-01-09,0.5856318940395511
2015-01-12,1.0725990745448777
2015-01-13,1.729282516174191
2015-01-14,0.45121569770769643
2015-01-15,0.4783615043433498
2015-01-16,1.3522714340785225
2015-01-19,2.2838817512585763
2015-01-20,3.721319270585677
2015-01-21,2.0373917938412367
2015-01-22,1.5915132901405116
2015-01-23,1.0134371884817583
2015-01-26,2.161543398430066
2015-01-27,0.7706908065682416
2015-01-28,0.41145500780870314
2015-01-29,0.6189223829119239
2015-01-30,1.1835160879123952
2015-02-02,0.16335204381756618
2015-02-03,1.8152962184414312
2015-02-04,0.01819807773599802
2015-02-05,0.01118235688613023
2015-02-06,1.910601642720977
2015-02-09,0.7987192790996134
2015-02-10,1.2510160518822477
2015-02-11,1.3681282793390537
2015-02-12,0.8773592997377122
2015-02-13,1.6711827519106714
2015-02-16,2.192727889471713
2015-02-17,0.7860679674862592
2015-02-25,0.2192006242687894
2015-02-26,0.5796565574513579
2015-02-27,1.3714169567431655
2015-03-02,2.461379960032972
2015-03-03,0.4860695545867877
2015-03-04,1.7704488865037282
2015-03-05,0.5380085963712977
2015-03-06,1.5099103384205836
2015-03-09,1.5318317170872398
2015-03-10,1.5523803030433214
2015-03-11,0.0022335349814550653
2015-03-12,0.6854990912349423
2015-03-13,1.7952090939517218
2015-03-16,3.3207810603391508
2015-03-17,1.1372374013442155
2015-03-18,1.9730164590266996
2015-03-19,0.8057096650439854
2015-03-20,1.2438806984474304
2015-03-23,2.9043991648343814
2015-03-24,1.1090433308283743
2015-03-25,1.496514306708674
2015-03-26,1.9697984350207864
2015-03-27,1.142923297441767
2015-03-30,0.10251092644322224
2015-03-31,0.7055562309472574
2015-04-01,2.5904653355486307
2015-04-02,2.551586049201182
2015-04-03,1.9608893778808145
2015-04-07,1.9271379812364264
2015-04-08,1.5116779758855614
2015-04-09,0.9088063251473599
2015-04-10,2.462672859849624
2015-04-13,2.220688489991196
2015-04-14,0.16778762851048512
2015-04-15,3.9559262189801103
2015-04-16,1.0652680297148942
2015-04-17,0.27174214919962747
2015-04-20,2.237560875425071
2015-04-21,3.8780419799324672
2015-04-22,2.87055353816541
2015-04-23,1.1006014649741047
2015-04-24,0.1844582084397528
2015-04-27,0.5036591593564177
2015-04-28,3.2138595956716975
2015-04-29,2.6351525143500254
2015-04-30,0.7231335457189791
2015-05-04,0.8805077162297614
2015-05-05,2.559461272642105
2015-05-06,0.33254823743139594
2015-05-07,1.679197424581591
2015-05-08,4.77103572443931
2015-05-11,4.839610759968016
2015-05-12,2.597659404991992
2015-05-13,0.7770035190016067
2015-05-14,0.6626381618525246
2015-05-15,0.06092176503642577
2015-05-18,2.8913533958582427
2015-05-19,2.504531167152413
2015-05-20,2.54417074622022
2015-05-21,3.7394177724549893
2015-05-22,0.8043826299752643
2015-05-25,1.5021332372791907
2015-05-26,4.06464733686549
2015-05-27,1.3524051006953863
2015-05-28,5.621624805356873
2015-05-29,1.6243089354153417
2015-06-01,5.096716795077394
2015-06-02,4.273922535473584
2015-06-03,0.5623297880686495
2015-06-04,0.3339927280832544
2015-06-05,1.0979372617263117
2015-06-08,2.5302524929575076
2015-06-09,0.04610017354942375
2015-06-10,2.5207380001602164
2015-06-11,2.1233184272473338
2015-06-12,1.6078225125431667
2015-06-15,1.9895619043333923
2015-06-16,4.117254037496243
2015-06-17,2.1634271842185804
2015-06-18,3.283737201491088
2015-06-19,6.527093295561947
2015-06-23,0.17123905569194076
2015-06-24,2.0447268452663536
2015-06-25,4.1559660799641795
2015-06-26,8.069681965913167
2015-06-29,7.030274565353601
2015-06-30,4.359312936221982
2015-07-01,5.688733836900839
