date,000300.SH_RSI,000300.SH_RSI_30P,000300.SH_RSI_70P
2005-07-26,63.54640854856483,30.187240711292393,55.81905247352121
2005-07-27,67.52932639980645,30.187240711292393,55.853752893383835
2005-07-28,73.89693289739994,30.187240711292393,56.007675862698896
2005-07-29,75.46605824038669,30.187240711292393,56.069602044017316
2005-08-01,69.59896761991074,30.187240711292393,56.16764492029669
2005-08-02,76.57873034405436,30.187240711292393,56.35215051982624
2005-08-03,77.13241414251078,30.187240711292393,56.52269626889136
2005-08-04,79.40910742061979,30.187240711292393,56.9286858787111
2005-08-05,88.15141584740779,30.187240711292393,57.331729261775855
2005-08-08,88.25552825552826,30.187240711292393,57.421461706895926
2005-08-09,88.11546565528867,30.187240711292393,57.421461706895926
2005-08-10,88.68162298832122,30.187240711292393,57.421461706895926
2005-08-11,88.48907355858319,30.187240711292393,57.421461706895926
2005-08-12,80.09220948102616,30.187240711292393,57.421461706895926
2005-08-15,79.5739519369267,30.187240711292393,57.421461706895926
2005-08-16,70.61265364797859,30.187240711292393,57.421461706895926
2005-08-17,74.1459319543875,30.187240711292393,57.421461706895926
2005-08-18,60.269541097751336,30.187240711292393,57.421461706895926
2005-08-19,59.99758258955554,30.187240711292393,57.421461706895926
2005-08-22,59.12491793261702,30.187240711292393,57.421461706895926
2005-08-23,54.43365529963362,30.187240711292393,57.331729261775855
2005-08-24,58.389525202449036,30.187240711292393,57.331729261775855
2005-08-25,52.274511781358754,30.187240711292393,56.9286858787111
2005-08-26,50.28719902491006,30.187240711292393,56.52269626889136
2005-08-29,44.476462236965986,30.187240711292393,56.52269626889136
2005-08-30,40.730369766968224,30.187240711292393,56.35215051982624
2005-08-31,40.476677428308484,30.187240711292393,56.16764492029669
2005-09-01,52.2640400948699,30.187240711292393,56.13688447792586
2005-09-02,47.34757878063024,30.187240711292393,56.13688447792586
2005-09-05,53.180621423410116,30.187240711292393,56.13688447792586
2005-09-06,43.62057967857867,30.187240711292393,56.13688447792586
2005-09-07,64.2785308069526,30.187240711292393,56.35215051982624
2005-09-08,64.3283741268064,30.41198718360927,56.52269626889136
2005-09-09,57.898274296094485,30.750170903376517,56.9286858787111
2005-09-12,62.75493244168086,30.988468433318097,57.331729261775855
2005-09-13,65.15053104388319,31.499568120986854,57.558436284589455
2005-09-14,67.39381418241476,32.4030307649044,57.937435065430016
2005-09-15,68.14208225814943,32.96516919932993,58.13702469645042
2005-09-16,73.83452211126965,33.605872521822164,58.410981558326334
2005-09-19,76.46095954844782,33.90538123579698,58.66020785187979
2005-09-20,66.5899044700969,34.05044911552107,59.295166088592794
2005-09-21,49.92694655971516,34.333993650660105,59.295166088592794
2005-09-22,39.85029421231152,34.97580600789128,59.295166088592794
2005-09-23,35.190570699501784,35.20272805125599,59.295166088592794
2005-09-26,41.73649800764117,36.68502099066379,59.295166088592794
2005-09-27,27.482559002523345,36.68502099066379,59.295166088592794
2005-09-28,25.623327628754815,35.20272805125599,59.295166088592794
2005-09-29,35.20151696749607,35.19823308709778,59.295166088592794
2005-09-30,35.762294064445214,35.19823308709778,59.295166088592794
2005-10-10,24.00419962976947,34.963648656137075,58.66020785187979
2005-10-11,27.971124553731208,34.333993650660105,58.66020785187979
2005-10-12,30.41594822094436,34.021613857379904,58.410981558326334
2005-10-13,29.204658521865362,33.175522910785666,58.410981558326334
2005-10-14,24.622638620985278,31.499568120986854,58.410981558326334
2005-10-17,25.007774115305693,30.988468433318097,58.410981558326334
2005-10-18,31.857177380376967,30.988468433318097,58.410981558326334
2005-10-19,37.529485928095,30.988468433318097,58.410981558326334
2005-10-20,41.212947631570366,30.988468433318097,58.410981558326334
2005-10-21,42.56061583360647,30.988468433318097,58.410981558326334
