date,932000.CSI_换手率均值_120日
2024-02-05,3.9007883333333333
2024-02-06,3.92098
2024-02-07,3.9412008333333333
2024-02-08,3.9649525000000003
2024-02-19,3.9826675000000002
2024-02-20,3.989155
2024-02-21,4.0024425
2024-02-22,4.0137841666666665
2024-02-23,4.0256549999999995
2024-02-26,4.0434275
2024-02-27,4.055045000000001
2024-02-28,4.084629166666667
2024-02-29,4.088112499999999
2024-03-01,4.0905325
2024-03-04,4.094978333333334
2024-03-05,4.102753333333333
2024-03-06,4.110223333333333
2024-03-07,4.118551666666667
2024-03-08,4.122110833333333
2024-03-11,4.128800833333334
2024-03-12,4.142244166666667
2024-03-13,4.155670833333334
2024-03-14,4.1655991666666665
2024-03-15,4.173606666666667
2024-03-18,4.185833333333333
2024-03-19,4.199538333333334
2024-03-20,4.211384166666667
2024-03-21,4.227529166666667
2024-03-22,4.2455275
2024-03-25,4.2634525000000005
2024-03-26,4.2782025
2024-03-27,4.287545833333334
2024-03-28,4.2983899999999995
2024-03-29,4.308116666666667
2024-04-01,4.318641666666666
2024-04-02,4.33131
2024-04-03,4.338811666666667
2024-04-08,4.3448658333333325
2024-04-09,4.346092499999999
2024-04-10,4.352483333333334
2024-04-11,4.354213333333333
2024-04-12,4.355129166666667
2024-04-15,4.369335
2024-04-16,4.3811824999999995
2024-04-17,4.3898616666666666
2024-04-18,4.397292500000001
2024-04-19,4.400746666666666
2024-04-22,4.399705
2024-04-23,4.3936675
2024-04-24,4.389098333333333
2024-04-25,4.381670000000001
2024-04-26,4.379130833333333
2024-04-29,4.381971666666667
2024-04-30,4.387285833333333
2024-05-06,4.3913424999999995
2024-05-07,4.394360833333334
2024-05-08,4.3895358333333325
2024-05-09,4.383319999999999
2024-05-10,4.378503333333333
2024-05-13,4.374839166666666
2024-05-14,4.372984166666667
2024-05-15,4.3682825
2024-05-16,4.365500833333333
2024-05-17,4.363200833333334
2024-05-20,4.364963333333334
2024-05-21,4.3611466666666665
2024-05-22,4.354843333333333
2024-05-23,4.344565833333333
2024-05-24,4.334300833333333
2024-05-27,4.327424166666666
2024-05-28,4.319660833333333
2024-05-29,4.312806666666666
2024-05-30,4.3091975
2024-05-31,4.304523333333333
2024-06-03,4.302978333333333
2024-06-04,4.298729166666667
2024-06-05,4.292095833333334
2024-06-06,4.295405833333334
2024-06-07,4.289704166666667
2024-06-11,4.2797625
2024-06-12,4.267454166666667
2024-06-13,4.2599
2024-06-14,4.252465833333334
2024-06-17,4.241781666666666
2024-06-18,4.233384166666666
2024-06-19,4.2269975
2024-06-20,4.2225
2024-06-21,4.2157475
2024-06-24,4.2159325
2024-06-25,4.211459166666667
2024-06-26,4.206394166666667
2024-06-27,4.2050725
2024-06-28,4.2049925
2024-07-01,4.204081666666666
2024-07-02,4.1986875
2024-07-03,4.191838333333333
2024-07-04,4.185085
2024-07-05,4.175404166666667
2024-07-08,4.170311666666667
2024-07-09,4.1677275
2024-07-10,4.167015
2024-07-11,4.1684
2024-07-12,4.166355833333333
2024-07-15,4.16087
2024-07-16,4.152611666666667
2024-07-17,4.149354166666667
2024-07-18,4.1419525
