date,932000.CSI_动量_120日
2014-07-02,18.631738283671105
2014-07-03,19.495917893095417
2014-07-04,23.431320789156416
2014-07-07,22.90059485328517
2014-07-08,23.258669996722524
2014-07-09,23.78585729200877
2014-07-10,26.454018314800653
2014-07-11,27.018826966918997
2014-07-14,26.124508962779668
2014-07-15,24.3265609376331
2014-07-16,22.547785933771248
2014-07-17,22.91057986271161
2014-07-18,23.43660301687034
2014-07-21,20.89726848696001
2014-07-22,20.254613813917
2014-07-23,17.738530287246057
2014-07-24,15.757220839121032
2014-07-25,16.651085918571585
2014-07-28,18.733147370862802
2014-07-29,18.837231258103703
2014-07-30,20.007904204846504
2014-07-31,18.795327195723498
2014-08-01,14.584291177968577
2014-08-04,15.503070369776339
2014-08-05,14.479593182166429
2014-08-06,16.92511852641607
2014-08-07,13.117616164545343
2014-08-08,11.514163233292152
2014-08-11,12.920815166746124
2014-08-12,13.55438816053498
2014-08-13,15.974859294347432
2014-08-14,15.480651372385479
2014-08-15,15.638689003217344
2014-08-18,22.67974657770275
2014-08-19,22.603957581359534
2014-08-20,24.747081974794007
2014-08-21,23.59039692477478
2014-08-22,21.89593897183666
2014-08-25,21.189355450906167
2014-08-26,18.779575475247224
2014-08-27,19.45267396095096
2014-08-28,18.894720755843753
2014-08-29,25.031550494380305
2014-09-01,28.17525259761584
2014-09-02,30.69591034861152
2014-09-03,30.33545385120209
2014-09-04,31.736779730669085
2014-09-05,29.170414786383404
2014-09-09,29.633661417097002
2014-09-10,30.329953093087504
2014-09-11,34.5288609157709
2014-09-12,34.54182835721924
2014-09-15,36.678178047518315
2014-09-16,32.329598610158584
2014-09-17,32.84612817178103
2014-09-18,37.24700792639821
2014-09-19,43.03522364161487
2014-09-22,42.860168137403384
2014-09-23,42.82019837532505
2014-09-24,45.52787709046484
2014-09-25,45.45971549877812
2014-09-26,45.21101373552785
2014-09-29,45.81360612040144
2014-09-30,45.14483823716298
2014-10-08,47.19924760892253
2014-10-09,47.962670947422545
2014-10-10,45.92119350265618
2014-10-13,46.5098943675448
2014-10-14,46.133100008231494
2014-10-15,46.514746298714456
2014-10-16,44.10180013630824
2014-10-17,44.00682231248552
2014-10-20,47.829158265997826
2014-10-21,47.18365294817784
2014-10-22,46.04373797717347
2014-10-23,46.022992663211085
2014-10-24,51.36277783780958
2014-10-27,51.01288601349181
2014-10-28,54.22399275835741
2014-10-29,54.15996900035809
2014-10-30,52.81707546017746
2014-10-31,55.05635808136968
2014-11-03,56.711479827683654
2014-11-04,56.43973794899468
2014-11-05,53.79168615295144
2014-11-06,55.38531626869345
2014-11-07,53.421582575748786
2014-11-10,57.07854027970165
2014-11-11,51.476048795084765
2014-11-12,54.23324145270681
2014-11-13,50.276956132072236
2014-11-14,48.18133898044732
2014-11-17,50.968539962694216
2014-11-18,50.141565922206865
2014-11-19,49.39731503085392
2014-11-20,49.05506939030428
2014-11-21,49.03481591747925
2014-11-24,51.95799216644013
2014-11-25,53.11832333164514
2014-11-26,54.797560965803214
2014-11-27,57.06735380124967
2014-11-28,55.13926024708642
2014-12-01,53.596745302455396
2014-12-02,55.16629775595585
2014-12-03,53.428600225632096
2014-12-04,53.639707432784036
2014-12-05,48.48705715111694
2014-12-08,46.40027286765014
2014-12-09,38.38913920531424
2014-12-10,43.26880416846419
2014-12-11,46.60563056472304
2014-12-12,52.53111643829542
2014-12-15,53.5556936350561
2014-12-16,50.7768523281781
2014-12-17,47.08293155839121
2014-12-18,46.61425620973609
2014-12-19,41.466366602455395
2014-12-22,31.42277865441645
2014-12-23,28.374406593124913
2014-12-24,30.877398857084405
2014-12-25,31.452433709689064
2014-12-26,31.0404809892737
2014-12-29,27.71205787231379
2014-12-30,25.148890990228768
2014-12-31,25.00751461972115
2015-01-05,27.27739930127584
2015-01-06,29.157430879783085
2015-01-07,27.82151910023256
2015-01-08,26.436041495222963
2015-01-09,26.362479892367794
2015-01-12,25.813398954840206
2015-01-13,28.14681257958105
2015-01-14,27.91879496619738
2015-01-15,28.919567785695556
2015-01-16,28.985752978579548
2015-01-19,28.2262888763642
2015-01-20,33.87148793771673
2015-01-21,35.51264822610403
2015-01-22,35.6320221951359
2015-01-23,32.756889729201475
2015-01-26,34.39574667517553
2015-01-27,34.24058674686143
2015-01-28,35.35905836164896
2015-01-29,33.137547149074045
2015-01-30,30.645243630178708
2015-02-02,30.273168025050378
2015-02-03,33.457412497354724
2015-02-04,32.528430236458526
2015-02-05,30.29401720168401
2015-02-06,27.33200539974554
2015-02-09,25.671667483116156
2015-02-10,27.104628619845062
2015-02-11,27.143279027267585
2015-02-12,26.03710995412363
2015-02-13,27.297753944585402
2015-02-16,29.629299123403218
2015-02-17,30.175287344150913
2015-02-25,29.449459347573992
2015-02-26,30.95260590120459
2015-02-27,35.35963557164119
2015-03-02,37.433457182374255
2015-03-03,38.3434526275761
2015-03-04,39.7768105171455
2015-03-05,38.41965051136669
2015-03-06,34.687052651238794
2015-03-09,35.30953190562758
2015-03-10,36.18153151487014
2015-03-11,36.287216315607985
2015-03-12,33.610797544475446
2015-03-13,33.9992620499842
2015-03-16,38.022530004718206
2015-03-17,38.251172242142296
2015-03-18,38.627878184605756
2015-03-19,44.564363815757524
2015-03-20,44.90342864980044
2015-03-23,47.6562827855948
2015-03-24,47.02117175642149
2015-03-25,50.542632013032154
2015-03-26,45.874821595645955
2015-03-27,44.786246556747855
2015-03-30,44.65554673261647
2015-03-31,44.74034739733143
2015-04-01,46.488269544535775
2015-04-02,49.03197281820899
2015-04-03,50.30897098589513
2015-04-07,52.9854620820404
2015-04-08,52.525220551570584
2015-04-09,51.081767816466254
2015-04-10,55.53979479489621
2015-04-13,58.516920883592746
2015-04-14,60.840907623123286
2015-04-15,57.80910660537253
2015-04-16,56.54660758898176
2015-04-17,58.306104009869884
2015-04-20,56.75259951323257
2015-04-21,66.12588601397304
2015-04-22,71.27925024145271
2015-04-23,71.68934270590613
2015-04-24,66.77212371956792
2015-04-27,65.15503774266764
2015-04-28,60.15303312885103
2015-04-29,64.76887926965655
2015-04-30,63.987792279532755
2015-05-04,67.24781692728526
2015-05-05,63.087298825167196
2015-05-06,60.40244844526366
2015-05-07,58.8762014777592
2015-05-08,65.01650939191023
2015-05-11,79.69998457561252
2015-05-12,81.94047087077921
2015-05-13,88.57112480869434
2015-05-14,92.35851117737255
2015-05-15,88.72847489093499
2015-05-18,94.27967188327409
2015-05-19,97.97832030701163
2015-05-20,104.54184052876059
2015-05-21,110.54201273879913
2015-05-22,111.18038153140364
2015-05-25,112.09906076238174
2015-05-26,118.6972731898687
2015-05-27,121.01267076132159
2015-05-28,110.88176565602103
2015-05-29,116.72229057992367
2015-06-01,126.01745936717484
2015-06-02,136.50775872759306
2015-06-03,137.52979560939283
2015-06-04,141.9231894366855
2015-06-05,145.53119804689612
2015-06-08,151.5423086614877
2015-06-09,144.9429424042563
2015-06-10,147.57501287408684
2015-06-11,150.10565231056168
2015-06-12,150.3579755872878
2015-06-15,149.3799510527056
2015-06-16,142.0392816267634
2015-06-17,148.50905075364147
2015-06-18,145.95666051972995
2015-06-19,143.7340000690929
2015-06-23,145.4831824736681
2015-06-24,145.61095959407626
2015-06-25,134.52463499326763
2015-06-26,115.59074023195693
2015-06-29,104.4301543757281
2015-06-30,114.21873577828165
2015-07-01,99.72811574690861
2015-07-02,85.7290520774924
2015-07-03,70.42072293763948
2015-07-06,61.334038026922585
2015-07-07,51.59780980118931
2015-07-08,47.71908453433764
2015-07-09,55.080042059446214
2015-07-10,58.31792865464613
2015-07-13,66.54696487212719
2015-07-14,70.27223465572085
2015-07-15,60.85124195088352
2015-07-16,64.39133869690201
2015-07-17,66.36961174923526
2015-07-20,67.64159888682583
2015-07-21,69.60342633208569
2015-07-22,74.61619936709185
2015-07-23,77.41573022429566
2015-07-24,74.6005148267681
2015-07-27,63.59546021030758
2015-07-28,57.573379741543505
2015-07-29,66.70215855827351
2015-07-30,62.29337846658194
2015-07-31,56.16286730392306
2015-08-03,47.642869012354794
2015-08-04,56.9553430077604
2015-08-05,59.089621390391756
2015-08-06,60.35421587831782
2015-08-07,64.97360041221731
2015-08-10,70.53636555890168
2015-08-11,70.99700922424236
2015-08-12,66.20429413237878
2015-08-13,67.59551254127571
2015-08-14,69.07262356222104
2015-08-17,71.6723194257916
2015-08-18,59.33495148704666
2015-08-19,61.02180510140855
2015-08-20,51.49961753908969
2015-08-21,43.775501793956195
2015-08-24,30.757110593216687
2015-08-25,20.753997342521124
2015-08-26,17.43315239744159
2015-08-27,18.780133149598743
2015-08-28,23.478696990733482
2015-08-31,18.9557804695883
2015-09-01,13.268419725032278
2015-09-02,7.115585079223408
2015-09-07,5.432637886160108
2015-09-08,8.368828603448609
2015-09-09,10.702113108051803
2015-09-10,8.397611978874453
2015-09-11,8.011718361410702
2015-09-14,-1.7792243350520542
2015-09-15,-7.6860144992430435
2015-09-16,-3.877270572640601
2015-09-17,-4.514419775970035
2015-09-18,-4.605815144332725
