date,932000.CSI_成交额
2014-01-02,10892583863.0
2014-01-03,12350598677.0
2014-01-06,10440757987.0
2014-01-07,8069644027.0
2014-01-08,10338207822.0
2014-01-09,10231848282.0
2014-01-10,8323573379.0
2014-01-13,6674440575.0
2014-01-14,8580763380.999999
2014-01-15,9871135948.0
2014-01-16,11314120958.0
2014-01-17,9481575810.0
2014-01-20,9374527821.0
2014-01-21,10428012468.0
2014-01-22,13061038037.0
2014-01-23,13842929823.0
2014-01-24,13648166750.0
2014-01-27,13397071329.0
2014-01-28,10651913812.0
2014-01-29,10023034548.0
2014-01-30,7992921583.0
2014-02-07,9441890838.0
2014-02-10,14842105870.0
2014-02-11,15008146802.0
2014-02-12,15734549062.0
2014-02-13,15480558291.0
2014-02-14,14110359453.0
2014-02-17,16460768803.0
2014-02-18,18162927835.0
2014-02-19,16215178545.0
2014-02-20,14553863070.0
2014-02-21,12540775246.0
2014-02-24,12978670212.0
2014-02-25,19119778595.0
2014-02-26,13362806090.0
2014-02-27,14718150668.0
2014-02-28,11330618141.0
2014-03-03,12392900240.0
2014-03-04,12369133324.0
2014-03-05,11558820381.0
2014-03-06,11552386007.0
2014-03-07,11368567117.0
2014-03-10,10837019488.0
2014-03-11,9318838781.0
2014-03-12,8820999833.0
2014-03-13,8309453804.0
2014-03-14,8127689766.0
2014-03-17,9593509678.0
2014-03-18,11578740554.0
2014-03-19,10331776772.0
2014-03-20,11722452942.0
2014-03-21,10302064572.0
2014-03-24,9957602342.0
2014-03-25,10298907851.0
2014-03-26,9618368633.0
2014-03-27,10998298658.0
2014-03-28,10626354257.0
2014-03-31,7401520209.0
2014-04-01,6951398971.0
2014-04-02,7615121867.0
2014-04-03,7479142236.0
2014-04-04,7174415797.0
2014-04-08,8270074472.0
2014-04-09,9577629138.0
2014-04-10,11677212366.0
2014-04-11,10529616123.0
2014-04-14,9965397747.0
2014-04-15,10864586181.0
2014-04-16,9389427338.0
2014-04-17,9189909351.0
2014-04-18,8972439597.0
2014-04-21,9781931867.0
2014-04-22,9438064057.0
2014-04-23,7427589556.0
2014-04-24,8199639689.0
2014-04-25,9367136981.0
2014-04-28,8515095302.999999
2014-04-29,6497435787.0
2014-04-30,6420556252.0
2014-05-05,7730593893.0
2014-05-06,9148837454.0
2014-05-07,8885389393.0
2014-05-08,7967760673.0
2014-05-09,7613662138.0
2014-05-12,8396462976.0
2014-05-13,7705854223.0
2014-05-14,7249931487.0
2014-05-15,7637653165.0
2014-05-16,6631456287.0
2014-05-19,5276808860.0
2014-05-20,6447240231.0
2014-05-21,6427787142.0
2014-05-22,7786984679.0
2014-05-23,7147177850.0
2014-05-26,8992262874.0
2014-05-27,9142313536.0
2014-05-28,10744381102.0
2014-05-29,10313690229.0
2014-05-30,9004545049.0
2014-06-03,8762026785.0
2014-06-04,8582685221.999999
2014-06-05,9783877243.0
2014-06-06,11177636232.0
2014-06-09,9896989448.0
2014-06-10,11103547001.0
2014-06-11,12673690919.0
2014-06-12,13251632729.0
2014-06-13,13427136642.0
2014-06-16,11222636397.0
2014-06-17,10479613589.0
2014-06-18,10323846614.0
2014-06-19,9533869283.0
2014-06-20,7136810787.0
2014-06-23,8718280503.0
2014-06-24,8834552153.0
2014-06-25,8246790044.0
2014-06-26,10622412333.0
2014-06-27,11631562756.0
2014-06-30,11879906763.0
2014-07-01,12612863991.0
2014-07-02,13632496530.0
2014-07-03,13125287229.0
2014-07-04,12636779272.0
2014-07-07,11944789837.0
2014-07-08,12027759889.0
2014-07-09,14504645281.0
2014-07-10,11667664182.0
2014-07-11,10631357011.0
2014-07-14,11845979474.0
2014-07-15,13091242686.0
2014-07-16,11644684772.0
2014-07-17,8565086396.0
2014-07-18,8157974493.0
2014-07-21,8494011255.999999
2014-07-22,10032578023.0
2014-07-23,11169871824.0
2014-07-24,10809375500.0
2014-07-25,8945877518.0
2014-07-28,11397940073.0
2014-07-29,12930048843.0
2014-07-30,13059329348.0
2014-07-31,12072617295.0
2014-08-01,13080499862.0
2014-08-04,11082603618.0
2014-08-05,12711235098.0
2014-08-06,12290346224.0
2014-08-07,11832782556.0
2014-08-08,10001421716.0
2014-08-11,12776495792.0
2014-08-12,13989175706.0
2014-08-13,14791352582.0
2014-08-14,15448998324.0
2014-08-15,14317600805.0
2014-08-18,17500583756.0
2014-08-19,19484560719.0
2014-08-20,17047018658.0
2014-08-21,15100149711.0
2014-08-22,16254350166.0
2014-08-25,14887683130.0
2014-08-26,15051544080.0
2014-08-27,11565031168.0
2014-08-28,12379408691.0
2014-08-29,11677594009.0
2014-09-01,14559479930.0
2014-09-02,18036781042.0
2014-09-03,21661249401.0
2014-09-04,20747823844.0
2014-09-05,18675307069.0
2014-09-09,18494744379.0
2014-09-10,19262786391.0
2014-09-11,22876481702.0
2014-09-12,19167183949.0
2014-09-15,21333291179.0
2014-09-16,24245992676.0
2014-09-17,15751235908.0
2014-09-18,15523387982.0
2014-09-19,15516890294.0
2014-09-22,15730530393.0
2014-09-23,16510517187.0
2014-09-24,22296257396.0
2014-09-25,23567601691.0
2014-09-26,18226084349.0
2014-09-29,21228991839.0
2014-09-30,19579811489.0
2014-10-08,20760805142.0
2014-10-09,23784809604.0
2014-10-10,22748498982.0
2014-10-13,20109468171.0
2014-10-14,20499355369.0
2014-10-15,19030581707.0
2014-10-16,21909417173.0
2014-10-17,21040559695.0
2014-10-20,16444959523.0
2014-10-21,17942108252.0
2014-10-22,16482397827.0
2014-10-23,16572954018.0
2014-10-24,13011011558.0
2014-10-27,12114344810.0
2014-10-28,18377959827.0
2014-10-29,22234616765.0
2014-10-30,20063314335.0
2014-10-31,17991307045.0
2014-11-03,19108889824.0
2014-11-04,18278228081.0
2014-11-05,16488263377.0
2014-11-06,15773908106.0
2014-11-07,20002516541.0
2014-11-10,15499382678.0
2014-11-11,20388406220.0
2014-11-12,13030647058.0
2014-11-13,15948425974.0
2014-11-14,11819943374.0
2014-11-17,12572766369.0
2014-11-18,12379161479.0
2014-11-19,14244211776.0
2014-11-20,13043115942.0
2014-11-21,14287920724.0
2014-11-24,17926781031.0
2014-11-25,17963565120.0
2014-11-26,20539276125.0
2014-11-27,22114184109.0
2014-11-28,23818013669.0
2014-12-01,21108736952.0
2014-12-02,18189049860.0
2014-12-03,23775701598.0
2014-12-04,23437664435.0
2014-12-05,26660590948.0
2014-12-08,22582852945.0
2014-12-09,25456913399.0
2014-12-10,16313815253.0
2014-12-11,16622623012.0
2014-12-12,16224141755.0
2014-12-15,17863633276.0
2014-12-16,15240970035.0
2014-12-17,15322523027.0
2014-12-18,12779657382.0
2014-12-19,14477161247.0
2014-12-22,16009495942.0
2014-12-23,10455267495.0
2014-12-24,10061922528.0
2014-12-25,10083213968.0
2014-12-26,10846438381.0
2014-12-29,12861799112.0
2014-12-30,10836485653.0
2014-12-31,9684715100.0
2015-01-05,11355277166.0
2015-01-06,12704108627.0
