date,000905.SH_对_8841431.WI_相对强弱
2009-05-27,0.6258811262730818
2009-06-01,0.6261768519665809
2009-06-02,0.6259192936868376
2009-06-03,0.6240692676882458
2009-06-04,0.6249459214468961
2009-06-05,0.6222124092232442
2009-06-08,0.6171394681431474
2009-06-09,0.6144790382190697
2009-06-10,0.6138686956128983
2009-06-11,0.613381849831842
2009-06-12,0.6128422206544342
2009-06-15,0.6098870773358189
2009-06-16,0.6090531998109641
2009-06-17,0.6120576083538812
2009-06-18,0.6132931658909021
2009-06-19,0.6126189162309854
2009-06-22,0.6114395999567178
2009-06-23,0.6085507018302635
2009-06-24,0.6100917887096845
2009-06-25,0.6068161848738362
2009-06-26,0.6076286672879578
2009-06-29,0.6107947523330111
2009-06-30,0.6118989251179978
2009-07-01,0.6164050842634244
2009-07-02,0.6175448825613321
2009-07-03,0.6214124037892855
2009-07-06,0.622395504083639
2009-07-07,0.6172789758511513
2009-07-08,0.6170568807526415
2009-07-09,0.6151292697203734
2009-07-10,0.6166125921793532
2009-07-13,0.6155931728938004
2009-07-14,0.6161082822087376
2009-07-15,0.6173571389374221
2009-07-16,0.6159850300403954
2009-07-17,0.6136978242929733
2009-07-20,0.613606346320168
2009-07-21,0.6152136376800658
2009-07-22,0.6175266236560927
2009-07-23,0.6171433673233623
2009-07-24,0.6171588344632742
2009-07-27,0.6164540128708449
2009-07-28,0.6156195116361577
2009-07-29,0.6139682373073739
2009-07-30,0.6135179159216194
2009-07-31,0.6155158570634939
2009-08-03,0.6166097920113395
2009-08-04,0.6166583179633949
2009-08-05,0.6114104412867329
2009-08-06,0.6099846988127053
2009-08-07,0.6056409387310486
2009-08-10,0.6041190689863783
2009-08-11,0.6030245641155682
2009-08-12,0.60666672899391
2009-08-13,0.6053173702520737
2009-08-14,0.6116905608300817
2009-08-17,0.6113331166122568
2009-08-18,0.611293552328479
2009-08-19,0.6133002233811325
2009-08-20,0.6131767127207032
2009-08-21,0.6101956976656989
2009-08-24,0.6079873322897643
2009-08-25,0.6066838631470276
2009-08-26,0.6030076556543603
2009-08-27,0.5980310899918311
2009-08-28,0.5970722846150341
2009-08-31,0.5937751297258557
2009-09-01,0.5862325595409802
2009-09-02,0.5848914201006629
2009-09-03,0.5887386669968354
2009-09-04,0.5896120645732691
2009-09-07,0.5888503022444266
2009-09-08,0.591452917106007
2009-09-09,0.5915777562991584
2009-09-10,0.5913776117444317
2009-09-11,0.5910842878953146
2009-09-14,0.5913455892126579
2009-09-15,0.5898719436044865
