date,000905.SH_对_932000.CSI_相对换手率
2023-08-11,0.5651711996114619
2023-08-14,0.5403830932404623
2023-08-15,0.49074253273982327
2023-08-16,0.566002490660025
2023-08-17,0.5630026809651474
2023-08-18,0.4986310242293991
2023-08-21,0.5082032679956071
2023-08-22,0.4967870344043219
2023-08-23,0.47420185060359094
2023-08-24,0.5055949431963782
2023-08-25,0.4568453548910342
2023-08-28,0.6361269087348707
2023-08-29,0.5813733679166483
2023-08-30,0.5118914093437408
2023-08-31,0.511086178340546
2023-09-01,0.4879117128391831
2023-09-04,0.5743389237575882
2023-09-05,0.4739032894559019
2023-09-06,0.4088120926666301
2023-09-07,0.4170951331646671
2023-09-08,0.3968724478993376
2023-09-11,0.513446421183285
2023-09-12,0.4145807167684084
2023-09-13,0.41356164383561644
2023-09-14,0.4395419531918661
2023-09-15,0.48419767060856095
2023-09-18,0.44575320044426253
2023-09-19,0.4316054384188074
2023-09-20,0.4387507269182089
2023-09-21,0.4776777836597847
2023-09-22,0.5172455269884227
2023-09-25,0.47833643699565487
2023-09-26,0.39179510136215384
2023-09-27,0.40664253779007875
2023-09-28,0.39578362378809384
2023-10-09,0.410892185078592
2023-10-10,0.3903623559884521
2023-10-11,0.38805660132415937
2023-10-12,0.45625155014192414
2023-10-13,0.3949521229514792
2023-10-16,0.3817469118291771
2023-10-17,0.4339037098197762
2023-10-18,0.4495091550849328
2023-10-19,0.4931172967733001
2023-10-20,0.4609195402298851
2023-10-23,0.4812287655719139
2023-10-24,0.5017638789422031
2023-10-25,0.4584997458427129
2023-10-26,0.40062694435868823
2023-10-27,0.3987077320697825
2023-10-30,0.4234418760188939
2023-10-31,0.38193288355384214
2023-11-01,0.3577646239554317
2023-11-02,0.36300000000000004
2023-11-03,0.4018742698053643
2023-11-06,0.476083088509124
2023-11-07,0.40066344993968633
2023-11-08,0.39202375901569797
2023-11-09,0.36493382566485505
2023-11-10,0.38178081186229174
2023-11-13,0.388680547567008
2023-11-14,0.37330205540661304
2023-11-15,0.39977328143046587
2023-11-16,0.3478512194579693
2023-11-17,0.32921233181858683
2023-11-20,0.35661218424962854
2023-11-21,0.3522088427927343
2023-11-22,0.3521333089177806
2023-11-23,0.3559597557225078
2023-11-24,0.35645652683384116
2023-11-27,0.3612341666481156
2023-11-28,0.3579983513552829
2023-11-29,0.36246874846806215
2023-11-30,0.34572871504121205
2023-12-01,0.3591934620130853
2023-12-04,0.3808329850954172
2023-12-05,0.34955844517071133
2023-12-06,0.34104289318755254
2023-12-07,0.34914908262324656
2023-12-08,0.42787280701754393
2023-12-11,0.4832777924288557
2023-12-12,0.3559777203103242
2023-12-13,0.3079952267303102
2023-12-14,0.2970570202329859
2023-12-15,0.3371459694989106
2023-12-18,0.327892771471672
2023-12-19,0.32837830411606306
2023-12-20,0.3706597222222222
2023-12-21,0.3725226557668002
2023-12-22,0.3893776143997972
2023-12-25,0.34203615487968736
2023-12-26,0.349207315217722
2023-12-27,0.391206106870229
2023-12-28,0.4628205776721129
2023-12-29,0.3923410955077579
2024-01-02,0.3862107760412845
2024-01-03,0.36861999048787203
2024-01-04,0.3818664080771205
2024-01-05,0.40241901333897945
2024-01-08,0.4354532655934382
2024-01-09,0.36881447564406683
2024-01-10,0.3341720352807808
2024-01-11,0.39954628451280916
2024-01-12,0.3489875284967145
2024-01-15,0.37798049132947975
2024-01-16,0.3684567965729809
2024-01-17,0.3869371455029517
2024-01-18,0.45033275269105366
2024-01-19,0.39864804235336343
2024-01-22,0.4434809538556828
2024-01-23,0.45599741873033794
2024-01-24,0.47865680136596467
2024-01-25,0.519845223475984
2024-01-26,0.4817495203633096
2024-01-29,0.5028019372670335
2024-01-30,0.5008730135243111
2024-01-31,0.4819246017782157
2024-02-01,0.47940900681720267
2024-02-02,0.5067555825875402
2024-02-05,0.5602180703953521
2024-02-06,0.5135376219960123
2024-02-07,0.6900268576544315
2024-02-08,0.6091019091153536
2024-02-19,0.5338406860851425
2024-02-20,0.5034161339124493
2024-02-21,0.5127023561468185
2024-02-22,0.4531024531024531
2024-02-23,0.46435292927248817
2024-02-26,0.452589641434263
2024-02-27,0.4803717744894215
2024-02-28,0.4659540990722153
2024-02-29,0.5225264933024165
2024-03-01,0.4985123352204636
2024-03-04,0.49779690751091354
2024-03-05,0.5105636814643743
2024-03-06,0.4653687502833054
2024-03-07,0.48514426028238183
2024-03-08,0.4990549578365803
2024-03-11,0.5439770125263772
2024-03-12,0.47121438429978635
2024-03-13,0.447135623207858
2024-03-14,0.46399136374016475
2024-03-15,0.5271404461068285
2024-03-18,0.5291370280622215
2024-03-19,0.4941286335909714
2024-03-20,0.44751600887289167
2024-03-21,0.4091960886765694
2024-03-22,0.4285081486129824
2024-03-25,0.4364148749581223
2024-03-26,0.4283262734875638
2024-03-27,0.4192997053995098
2024-03-28,0.4354343068113988
2024-03-29,0.42953942159921765
2024-04-01,0.5084049308927904
2024-04-02,0.46231707064643657
2024-04-03,0.500332314236342
2024-04-08,0.566391445587439
2024-04-09,0.47875559556855984
2024-04-10,0.4528847028847029
2024-04-11,0.5480068091160852
2024-04-12,0.5017554418697964
2024-04-15,0.5151811385853939
2024-04-16,0.5435510390047741
2024-04-17,0.535597592433362
2024-04-18,0.6047564590286368
2024-04-19,0.6079310781705308
2024-04-22,0.6259910564867905
2024-04-23,0.6231360807796172
2024-04-24,0.5404357560203135
2024-04-25,0.49858726943170917
2024-04-26,0.6550592647157303
2024-04-29,0.6569372821589449
2024-04-30,0.5904261028227971
2024-05-06,0.6099023284206854
2024-05-07,0.5253471984675377
2024-05-08,0.49151466716810827
2024-05-09,0.5231191315247984
2024-05-10,0.4711333941051352
2024-05-13,0.506790842064416
2024-05-14,0.5194472478844809
2024-05-15,0.4911561748142664
2024-05-16,0.49724783931244265
2024-05-17,0.4863163158612538
2024-05-20,0.5186860321909373
2024-05-21,0.4541823774558444
2024-05-22,0.4732837713518487
2024-05-23,0.5131123087287075
2024-05-24,0.4871439819717086
2024-05-27,0.5224040783471962
2024-05-28,0.49655777358390263
2024-05-29,0.47863527359930236
2024-05-30,0.48931328728159285
