date,000300.SH_均线_20日
2005-12-07,870.8851500000001
2005-12-08,871.43955
2005-12-09,872.56795
2005-12-12,873.8864000000001
2005-12-13,875.5097
2005-12-14,877.2614
2005-12-15,878.9502
2005-12-16,879.9662000000001
2005-12-19,880.9181500000001
2005-12-20,882.8032
2005-12-21,884.14895
2005-12-22,885.5120000000001
2005-12-23,887.10125
2005-12-26,889.2118
2005-12-27,891.6143
2005-12-28,893.969
2005-12-29,896.9171999999999
2005-12-30,899.59295
2006-01-04,903.68385
2006-01-05,908.3368
2006-01-06,913.1465000000001
2006-01-09,918.20635
2006-01-10,922.74615
2006-01-11,926.9940999999999
2006-01-12,931.72485
2006-01-13,935.7576500000001
2006-01-16,939.0079
2006-01-17,942.09435
2006-01-18,946.1299499999999
2006-01-19,950.32515
2006-01-20,954.83495
2006-01-23,959.20535
2006-01-24,963.3654999999999
2006-01-25,967.7264499999999
2006-02-06,973.4201499999999
2006-02-07,978.87105
2006-02-08,983.9231
2006-02-09,988.7305
2006-02-10,993.27595
2006-02-13,996.8999499999998
2006-02-14,1000.3249
2006-02-15,1003.6452499999999
2006-02-16,1005.7436
2006-02-17,1008.0881499999999
2006-02-20,1009.9843000000001
2006-02-21,1012.98465
2006-02-22,1016.8069499999999
2006-02-23,1020.6611
2006-02-24,1023.9522000000001
2006-02-27,1026.78335
2006-02-28,1029.76685
2006-03-01,1032.7896999999998
2006-03-02,1034.76835
2006-03-03,1036.37235
2006-03-06,1036.6543
2006-03-07,1035.9061000000002
2006-03-08,1034.71605
2006-03-09,1033.9533
2006-03-10,1032.7813
2006-03-13,1032.1938
2006-03-14,1031.18085
2006-03-15,1030.54575
2006-03-16,1030.9205
2006-03-17,1031.10285
2006-03-20,1031.90385
2006-03-21,1032.0009
2006-03-22,1032.4899500000001
2006-03-23,1032.84815
2006-03-24,1032.5059999999999
2006-03-27,1032.6491
2006-03-28,1032.7976999999998
2006-03-29,1033.23145
2006-03-30,1034.07985
2006-03-31,1035.0504
2006-04-03,1037.07285
2006-04-04,1040.79275
2006-04-05,1045.3277000000003
2006-04-06,1050.27235
2006-04-07,1054.9852
2006-04-10,1059.8875000000003
2006-04-11,1065.1393
2006-04-12,1069.54505
2006-04-13,1072.8605000000002
2006-04-14,1077.5901000000001
2006-04-17,1081.92785
2006-04-18,1086.45405
2006-04-19,1090.9828
2006-04-20,1095.275
2006-04-21,1100.60285
2006-04-24,1105.2024
2006-04-25,1109.4998
2006-04-26,1114.0214
2006-04-27,1119.0031
2006-04-28,1124.56605
2006-05-08,1131.5221999999999
2006-05-09,1139.6342
2006-05-10,1147.9323499999998
2006-05-11,1155.52225
2006-05-12,1165.1774
2006-05-15,1176.8896499999998
2006-05-16,1187.2806
2006-05-17,1198.2031000000002
2006-05-18,1210.0669
2006-05-19,1222.4414
2006-05-22,1234.9044000000001
2006-05-23,1244.22305
2006-05-24,1252.7231
2006-05-25,1261.3889
2006-05-26,1270.482
2006-05-29,1281.6617
2006-05-30,1293.503
2006-05-31,1303.98925
2006-06-01,1316.3698
2006-06-02,1327.2582499999999
2006-06-05,1336.49415
2006-06-06,1343.8707
2006-06-07,1346.5857
2006-06-08,1350.1329
2006-06-09,1350.0293
2006-06-12,1347.3050500000002
2006-06-13,1345.6625
2006-06-14,1343.08035
2006-06-15,1340.78955
2006-06-16,1338.3852000000002
2006-06-19,1336.44615
2006-06-20,1337.4746
2006-06-21,1338.7391
2006-06-22,1339.9319
2006-06-23,1340.3532
2006-06-26,1340.2092499999999
2006-06-27,1339.46625
2006-06-28,1339.33795
2006-06-29,1338.9502
2006-06-30,1339.14255
2006-07-03,1340.0008
2006-07-04,1340.59435
2006-07-05,1344.23315
2006-07-06,1348.86795
2006-07-07,1354.68015
2006-07-10,1360.40285
2006-07-11,1366.4178
2006-07-12,1373.18375
2006-07-13,1376.2189
2006-07-14,1378.1748499999999
2006-07-17,1380.0429
2006-07-18,1381.8025499999999
2006-07-19,1381.95815
2006-07-20,1382.6401999999998
2006-07-21,1383.46955
2006-07-24,1383.2050000000002
2006-07-25,1383.7187
2006-07-26,1384.1392
2006-07-27,1382.16025
2006-07-28,1379.5317499999999
2006-07-31,1373.2317500000001
2006-08-01,1366.78395
2006-08-02,1360.8879000000002
2006-08-03,1353.54135
2006-08-04,1345.1153
2006-08-07,1335.7142
2006-08-08,1327.4047500000001
2006-08-09,1319.0097
2006-08-10,1315.2789500000001
2006-08-11,1311.2051999999999
2006-08-14,1304.87855
2006-08-15,1299.5009
2006-08-16,1296.84705
2006-08-17,1293.1687000000002
2006-08-18,1288.76035
2006-08-21,1284.3823499999999
2006-08-22,1279.9372500000002
2006-08-23,1275.6564999999998
2006-08-24,1272.4993
2006-08-25,1270.2015
2006-08-28,1271.7797999999998
2006-08-29,1274.1847
2006-08-30,1277.16385
2006-08-31,1280.51135
2006-09-01,1284.3209000000002
2006-09-04,1289.97795
2006-09-05,1294.39275
2006-09-06,1299.1462
2006-09-07,1301.9913999999999
2006-09-08,1304.81635
2006-09-11,1309.46805
2006-09-12,1313.5568500000002
2006-09-13,1316.2977999999998
2006-09-14,1319.63035
2006-09-15,1324.35315
2006-09-18,1329.6032
2006-09-19,1334.2552500000002
2006-09-20,1338.8942000000002
2006-09-21,1343.64265
2006-09-22,1347.6133999999997
2006-09-25,1349.93865
2006-09-26,1351.3132
2006-09-27,1353.1354999999999
2006-09-28,1355.5509
2006-09-29,1359.8092
2006-10-09,1364.75075
2006-10-10,1369.5789
2006-10-11,1374.0558500000002
2006-10-12,1378.962
2006-10-13,1383.89845
2006-10-16,1387.88655
2006-10-17,1391.2269999999999
2006-10-18,1396.18735
2006-10-19,1401.2423000000001
2006-10-20,1405.1353000000001
2006-10-23,1406.7929
2006-10-24,1409.88015
2006-10-25,1413.29845
2006-10-26,1416.7347
2006-10-27,1419.9446
2006-10-30,1423.6366
2006-10-31,1428.97795
2006-11-01,1434.39255
2006-11-02,1439.0252500000001
2006-11-03,1443.27655
2006-11-06,1446.8674
2006-11-07,1450.8103500000002
2006-11-08,1453.9236999999998
2006-11-09,1458.8344
2006-11-10,1462.4934
2006-11-13,1465.3565
2006-11-14,1469.3229000000001
2006-11-15,1474.18135
2006-11-16,1478.8769
2006-11-17,1484.972
2006-11-20,1494.1941499999998
2006-11-21,1502.8038999999999
2006-11-22,1511.6640499999999
2006-11-23,1520.605
2006-11-24,1530.4815
2006-11-27,1540.7595999999999
2006-11-28,1549.73665
2006-11-29,1559.1233
2006-11-30,1570.8583999999998
2006-12-01,1582.9050499999998
2006-12-04,1596.5473
2006-12-05,1610.45365
2006-12-06,1624.51555
2006-12-07,1637.06555
2006-12-08,1647.44165
2006-12-11,1663.1489000000001
2006-12-12,1678.5994999999998
2006-12-13,1692.0542
2006-12-14,1707.19695
2006-12-15,1722.4745500000001
2006-12-18,1738.62205
2006-12-19,1754.0818
2006-12-20,1769.7077500000003
2006-12-21,1783.4112999999998
2006-12-22,1796.3644999999997
2006-12-25,1810.72965
2006-12-26,1825.4408500000002
2006-12-27,1841.2276000000002
2006-12-28,1854.50635
2006-12-29,1870.0974999999999
2007-01-04,1884.4153000000001
2007-01-05,1898.3479000000002
2007-01-08,1915.9551500000002
2007-01-09,1937.1737500000004
2007-01-10,1964.3928500000002
2007-01-11,1986.4780999999998
2007-01-12,2005.02605
2007-01-15,2029.2003499999998
2007-01-16,2055.0869
2007-01-17,2077.15165
2007-01-18,2097.201
2007-01-19,2120.93345
2007-01-22,2148.67175
2007-01-23,2178.629
2007-01-24,2210.6682
2007-01-25,2236.3545499999996
2007-01-26,2265.08875
2007-01-29,2294.7907499999997
2007-01-30,2323.3883
2007-01-31,2340.6027000000004
2007-02-01,2357.0067
2007-02-02,2368.2626999999998
2007-02-05,2375.27475
2007-02-06,2381.0724499999997
2007-02-07,2386.7635
2007-02-08,2395.7121
2007-02-09,2406.8869999999997
2007-02-12,2416.7895
2007-02-13,2425.2273
2007-02-14,2439.1982
2007-02-15,2456.7751
2007-02-16,2470.8072
2007-02-26,2481.62535
2007-02-27,2479.09345
2007-02-28,2479.5006000000003
2007-03-01,2480.53625
2007-03-02,2480.3266
2007-03-05,2475.26105
2007-03-06,2473.6814999999997
2007-03-07,2483.88655
2007-03-08,2495.50945
2007-03-09,2511.1789500000004
2007-03-12,2528.3977
2007-03-13,2544.60415
2007-03-14,2555.98265
2007-03-15,2567.7299
2007-03-16,2578.07895
2007-03-19,2586.7799999999997
2007-03-20,2594.28705
2007-03-21,2599.9994500000003
2007-03-22,2602.1339
2007-03-23,2604.11045
2007-03-26,2606.92835
2007-03-27,2623.2549000000004
2007-03-28,2635.9088
2007-03-29,2651.39685
2007-03-30,2665.0496
2007-04-02,2683.7746500000003
2007-04-03,2702.16575
2007-04-04,2718.285
2007-04-05,2734.1557500000004
2007-04-06,2752.1865
2007-04-09,2773.2864999999997
2007-04-10,2795.35645
2007-04-11,2821.55455
2007-04-12,2848.0991
2007-04-13,2876.3494499999997
2007-04-16,2906.1787
2007-04-17,2936.7203500000005
2007-04-18,2966.8155500000003
2007-04-19,2988.7646
2007-04-20,3017.4154
2007-04-23,3050.7796
2007-04-24,3083.83825
2007-04-25,3116.36985
2007-04-26,3151.88365
2007-04-27,3186.3206
2007-04-30,3221.7506999999996
2007-05-08,3261.6464499999997
2007-05-09,3301.1192500000006
2007-05-10,3340.0925
2007-05-11,3376.6227
2007-05-14,3411.4351
2007-05-15,3437.5885000000003
2007-05-16,3466.5369
2007-05-17,3496.6453
2007-05-18,3527.0150999999996
2007-05-21,3555.78735
2007-05-22,3585.1315999999997
2007-05-23,3616.8538
2007-05-24,3655.3260500000006
2007-05-25,3690.1245500000005
2007-05-28,3722.18755
2007-05-29,3758.3422000000005
2007-05-30,3780.2511
2007-05-31,3801.96965
2007-06-01,3818.6411999999996
2007-06-04,3816.2773
2007-06-05,3813.7074499999994
2007-06-06,3812.5225999999993
2007-06-07,3816.4123
2007-06-08,3823.1750500000003
2007-06-11,3833.047150000001
2007-06-12,3854.6207999999997
2007-06-13,3875.5198499999997
2007-06-14,3890.38065
2007-06-15,3906.51825
2007-06-18,3926.3245500000003
2007-06-19,3945.4501000000005
2007-06-20,3956.3827999999994
2007-06-21,3970.2594
2007-06-22,3973.5680999999995
2007-06-25,3963.8187
2007-06-26,3951.8149
2007-06-27,3959.5161500000004
2007-06-28,3956.04465
2007-06-29,3954.0508500000005
2007-07-02,3966.3620500000006
2007-07-03,3976.24175
2007-07-04,3979.54185
2007-07-05,3966.2983999999997
2007-07-06,3959.9192000000003
2007-07-09,3954.3911999999996
2007-07-10,3941.3668
2007-07-11,3924.9471
2007-07-12,3912.0021
2007-07-13,3898.0392499999994
2007-07-16,3871.5590999999995
2007-07-17,3848.3916500000005
2007-07-18,3830.8904
2007-07-19,3811.3762500000003
2007-07-20,3807.3991499999997
2007-07-23,3821.3558000000003
