date,881001.WI_成交额
2004-12-31,7471225500.0
2005-01-04,6706556500.0
2005-01-05,7817343000.0
2005-01-06,6827005500.0
2005-01-07,8091371500.0
2005-01-10,6748191000.0
2005-01-11,6865146000.0
2005-01-12,6435316500.0
2005-01-13,8360641500.0
2005-01-14,8199002000.0
2005-01-17,8754718000.0
2005-01-18,8469045000.0
2005-01-19,7546688500.0
2005-01-20,8766217000.0
2005-01-21,13900656000.0
2005-01-24,15277603000.0
2005-01-25,10890767000.0
2005-01-26,8738006000.0
2005-01-27,8072893500.0
2005-01-28,7043185500.0
2005-01-31,7506534500.0
2005-02-01,7945161000.0
2005-02-02,16220193000.0
2005-02-03,15789372000.0
2005-02-04,14414184000.0
2005-02-16,12147912000.0
2005-02-17,9614017000.0
2005-02-18,8809120000.0
2005-02-21,10639408000.0
2005-02-22,20230420000.0
2005-02-23,21494446000.0
2005-02-24,17660320000.0
2005-02-25,21579924000.0
2005-02-28,16145016000.0
2005-03-01,13441277000.0
2005-03-02,16795090000.0
2005-03-03,11107018000.0
2005-03-04,10453128000.0
2005-03-07,10377726000.0
2005-03-08,17798440000.0
2005-03-09,18570304000.0
2005-03-10,16117280000.0
2005-03-11,14289299000.0
2005-03-14,18658486000.0
2005-03-15,15234825000.0
2005-03-16,13059213000.0
2005-03-17,12321190000.0
2005-03-18,11764749000.0
2005-03-21,9004955000.0
2005-03-22,12855775000.0
2005-03-23,12662222000.0
2005-03-24,11016934000.0
2005-03-25,8304669000.0
2005-03-28,8162603000.0
2005-03-29,8520739000.0
2005-03-30,9955002000.0
2005-03-31,8368724500.0
2005-04-01,16801834000.0
2005-04-04,12701234000.0
2005-04-05,10428984000.0
2005-04-06,16485473000.0
2005-04-07,22586524000.0
2005-04-08,16647692000.0
2005-04-11,18481416000.0
2005-04-12,12224708000.0
2005-04-13,17913454000.0
2005-04-14,14726487000.0
2005-04-15,12922300000.0
2005-04-18,10120161000.0
2005-04-19,10243541000.0
2005-04-20,10094386000.0
2005-04-21,11661473000.0
2005-04-22,11850923000.0
2005-04-25,11605581000.0
2005-04-26,12245413000.0
