date,881001.WI_均线_20日
2005-12-23,657.748505
2005-12-26,658.85589
2005-12-27,660.315215
2005-12-28,661.7549799999999
2005-12-29,663.62554
2005-12-30,665.4277
2006-01-04,668.40853
2006-01-05,671.75098
2006-01-06,675.10362
2006-01-09,678.779565
2006-01-10,682.03709
2006-01-11,684.94774
2006-01-12,688.329815
2006-01-13,691.261385
2006-01-16,693.7189500000001
2006-01-17,695.9535050000001
2006-01-18,698.937495
2006-01-19,702.149305
2006-01-20,705.635855
2006-01-23,709.08731
2006-01-24,712.2241750000001
2006-01-25,715.25531
2006-02-06,719.3496299999999
2006-02-07,723.321415
2006-02-08,727.0366
2006-02-09,730.5531050000001
2006-02-10,734.015405
2006-02-13,736.8721350000001
2006-02-14,739.6923400000001
2006-02-15,742.2814999999999
2006-02-16,743.674075
2006-02-17,745.1259
2006-02-20,746.050465
2006-02-21,747.81839
2006-02-22,750.211125
2006-02-23,752.662645
2006-02-24,754.69834
2006-02-27,756.155785
2006-02-28,757.724565
2006-03-01,759.404335
2006-03-02,760.250295
2006-03-03,761.01364
2006-03-06,760.659615
2006-03-07,759.32568
2006-03-08,757.67711
2006-03-09,756.460225
2006-03-10,754.9583700000001
2006-03-13,753.95095
2006-03-14,752.6385899999999
2006-03-15,751.725875
2006-03-16,751.85762
2006-03-17,752.02365
2006-03-20,752.7953249999999
2006-03-21,752.966545
2006-03-22,753.522805
2006-03-23,754.11749
2006-03-24,754.064615
2006-03-27,754.62821
2006-03-28,755.3349099999999
2006-03-29,755.9630500000001
2006-03-30,756.957105
2006-03-31,758.14706
2006-04-03,760.3447199999999
2006-04-04,764.048055
2006-04-05,768.35202
2006-04-06,772.862435
2006-04-07,777.3707649999999
2006-04-10,782.2022650000001
2006-04-11,787.220375
2006-04-12,791.56131
2006-04-13,794.634865
2006-04-14,798.929885
2006-04-17,802.794545
2006-04-18,806.72905
2006-04-19,810.473505
2006-04-20,813.7768149999999
2006-04-21,817.886115
2006-04-24,821.1562900000001
2006-04-25,824.1925799999999
2006-04-26,827.621205
2006-04-27,831.589205
2006-04-28,835.91397
2006-05-08,841.2084350000001
2006-05-09,847.474305
2006-05-10,854.066685
2006-05-11,860.1568299999999
2006-05-12,867.81538
2006-05-15,877.1536399999999
2006-05-16,884.7682200000002
2006-05-17,892.99563
2006-05-18,902.5310149999999
2006-05-19,912.3957999999999
2006-05-22,922.6354599999999
2006-05-23,930.2546049999999
2006-05-24,937.09974
2006-05-25,944.511915
2006-05-26,952.4490699999999
2006-05-29,962.246805
2006-05-30,972.63676
2006-05-31,981.98748
2006-06-01,992.9874899999999
2006-06-02,1003.0477299999999
2006-06-05,1011.978065
2006-06-06,1019.1496649999999
2006-06-07,1022.10059
2006-06-08,1025.603755
2006-06-09,1026.117315
2006-06-12,1024.43177
2006-06-13,1024.4233849999998
2006-06-14,1023.5705100000001
2006-06-15,1022.78863
2006-06-16,1021.7822900000001
2006-06-19,1020.953595
2006-06-20,1022.819195
2006-06-21,1025.112345
2006-06-22,1027.091335
2006-06-23,1028.508525
2006-06-26,1029.45714
2006-06-27,1029.908575
2006-06-28,1030.77199
2006-06-29,1031.020555
2006-06-30,1031.5126500000001
2006-07-03,1032.260435
2006-07-04,1032.99449
2006-07-05,1036.7383049999999
2006-07-06,1041.512125
2006-07-07,1047.369825
2006-07-10,1053.213765
2006-07-11,1059.2875
2006-07-12,1065.814465
2006-07-13,1069.0588249999998
2006-07-14,1071.529395
2006-07-17,1074.042345
2006-07-18,1076.444295
2006-07-19,1077.66117
2006-07-20,1079.2859199999998
2006-07-21,1080.838175
2006-07-24,1081.525185
2006-07-25,1082.75829
2006-07-26,1084.0457250000002
2006-07-27,1083.593735
2006-07-28,1082.66293
2006-07-31,1078.776275
2006-08-01,1074.6929400000001
2006-08-02,1070.81799
2006-08-03,1065.66635
2006-08-04,1059.310875
2006-08-07,1051.87068
2006-08-08,1045.328995
2006-08-09,1038.7701000000002
2006-08-10,1036.22055
2006-08-11,1033.43151
2006-08-14,1028.6268
2006-08-15,1024.506875
2006-08-16,1022.482645
2006-08-17,1019.70237
2006-08-18,1016.314085
2006-08-21,1013.0359349999999
2006-08-22,1009.60993
2006-08-23,1006.103265
2006-08-24,1003.5548500000001
2006-08-25,1001.6475
2006-08-28,1002.87777
2006-08-29,1004.7532800000001
2006-08-30,1007.1857
2006-08-31,1009.983955
2006-09-01,1013.258145
2006-09-04,1018.2829250000001
2006-09-05,1022.18233
2006-09-06,1026.33144
2006-09-07,1028.8907050000003
2006-09-08,1031.3810250000001
2006-09-11,1035.42458
2006-09-12,1038.8946899999999
2006-09-13,1041.1251200000002
2006-09-14,1043.74613
2006-09-15,1047.383315
2006-09-18,1051.466515
2006-09-19,1055.119125
2006-09-20,1058.91935
2006-09-21,1062.66541
2006-09-22,1065.7935149999998
2006-09-25,1067.736695
