date,881001.WI_涨跌幅绝对值_1日
2005-01-04,1.5840485128680526
2005-01-05,1.3144304391041972
2005-01-06,0.9196728420533207
2005-01-07,0.2396688155600124
2005-01-10,0.9301303781203085
2005-01-11,0.32204214525672903
2005-01-12,0.06229001788596866
2005-01-13,0.15448621169580345
2005-01-14,1.1089895775367453
2005-01-17,2.289649370114133
2005-01-18,1.0438611887483296
2005-01-19,0.6478660598991381
2005-01-20,1.3558619480219303
2005-01-21,2.137316760054331
2005-01-24,1.839336394212876
2005-01-25,0.3942433836565118
2005-01-26,0.9389421139521792
2005-01-27,1.6020927843033328
2005-01-28,1.2938522878866099
2005-01-31,2.4276467921795497
2005-02-01,0.5710162419135911
2005-02-02,5.432835746065479
2005-02-03,1.6590734280767738
2005-02-04,2.0371258369767498
2005-02-16,0.8800895872937087
2005-02-17,0.07787594914576701
2005-02-18,1.30738393086951
2005-02-21,1.8549856661939979
2005-02-22,2.422740238892529
2005-02-23,0.45009351778459994
2005-02-24,0.24978882739317143
2005-02-25,0.12471526575468239
2005-02-28,0.38097726219379346
2005-03-01,0.13654763696939742
2005-03-02,1.4345111930254562
2005-03-03,0.5380020207899516
2005-03-04,0.5655733726053436
2005-03-07,0.4702184315682256
2005-03-08,1.970500268072728
2005-03-09,0.05517989370742438
2005-03-10,2.4244013620867144
2005-03-11,0.49530343099852825
2005-03-14,0.058535679995430634
2005-03-15,1.5224236741020247
2005-03-16,0.9319717362176516
2005-03-17,1.1443637688607566
2005-03-18,1.8369343667293259
2005-03-21,0.17583140663375296
2005-03-22,2.384438871780281
2005-03-23,0.3987072840441197
2005-03-24,0.8122814094041031
2005-03-25,0.20260730324821452
2005-03-28,0.5751507172060188
2005-03-29,0.5898864285050376
2005-03-30,2.4826342882301233
2005-03-31,0.6549253130944344
2005-04-01,3.6296708543450684
2005-04-04,1.7369107063953781
2005-04-05,0.781193787024459
2005-04-06,1.7543315798761006
2005-04-07,1.4056226283642115
2005-04-08,1.8770722344039426
2005-04-11,0.4893070987158077
2005-04-12,1.874879066337809
2005-04-13,2.3711426142901226
2005-04-14,1.4364672596660522
2005-04-15,1.9045368268012508
2005-04-18,1.3239708079182066
2005-04-19,0.20220607782330813
2005-04-20,1.756726414820342
2005-04-21,1.2864339920685697
2005-04-22,1.0757930368688329
2005-04-25,1.52688754861674
2005-04-26,1.1777691853817496
2005-04-27,1.3860783865733195
2005-04-28,1.957669935474149
2005-04-29,1.0709284508558237
2005-05-09,3.0079962778227
2005-05-10,0.14101833011159748
2005-05-11,1.025112729134503
2005-05-12,1.171408562422771
