date,000300.SH_对_932000.CSI_相对强弱
2014-01-02,2.284392434398357
2014-01-03,2.2614216760853947
2014-01-06,2.2776830935036236
2014-01-07,2.2588992060043496
2014-01-08,2.249785699906814
2014-01-09,2.270635025895131
2014-01-10,2.2905458162976546
2014-01-13,2.2714825000359826
2014-01-14,2.2446723108262816
2014-01-15,2.2214149111505836
2014-01-16,2.217037187908958
2014-01-17,2.193931301826688
2014-01-20,2.1929980161707294
2014-01-21,2.173266166462048
2014-01-22,2.190069221849586
2014-01-23,2.15426002458797
2014-01-24,2.1453568241873513
2014-01-27,2.1177065470105987
2014-01-28,2.1286898141963926
2014-01-29,2.1138136786108563
2014-01-30,2.0974236101455705
2014-02-07,2.0693720574355474
2014-02-10,2.06524115097283
2014-02-11,2.0709814038073127
2014-02-12,2.0412573008762833
2014-02-13,2.068420025860309
2014-02-14,2.034495875394899
2014-02-17,2.0038924099133615
2014-02-18,1.9748766806346416
2014-02-19,1.99592041894811
2014-02-20,2.0116891423702787
2014-02-21,1.9903949541952146
2014-02-24,1.923351309436916
2014-02-25,1.9502098913792119
2014-02-26,1.9425729217418073
2014-02-27,1.9655380171562609
2014-02-28,1.966574290295499
2014-03-03,1.9330274135528926
2014-03-04,1.9252860265767324
2014-03-05,1.906553524440719
2014-03-06,1.909180100077557
2014-03-07,1.9087981064468695
2014-03-10,1.9196930448718448
2014-03-11,1.9379573806919188
2014-03-12,1.9488583400687902
2014-03-13,1.9481818736227177
2014-03-14,1.9334534601927371
2014-03-17,1.9052847554495245
2014-03-18,1.8867821132533609
2014-03-19,1.8618007921346253
2014-03-20,1.8859235853609893
2014-03-21,1.921504150712714
2014-03-24,1.9379525115918115
2014-03-25,1.9392497317795125
2014-03-26,1.9220782785067432
2014-03-27,1.9522190129593882
2014-03-28,2.0033047618825974
2014-03-31,2.008493992358888
2014-04-01,1.987939372818713
2014-04-02,2.010743750216106
2014-04-03,1.9884537849687591
2014-04-04,1.9871189760791637
2014-04-08,2.0168009959083744
2014-04-09,1.990843765693673
2014-04-10,2.0149315564625176
2014-04-11,2.0151827438774164
2014-04-14,1.992144745882257
2014-04-15,1.966036519238377
2014-04-16,1.9675577521048877
2014-04-17,1.9568757862279686
2014-04-18,1.945680155676874
2014-04-21,1.944296833706711
2014-04-22,1.9718152212489783
2014-04-23,1.9753176647295128
2014-04-24,1.9804061774940553
2014-04-25,2.0023015384876848
2014-04-28,2.0397780651024444
2014-04-29,2.0352009323301603
2014-04-30,2.015294571699525
2014-05-05,1.9824969696746828
2014-05-06,1.9660437403284805
2014-05-07,1.983484480902249
2014-05-08,1.978859935466157
2014-05-09,1.9919690613952523
2014-05-12,1.9959821325570317
2014-05-13,1.9911725087065935
2014-05-14,1.9821015492507577
2014-05-15,1.9950095080251788
2014-05-16,2.0023388512718823
2014-05-19,1.9787604946735182
2014-05-20,1.9641864797727242
2014-05-21,1.961124306747073
2014-05-22,1.9574901602696744
2014-05-23,1.9532606074888204
2014-05-26,1.929859392603114
2014-05-27,1.9191315323853446
2014-05-28,1.9172895815622197
2014-05-29,1.9265783666629868
2014-05-30,1.922135328786447
2014-06-03,1.9209185736233525
2014-06-04,1.9110150897778615
2014-06-05,1.905628670354281
2014-06-06,1.8940981101218097
2014-06-09,1.89671767964035
2014-06-10,1.8958536129866272
2014-06-11,1.8827113700896516
2014-06-12,1.8722821538882888
2014-06-13,1.876820608924342
2014-06-16,1.8793924702029707
2014-06-17,1.872413879105183
2014-06-18,1.8819591571184504
2014-06-19,1.9044154733404648
2014-06-20,1.8907335932617988
2014-06-23,1.8664658847038327
2014-06-24,1.8625403453828764
2014-06-25,1.8577773474002912
2014-06-26,1.8428806438689211
2014-06-27,1.8247815659092268
2014-06-30,1.8196631411389126
2014-07-01,1.8089149288283042
2014-07-02,1.8003002232227086
2014-07-03,1.801109137684237
2014-07-04,1.7958939243879692
2014-07-07,1.7873070092058727
2014-07-08,1.7752356887608969
2014-07-09,1.7736456647702301
2014-07-10,1.7604279944631696
2014-07-11,1.7510732615657172
2014-07-14,1.7466814180644354
2014-07-15,1.759284656449977
2014-07-16,1.7756052986106006
2014-07-17,1.7674308085351846
2014-07-18,1.7751022871540523
2014-07-21,1.7802616414571242
2014-07-22,1.7797194425212672
2014-07-23,1.801779371829687
2014-07-24,1.846174960753571
2014-07-25,1.8519053466631725
2014-07-28,1.8768634186983295
2014-07-29,1.8614556818508454
2014-07-30,1.8426146339729232
2014-07-31,1.8504336874606435
2014-08-01,1.8515537490632548
2014-08-04,1.8636597950477871
2014-08-05,1.8438590664194652
2014-08-06,1.8339410330183281
2014-08-07,1.8235461093817245
2014-08-08,1.812133100093882
2014-08-11,1.812430889717095
2014-08-12,1.7945238613494812
2014-08-13,1.7887835003389654
2014-08-14,1.7781149543369177
2014-08-15,1.7729923033777235
2014-08-18,1.7492781515375306
2014-08-19,1.7392267265067936
2014-08-20,1.730708858159612
2014-08-21,1.7191970297924808
2014-08-22,1.712494857876112
2014-08-25,1.7040045867532696
2014-08-26,1.7238842797249043
2014-08-27,1.7114807546237505
2014-08-28,1.7112703398998919
2014-08-29,1.7113884631883294
2014-09-01,1.688817189744731
2014-09-02,1.6832162785435663
2014-09-03,1.6822602214657014
2014-09-04,1.677417347636847
2014-09-05,1.6857830353412608
