date,932000.CSI_换手率均值_20日
2024-07-18,3.1595750000000002
2024-07-19,3.1542850000000002
2024-07-22,3.1141949999999996
2024-07-23,3.10489
2024-07-24,3.089555
2024-07-25,3.06718
2024-07-26,3.051165
2024-07-29,3.038605
2024-07-30,3.030705
2024-07-31,3.0979900000000002
2024-08-01,3.13847
2024-08-02,3.1983800000000002
2024-08-05,3.26714
2024-08-06,3.274825
2024-08-07,3.289675
2024-08-08,3.2907650000000004
2024-08-09,3.2948500000000003
2024-08-12,3.3035850000000004
2024-08-13,3.3066699999999996
2024-08-14,3.301385
2024-08-15,3.3351349999999997
2024-08-16,3.3867000000000003
2024-08-19,3.4271750000000005
2024-08-20,3.4482349999999995
2024-08-21,3.453185
2024-08-22,3.488525
2024-08-23,3.502455
2024-08-26,3.5040050000000003
2024-08-27,3.4948150000000004
2024-08-28,3.4178699999999997
2024-08-29,3.370975
2024-08-30,3.38564
2024-09-02,3.3548999999999998
2024-09-03,3.32861
2024-09-04,3.31106
2024-09-05,3.277915
2024-09-06,3.2676900000000004
2024-09-09,3.25441
2024-09-10,3.2618500000000004
2024-09-11,3.2556399999999996
2024-09-12,3.230115
2024-09-13,3.201885
2024-09-18,3.17924
2024-09-19,3.1844200000000003
2024-09-20,3.19585
2024-09-23,3.195475
2024-09-24,3.28348
2024-09-25,3.44473
2024-09-26,3.5840699999999996
2024-09-27,3.7894999999999994
2024-09-30,4.205735
2024-10-08,4.664515
2024-10-09,4.9621200000000005
2024-10-10,5.174435
2024-10-11,5.32206
2024-10-14,5.464755
2024-10-15,5.61921
2024-10-16,5.7689
2024-10-17,5.946935
2024-10-18,6.189845
2024-10-21,6.438764999999999
2024-10-22,6.671684999999999
2024-10-23,6.898555
2024-10-24,7.05133
2024-10-25,7.263105
2024-10-28,7.540585
2024-10-29,7.773689999999999
2024-10-30,7.880865
2024-10-31,8.065475
2024-11-01,8.201635
2024-11-04,7.9729
2024-11-05,7.736475
2024-11-06,7.7622349999999996
2024-11-07,7.908175
2024-11-08,8.135735
2024-11-11,8.292625000000001
2024-11-12,8.449355
2024-11-13,8.53979
2024-11-14,8.560985
2024-11-15,8.526105000000001
2024-11-18,8.47661
2024-11-19,8.409360000000001
2024-11-20,8.389705000000001
2024-11-21,8.42126
2024-11-22,8.455929999999999
2024-11-25,8.35929
2024-11-26,8.231465
2024-11-27,8.177105
2024-11-28,8.10197
2024-11-29,8.034065
2024-12-02,8.134895
2024-12-03,8.159085000000001
2024-12-04,8.10616
2024-12-05,7.997945
2024-12-06,7.955500000000001
2024-12-09,7.95555
2024-12-10,8.016205000000001
2024-12-11,8.122675
2024-12-12,8.303215
2024-12-13,8.483065
2024-12-16,8.591645
2024-12-17,8.703775
2024-12-18,8.708789999999999
2024-12-19,8.72269
2024-12-20,8.676285
2024-12-23,8.73203
2024-12-24,8.704295
2024-12-25,8.67911
2024-12-26,8.572155
2024-12-27,8.48978
2024-12-30,8.347824999999998
2024-12-31,8.189440000000001
2025-01-02,8.06951
2025-01-03,8.011605
2025-01-06,7.80348
2025-01-07,7.628955
2025-01-08,7.428
2025-01-09,7.237075
2025-01-10,7.018395
2025-01-13,6.744420000000001
2025-01-14,6.60159
2025-01-15,6.47175
2025-01-16,6.436335
2025-01-17,6.350285
2025-01-20,6.278465
2025-01-21,6.1643
2025-01-22,6.0997900000000005
2025-01-23,6.069075
2025-01-24,6.059900000000001
2025-01-27,5.97228
2025-02-05,5.924245
2025-02-06,5.9342950000000005
2025-02-07,5.993865
2025-02-10,6.0138
2025-02-11,6.082269999999999
2025-02-12,6.14676
2025-02-13,6.188345
2025-02-14,6.231389999999999
2025-02-17,6.2957
2025-02-18,6.418170000000001
2025-02-19,6.43707
2025-02-20,6.490824999999999
2025-02-21,6.557730000000001
2025-02-24,6.653449999999999
2025-02-25,6.722755000000001
2025-02-26,6.816005
2025-02-27,6.96096
2025-02-28,7.0429949999999995
2025-03-03,7.094030000000001
2025-03-04,7.1415500000000005
2025-03-05,7.204224999999999
2025-03-06,7.257674999999999
2025-03-07,7.2296700000000005
2025-03-10,7.16624
2025-03-11,7.12
2025-03-12,7.128175000000001
2025-03-13,7.099535
2025-03-14,7.109085
2025-03-17,7.07855
2025-03-18,7.03553
2025-03-19,7.03301
2025-03-20,7.014279999999999
2025-03-21,6.99311
2025-03-24,6.989595
2025-03-25,6.934429999999999
2025-03-26,6.8455699999999995
2025-03-27,6.74054
2025-03-28,6.642009999999999
2025-03-31,6.59367
2025-04-01,6.559045
2025-04-02,6.48588
2025-04-03,6.3889499999999995
2025-04-07,6.3477049999999995
2025-04-08,6.425974999999999
2025-04-09,6.543325
2025-04-10,6.57565
2025-04-11,6.55459
2025-04-14,6.521459999999999
2025-04-15,6.46878
2025-04-16,6.43595
2025-04-17,6.372555
2025-04-18,6.29706
2025-04-21,6.19731
2025-04-22,6.1098550000000005
2025-04-23,6.1204149999999995
2025-04-24,6.130920000000001
2025-04-25,6.131539999999999
2025-04-28,6.134785
2025-04-29,6.11378
2025-04-30,6.139
2025-05-06,6.208845
2025-05-07,6.309635
2025-05-08,6.329359999999999
2025-05-09,6.262510000000001
2025-05-12,6.13821
2025-05-13,6.05854
2025-05-14,6.04287
2025-05-15,6.025735
2025-05-16,6.038785
2025-05-19,6.05906
2025-05-20,6.115325
2025-05-21,6.17131
2025-05-22,6.205824999999999
2025-05-23,6.22336
2025-05-26,6.170755
2025-05-27,6.15591
2025-05-28,6.157035
2025-05-29,6.20066
2025-05-30,6.257994999999999
2025-06-03,6.25723
2025-06-04,6.25561
2025-06-05,6.2147499999999996
2025-06-06,6.176655
2025-06-09,6.184950000000001
2025-06-10,6.275295
2025-06-11,6.29821
2025-06-12,6.303895
2025-06-13,6.358359999999999
2025-06-16,6.341105000000001
2025-06-17,6.324135
2025-06-18,6.282525
2025-06-19,6.273750000000001
2025-06-20,6.230840000000001
2025-06-23,6.192385
2025-06-24,6.25439
2025-06-25,6.30434
2025-06-26,6.344075
2025-06-27,6.328645
2025-06-30,6.329555
2025-07-01,6.383475
2025-07-02,6.411924999999999
2025-07-03,6.395020000000001
2025-07-04,6.42251
2025-07-07,6.393835
2025-07-08,6.3417699999999995
2025-07-09,6.371185
2025-07-10,6.407885
2025-07-11,6.40573
2025-07-14,6.443065
2025-07-15,6.503335
2025-07-16,6.516540000000001
2025-07-17,6.505265
2025-07-18,6.53797
2025-07-21,6.613899999999999
2025-07-22,6.652325
2025-07-23,6.671545
2025-07-24,6.65929
2025-07-25,6.66837
2025-07-28,6.661935
2025-07-29,6.65158
2025-07-30,6.645009999999999
2025-07-31,6.665649999999999
2025-08-01,6.617165
2025-08-04,6.600534999999999
