date,000300.SH_年化波动率_60日
2005-04-07,22.324685384164596
2005-04-08,22.55733178339528
2005-04-11,22.533255930648046
2005-04-12,22.794344719099083
2005-04-13,23.15341590018009
2005-04-14,23.316411878418364
2005-04-15,23.461687632507317
2005-04-18,23.55156555618814
2005-04-19,23.49967128334255
2005-04-20,23.319700622759534
2005-04-21,23.306670444920698
2005-04-22,23.28035708370407
2005-04-25,23.249540833715546
2005-04-26,22.616719066477607
2005-04-27,22.45832279941809
2005-04-28,22.740680618082386
2005-04-29,22.776309539619344
2005-05-09,23.10948052076449
2005-05-10,23.11697942678332
2005-05-11,23.060174465480898
2005-05-12,23.30616855244481
2005-05-13,20.634213724800272
2005-05-16,20.63947351680864
2005-05-17,20.057195185928016
2005-05-18,19.993700469418112
2005-05-19,20.006222681503274
2005-05-20,19.85670003533767
2005-05-23,19.76747112588411
2005-05-24,19.277112508786598
2005-05-25,19.28704873113285
2005-05-26,19.36407125794231
2005-05-27,19.376599102821
2005-05-30,19.483240261543763
2005-05-31,19.49642931203152
2005-06-01,19.728775905334192
2005-06-02,20.025578701557063
2005-06-03,20.03699500297694
2005-06-06,20.782191222900266
2005-06-07,20.30231960370859
2005-06-08,26.19184042413228
2005-06-09,25.9123189736694
2005-06-10,26.125561209230508
2005-06-13,26.098961579513947
2005-06-14,25.98071973188287
2005-06-15,26.15031686603912
2005-06-16,26.311571995549095
2005-06-17,26.197131353434024
2005-06-20,26.90031062747675
2005-06-21,26.752242543991134
2005-06-22,26.7681517629196
2005-06-23,26.763253438722128
2005-06-24,26.795204131443406
2005-06-27,27.114573561077915
2005-06-28,27.218093446395013
2005-06-29,26.977924095959978
2005-06-30,27.306247812756407
2005-07-01,26.458388210722017
2005-07-04,26.300242704385212
2005-07-05,26.304093160077606
2005-07-06,25.991406122514167
2005-07-07,25.861370628830937
2005-07-08,25.67431915277166
2005-07-11,25.664411197425334
2005-07-12,26.513862788302568
2005-07-13,26.039124747918272
2005-07-14,25.971764430005308
2005-07-15,25.92839708278472
2005-07-18,25.91535493953419
2005-07-19,25.92292506225671
2005-07-20,25.86841485852301
2005-07-21,25.855818093023153
2005-07-22,26.16487455014517
2005-07-25,26.114332444903006
2005-07-26,26.49916623914888
2005-07-27,26.744847433653685
2005-07-28,26.519611691921195
2005-07-29,26.454090989330375
2005-08-01,25.99420142704557
2005-08-02,26.123785363897845
2005-08-03,26.038063123955197
2005-08-04,25.80725245459646
2005-08-05,26.153708607502452
2005-08-08,25.99059536579596
2005-08-09,25.981695489122636
2005-08-10,26.01717106436652
2005-08-11,26.1546900339523
2005-08-12,26.393678024901845
2005-08-15,26.153043411565218
2005-08-16,26.241369207491978
2005-08-17,26.27685847916596
2005-08-18,27.11052451592525
2005-08-19,27.02899664236232
2005-08-22,27.0513038906508
2005-08-23,27.130094527685667
2005-08-24,26.748443100718404
2005-08-25,26.26673527653937
2005-08-26,26.274949647815788
2005-08-29,25.986331999906763
2005-08-30,25.990436957693706
2005-08-31,20.859158882561665
2005-09-01,21.103087917157115
2005-09-02,20.688076017795247
2005-09-05,20.696731475137963
2005-09-06,20.885564872623995
2005-09-07,20.723677125712772
2005-09-08,20.564087315673444
2005-09-09,20.625400237478154
2005-09-12,19.831305964496725
2005-09-13,19.877983067735833
2005-09-14,19.893607192080704
2005-09-15,19.810223547555754
2005-09-16,19.80629511731373
2005-09-19,19.457922791598012
2005-09-20,19.351504921257842
2005-09-21,19.701490150419747
2005-09-22,19.69611825279001
2005-09-23,19.21666975283029
2005-09-26,19.189135631308456
2005-09-27,19.41215055200198
2005-09-28,19.31903674461299
2005-09-29,19.47487755134797
2005-09-30,19.06095531475947
2005-10-10,19.161981119528463
2005-10-11,18.225076167419715
2005-10-12,18.16224383343996
2005-10-13,18.24492948123833
2005-10-14,18.320756008751903
2005-10-17,18.285518385147743
2005-10-18,18.299602736155215
2005-10-19,18.271722922907472
2005-10-20,18.271473943753477
2005-10-21,17.943763703134135
2005-10-24,17.926497284579984
2005-10-25,17.606668396094644
2005-10-26,17.6556775502587
2005-10-27,17.643987586920733
2005-10-28,17.72886363395528
2005-10-31,17.827215626351343
2005-11-01,17.621081871769842
2005-11-02,17.715441012575756
2005-11-03,17.764006337720144
2005-11-04,17.215564333868585
2005-11-07,17.1877041917775
2005-11-08,17.169285886239766
2005-11-09,17.079268931049445
2005-11-10,17.139561435149158
2005-11-11,16.882224568315753
2005-11-14,16.45807012818259
2005-11-15,16.400715139041715
2005-11-16,16.3805112954791
2005-11-17,14.941782336613846
2005-11-18,15.657339030422001
2005-11-21,15.531779334274434
2005-11-22,15.756255910533278
2005-11-23,15.751003078013524
2005-11-24,15.81339102284695
2005-11-25,15.830521175914386
2005-11-28,15.689667963968981
2005-11-29,15.798800160664536
2005-11-30,15.520757943152452
2005-12-01,15.039745807046561
2005-12-02,15.014099286594929
2005-12-05,15.099915417897037
2005-12-06,14.880332328073727
2005-12-07,14.55282965613128
2005-12-08,14.533172563455372
2005-12-09,14.870447299391563
2005-12-12,14.875088180225472
2005-12-13,14.51647932707361
2005-12-14,14.611846673410039
2005-12-15,14.61172915292618
2005-12-16,14.70104688246468
2005-12-19,14.67039005788909
2005-12-20,14.620396522564615
2005-12-21,14.204001286202594
2005-12-22,13.54657094853991
2005-12-23,13.554797675079474
2005-12-26,13.619811977880156
2005-12-27,13.255385035910185
2005-12-28,13.257312174575825
2005-12-29,13.200401894737853
2005-12-30,13.335578467545005
2006-01-04,13.681572861400888
2006-01-05,13.913905732012097
2006-01-06,14.060536384436817
2006-01-09,13.983172847812808
2006-01-10,13.698261304918105
2006-01-11,13.624054969144703
2006-01-12,13.724853918859136
2006-01-13,13.742222606393826
2006-01-16,14.279992746257753
2006-01-17,14.263173289838452
2006-01-18,14.751913135990396
2006-01-19,14.477291137322764
