date,000300.SH_动量_20日
2005-02-01,-2.7312946558485263
2005-02-02,1.4456498523017114
2005-02-03,1.0212841267161377
2005-02-04,3.3436386512432525
2005-02-16,2.988794410587192
2005-02-17,2.353843762379215
2005-02-18,0.9337365111341978
2005-02-21,2.8846086327601217
2005-02-22,5.912945990411855
2005-02-23,7.906542133356487
2005-02-24,7.260880137151449
2005-02-25,8.224790893394385
2005-02-28,8.757588274971372
2005-03-01,5.427415316851958
2005-03-02,2.323037110284898
2005-03-03,3.000175390243287
2005-03-04,3.408227669082997
2005-03-07,5.667786064674751
2005-03-08,8.231248368514965
2005-03-09,9.599645609548446
2005-03-10,6.952448399551869
2005-03-11,2.0375146611474992
2005-03-14,3.8069300201869716
2005-03-15,-0.32797106380634267
2005-03-16,-2.0046229718322928
2005-03-17,-2.718286978520601
2005-03-18,-2.7225151706417594
2005-03-21,-4.264683371147382
2005-03-22,-7.90260082694526
2005-03-23,-8.135877020223303
2005-03-24,-7.715168442599429
2005-03-25,-8.006221095359866
2005-03-28,-7.624407565849256
2005-03-29,-7.794318943098688
2005-03-30,-8.25265342889594
2005-03-31,-8.320148680075123
2005-04-01,-4.446953941076548
2005-04-04,-6.573930132997252
2005-04-05,-8.902779538735949
2005-04-06,-6.963491262670285
2005-04-07,-3.685399148876245
2005-04-08,-2.3343705501791434
2005-04-11,-3.453356171425359
2005-04-12,-3.436133171126854
2005-04-13,-0.2158384551350201
2005-04-14,-0.5930324727580816
2005-04-15,-0.46829098823396587
2005-04-18,-1.8455167721941224
2005-04-19,0.19314871828917113
2005-04-20,-0.8491048059978579
2005-04-21,-2.1579579623155487
2005-04-22,-2.477166638108741
2005-04-25,-3.187897107930082
2005-04-26,-1.8956437986159869
2005-04-27,-1.1130866115850568
2005-04-28,-0.013797451292341112
2005-04-29,-4.677220657468983
2005-05-09,-5.507769952856467
2005-05-10,-4.449779091207806
2005-05-11,-7.375922799147139
2005-05-12,-10.04465169746519
2005-05-13,-11.550408841540893
2005-05-16,-12.070269765255116
2005-05-17,-9.935148467809752
