date,932000.CSI_RSI,932000.CSI_RSI_30P,932000.CSI_RSI_70P
2014-07-21,59.46491836160017,51.07445585540293,68.7063080387729
2014-07-22,61.61125557617938,51.07445585540293,68.7063080387729
2014-07-23,53.876822902831634,51.07445585540293,68.7063080387729
2014-07-24,49.42376812515148,50.46960367114195,68.41388131388453
2014-07-25,51.14107143542264,50.46960367114195,67.63908451055617
2014-07-28,53.609626447668255,50.46960367114195,67.63908451055617
2014-07-29,65.20991635414528,50.46960367114195,67.30338976523218
2014-07-30,65.70941904442059,50.46960367114195,66.92596616292765
2014-07-31,65.83084716401717,50.46960367114195,66.44229025793555
2014-08-01,55.553392138040145,50.46960367114195,66.13787359683454
2014-08-04,63.52378927687467,50.46960367114195,65.92371602403958
2014-08-05,72.49591652033455,50.46960367114195,65.92371602403958
2014-08-06,74.31774988599138,50.46960367114195,65.92371602403958
2014-08-07,68.9179646524311,50.46960367114195,65.92371602403958
2014-08-08,71.89674525834154,50.46960367114195,65.92371602403958
2014-08-11,72.49592581753215,50.46960367114195,65.92371602403958
2014-08-12,79.55080981955922,50.46960367114195,65.92371602403958
2014-08-13,84.3866118445153,50.46960367114195,65.92371602403958
2014-08-14,80.68946650230404,50.46960367114195,65.92371602403958
2014-08-15,80.70854215098102,50.46960367114195,65.92371602403958
2014-08-18,82.09394512685262,50.46960367114195,66.13787359683454
2014-08-19,82.11970613656014,50.46960367114195,66.44229025793555
2014-08-20,81.17742383197036,50.46960367114195,66.92596616292765
2014-08-21,88.16142790531835,50.46960367114195,67.30338976523218
2014-08-22,87.76072847658651,50.46960367114195,67.63908451055617
2014-08-25,82.79461655225646,50.46960367114195,68.41388131388453
2014-08-26,68.58832898133225,50.46960367114195,68.50728344468655
2014-08-27,76.17710987318453,50.46960367114195,68.6872196826619
2014-08-28,70.18370855556994,51.05223819656785,69.0180985451878
2014-08-29,69.6149273312425,51.16328909425772,69.36069920584016
2014-09-01,73.05736800281288,51.574507476051195,69.6515475471605
2014-09-02,75.54319467560944,52.72866234286936,69.87100886901608
2014-09-03,79.10188953545642,53.47159425776605,70.4900118256993
2014-09-04,78.76488682783156,53.79666396628262,71.27926536154298
2014-09-05,76.46542386661932,53.79666396628262,71.58626764296756
2014-09-09,77.48627600158534,53.79666396628262,72.07649663693944
2014-09-10,79.03133832743666,53.79666396628262,72.49591930949383
2014-09-11,79.21729940034132,54.03961906063096,72.66435847311637
2014-09-12,80.28126407121941,54.70138947878395,73.43548256776643
2014-09-15,84.459173915925,55.09950172109347,74.4561646962147
2014-09-16,76.39389352080902,55.43579042946032,74.81709958137478
2014-09-17,76.83898199572408,56.434846867500276,74.96460209825521
2014-09-18,80.82836250028977,56.96955694277301,75.23440421390882
2014-09-19,81.19936994524421,57.37218535909241,75.62474753975262
2014-09-22,75.95114536240806,57.58935047940761,75.85586989798313
2014-09-23,76.34992291680044,57.670118030144614,76.018934715641
2014-09-24,77.24263390971369,57.94167316914242,76.2289537862693
2014-09-25,76.44916274876145,58.194891390798865,76.36311409800301
2014-09-26,77.05211186681244,58.493005773347555,76.41047428919475
2014-09-29,77.42230154970437,59.20363465286949,76.45404108411881
2014-09-30,77.3304203465184,60.0832044527508,76.48755208618208
2014-10-08,79.24906973626832,60.73554633608061,76.62912381766387
2014-10-09,77.9995891183278,61.398346506575685,76.8870700067245
2014-10-10,74.36326627808965,61.81782264202144,76.8870700067245
2014-10-13,92.49763491963989,62.275953738687306,77.00669134735308
2014-10-14,90.3032690035447,62.657009556575495,77.03243027318267
2014-10-15,89.92354986321044,62.657009556575495,77.10926847968281
