date,8841431.WI_动量_20日
2009-06-26,8.401645798569701
2009-06-29,6.9623673825970345
2009-06-30,5.290591096357855
2009-07-01,4.944415967995663
2009-07-02,6.133751011363819
2009-07-03,6.9639630818217
2009-07-06,6.329780102854898
2009-07-07,6.1182395139081525
2009-07-08,6.21331172724553
2009-07-09,9.112547002488359
2009-07-10,11.712539279570544
2009-07-13,10.809082775414147
2009-07-14,12.565218389855271
2009-07-15,12.09274631894215
2009-07-16,11.109329312585414
2009-07-17,11.998482713175429
2009-07-20,14.697114442075755
2009-07-21,11.519604624459468
2009-07-22,12.129868126103283
2009-07-23,12.832307951964284
2009-07-24,11.574994489255763
2009-07-27,13.212935541922866
2009-07-28,15.825386284057874
2009-07-29,7.872353459105685
2009-07-30,8.122495476392766
2009-07-31,10.63811250526987
2009-08-03,12.95283030537233
2009-08-04,13.492045392905204
2009-08-05,13.031360772647238
2009-08-06,9.387263921612066
2009-08-07,6.550643331029082
2009-08-10,6.749616449595397
2009-08-11,5.904515619595863
2009-08-12,-0.3133407112079323
2009-08-13,0.4052042242738585
2009-08-14,-6.003841059895887
2009-08-17,-14.002967847391046
2009-08-18,-9.872444318872798
2009-08-19,-16.03921960802178
2009-08-20,-13.651609904733085
2009-08-21,-10.244458868100924
2009-08-24,-9.603622101271792
2009-08-25,-12.07193210484576
2009-08-26,-2.7672849116193388
2009-08-27,-2.0935378311317976
2009-08-28,-7.333143149241139
2009-08-31,-15.327540161494458
2009-09-01,-16.111696618144776
2009-09-02,-16.12609466470829
2009-09-03,-11.562713410546921
2009-09-04,-7.942468416131321
2009-09-07,-7.992074138547711
2009-09-08,-7.340577491501232
2009-09-09,-1.7124630033233945
2009-09-10,-2.965235450679493
2009-09-11,4.406970527655707
2009-09-14,15.031390118855125
2009-09-15,14.235606085256824
2009-09-16,21.886486185549025
2009-09-17,20.643877606740734
2009-09-18,13.319175603925437
2009-09-21,12.55207638734741
2009-09-22,11.464521351412715
2009-09-23,5.084117799673149
2009-09-24,2.3648432333720715
2009-09-25,4.207606216777338
2009-09-28,7.821884107813282
2009-09-29,4.484629205251545
2009-09-30,4.404309919719962
2009-10-09,5.039602384855368
2009-10-12,4.401576528962869
2009-10-13,5.027678228286203
2009-10-14,4.751109906594286
2009-10-15,4.731860764913121
2009-10-16,6.052007595928721
2009-10-19,6.660666798512271
2009-10-20,5.921759725118614
2009-10-21,3.7847392316241235
2009-10-22,3.6782795184722383
2009-10-23,1.9332469603156488
2009-10-26,5.5004889693410774
2009-10-27,0.7510852265051993
2009-10-28,4.356130374196421
2009-10-29,4.5190775590458365
2009-10-30,6.573766114152324
2009-11-02,10.305496433285999
2009-11-03,16.911812956165416
2009-11-04,21.456686065911335
2009-11-05,22.118775607716913
2009-11-06,16.70279169524229
2009-11-09,16.54271169086654
2009-11-10,14.492447860557656
2009-11-11,13.957195325982298
2009-11-12,14.005672243554756
2009-11-13,15.144448790425491
2009-11-16,15.071665818627022
2009-11-17,13.679592155986198
2009-11-18,15.492672802771978
2009-11-19,17.05768145550475
2009-11-20,16.757486057399838
2009-11-23,18.747308765342986
2009-11-24,14.990164350942914
2009-11-25,18.170524857544844
2009-11-26,16.308018029109682
2009-11-27,12.169556268767568
2009-11-30,13.961309472328143
2009-12-01,14.978707316289853
2009-12-02,15.959060828441874
2009-12-03,15.836233439125902
2009-12-04,12.064446773989301
2009-12-07,13.481307515256225
2009-12-08,13.751941244127197
2009-12-09,11.290088383572838
2009-12-10,11.809918150986821
2009-12-11,10.18034452632881
2009-12-14,7.204112963520259
2009-12-15,7.2900017840527465
2009-12-16,6.044081643336874
2009-12-17,0.6159133789394033
2009-12-18,-3.7275373358364283
2009-12-21,-4.426184082012796
2009-12-22,-1.6527910099804477
2009-12-23,-3.697030504547927
2009-12-24,2.8613724345689873
2009-12-25,6.065207506399473
2009-12-28,3.4840570031777762
2009-12-29,0.9921400852204387
2009-12-30,-1.2778255902621383
2009-12-31,-1.3790457496978936
2010-01-04,2.0315385345812897
2010-01-05,1.0277131654247817
2010-01-06,0.43221399254844695
2010-01-07,-0.014338391415391616
2010-01-08,0.1100304200884139
2010-01-11,1.2302515568343608
2010-01-12,3.9153045796640695
2010-01-13,2.6278507178929766
2010-01-14,5.835363519348635
2010-01-15,10.01748818982231
2010-01-18,15.71386277593736
2010-01-19,14.073532829526346
2010-01-20,13.599205655057478
2010-01-21,12.747051825535948
2010-01-22,6.384948066817775
2010-01-25,4.499366833490059
2010-01-26,-1.3951406113237752
2010-01-27,-2.985382781370738
2010-01-28,-1.5720195738072151
2010-01-29,-1.7319799480030373
2010-02-01,-3.6374743023408485
2010-02-02,-5.041992313316623
2010-02-03,-3.062368547131944
2010-02-04,0.07408053885877841
2010-02-05,-2.3254511479203877
2010-02-08,-2.9335774274656723
2010-02-09,-4.95425045350818
2010-02-10,-3.0807106793361183
2010-02-11,-6.201323242053491
2010-02-12,-4.904627401046724
2010-02-22,-5.9055094270824675
2010-02-23,-4.5975611677545825
2010-02-24,1.3849087682467287
2010-02-25,2.0389285292990555
2010-02-26,5.51259270772706
2010-03-01,8.716886259517276
2010-03-02,13.523331048181797
2010-03-03,15.99009429343119
2010-03-04,10.741076984613285
2010-03-05,10.295228471610063
2010-03-08,13.617343315146968
2010-03-09,14.27848783522807
2010-03-10,11.354356782221476
2010-03-11,10.153087832965802
2010-03-12,10.08377505800826
2010-03-15,8.80894426904495
2010-03-16,10.156556151581043
2010-03-17,11.34259105881048
2010-03-18,12.581601658852183
2010-03-19,11.221612079698918
2010-03-22,11.72305846528352
2010-03-23,9.742619878305604
2010-03-24,7.921804285751399
2010-03-25,5.1446883383932995
2010-03-26,5.763240890353161
2010-03-29,4.46301434204861
2010-03-30,5.361636593970331
2010-03-31,4.67906648227463
2010-04-01,10.265679010993644
2010-04-02,9.950515867606446
2010-04-06,9.28732115801234
2010-04-07,9.58998391581356
2010-04-08,10.299801710695844
2010-04-09,11.787742924050226
2010-04-12,14.735876483991749
2010-04-13,12.742942924488453
2010-04-14,12.69342643484348
2010-04-15,8.531865170518916
2010-04-16,7.864693562355618
2010-04-19,2.7368912667183
2010-04-20,2.691242321508236
2010-04-21,6.2529533398364645
2010-04-22,6.120928292887573
2010-04-23,6.495303971503863
2010-04-26,4.939852997169991
2010-04-27,1.2900959607147433
2010-04-28,-0.24350486346138567
2010-04-29,-3.692168244420524
2010-04-30,-8.863834835469554
2010-05-04,-9.283865917679112
2010-05-05,-6.890935890463846
2010-05-06,-10.248379896813598
2010-05-07,-11.548276839087546
2010-05-10,-14.196903720023734
2010-05-11,-17.506602994072228
2010-05-12,-17.365183370000892
2010-05-13,-16.507903039501027
2010-05-14,-15.18757677660968
2010-05-17,-21.13093402048395
2010-05-18,-17.215655567121722
2010-05-19,-18.09663170183787
