date,932000.CSI_年化波动率_120日
2014-07-02,20.746313657943986
2014-07-03,20.73744689193217
2014-07-04,20.23542474375398
2014-07-07,20.217635413823707
2014-07-08,20.233760102740234
2014-07-09,20.157810494601158
2014-07-10,19.989684277177663
2014-07-11,20.005688357552085
2014-07-14,19.89711038993464
2014-07-15,19.90304320488327
2014-07-16,19.986410713279767
2014-07-17,19.97152400591729
2014-07-18,19.95008188197546
2014-07-21,19.80512492825424
2014-07-22,19.730967973377002
2014-07-23,19.74962054069371
2014-07-24,19.74044643118737
2014-07-25,19.758083174278042
2014-07-28,19.832418805935045
2014-07-29,19.841025063553356
2014-07-30,19.838721447183573
2014-07-31,19.71912061418932
2014-08-01,19.447582575195007
2014-08-04,19.514019347852134
2014-08-05,19.408678306715437
2014-08-06,19.20873442716718
2014-08-07,19.003562990187348
2014-08-08,18.78803326842457
2014-08-11,18.885179350752193
2014-08-12,18.90072854845996
2014-08-13,18.72506454045061
2014-08-14,18.73841373715623
2014-08-15,18.755489446875437
2014-08-18,17.99253591529279
2014-08-19,17.989422225291797
2014-08-20,17.80897367031233
2014-08-21,17.761175647637405
2014-08-22,17.54147501484192
2014-08-25,17.563749517749
2014-08-26,17.820439001665562
2014-08-27,17.84907401632327
2014-08-28,17.88122529014547
2014-08-29,16.984932194705905
2014-09-01,17.16686961554687
2014-09-02,17.27199276875046
2014-09-03,17.24249678025736
2014-09-04,17.2736865843277
2014-09-05,16.991215783407668
2014-09-09,17.02164927486387
2014-09-10,17.05818718407561
2014-09-11,16.462878759357054
2014-09-12,16.4643938029015
2014-09-15,16.561524654124206
2014-09-16,17.347890639091045
2014-09-17,17.379508827397487
2014-09-18,17.03837109765577
2014-09-19,16.551941427884127
2014-09-22,16.565192284987205
2014-09-23,16.56004660387883
2014-09-24,16.630130289488527
2014-09-25,16.629812823186473
2014-09-26,16.61702613478805
2014-09-29,16.65531266085321
2014-09-30,16.60970470191589
2014-10-08,16.736787416813513
2014-10-09,16.723308226862468
2014-10-10,16.715875738148515
2014-10-13,16.689559042578757
2014-10-14,16.701666550440795
2014-10-15,16.70201762820258
2014-10-16,16.81937991450705
2014-10-17,16.8349486327428
2014-10-20,16.84289721660245
2014-10-21,16.88601331611977
2014-10-22,16.993926191132868
2014-10-23,16.998110170496368
2014-10-24,16.15372195311544
2014-10-27,16.128669199715112
2014-10-28,16.57133367337134
2014-10-29,16.5654332707674
2014-10-30,16.556981541331737
2014-10-31,16.296344442313103
2014-11-03,16.337259401779324
2014-11-04,16.36305378683811
2014-11-05,16.209857571832995
2014-11-06,16.22986752038738
2014-11-07,16.333978982444535
2014-11-10,15.993593223412873
2014-11-11,17.090483328918914
2014-11-12,17.151933006674426
2014-11-13,17.421141799682584
2014-11-14,17.410088543924754
2014-11-17,17.52844994628064
2014-11-18,17.501616467503585
2014-11-19,17.44542547413495
2014-11-20,17.45330974036404
2014-11-21,17.452075766691642
2014-11-24,17.336515729849562
2014-11-25,17.365016102288322
2014-11-26,17.358000904962672
2014-11-27,17.3345686903871
2014-11-28,17.285635080109742
2014-12-01,17.40232202525306
2014-12-02,17.400882545416994
2014-12-03,17.351115707324357
2014-12-04,17.35730046173599
2014-12-05,18.075746158590743
2014-12-08,18.110525257643737
2014-12-09,19.644306377090963
2014-12-10,19.930057917197566
2014-12-11,19.90600169687686
2014-12-12,19.457553809347143
2014-12-15,19.53868077712298
2014-12-16,19.556492556715703
2014-12-17,19.777298245026596
2014-12-18,19.802190680604166
2014-12-19,20.003993286331937
2014-12-22,22.067579314667945
2014-12-23,22.1586051476023
2014-12-24,22.390591791664395
2014-12-25,22.420892979710068
2014-12-26,22.42088776449532
2014-12-29,22.717548545632294
2014-12-30,22.869544011131367
2014-12-31,22.86324359649022
2015-01-05,22.75550007855668
2015-01-06,22.886274161959626
2015-01-07,22.882147079494853
2015-01-08,22.82339994086378
2015-01-09,22.82752325063231
2015-01-12,22.886545885436732
2015-01-13,22.97512888760141
2015-01-14,22.981442686023563
2015-01-15,22.980775939041994
2015-01-16,22.9855701446177
2015-01-19,23.06395848527155
2015-01-20,23.538478333409795
2015-01-21,23.653309124394443
2015-01-22,23.662540868203067
2015-01-23,23.694011036645186
2015-01-26,23.797755898990573
2015-01-27,23.792999622457938
