time,000905.SH_均线_20日
2005-01-31,988.8793
2005-02-01,985.1995000000001
2005-02-02,983.2299999999999
2005-02-03,980.7658500000001
2005-02-04,978.9869500000001
2005-02-16,977.2869499999999
2005-02-17,975.7334000000001
2005-02-18,973.54085
2005-02-21,971.9783
2005-02-22,972.35425
2005-02-23,974.44105
2005-02-24,976.0923999999999
2005-02-25,977.9862499999999
2005-02-28,980.40545
2005-03-01,982.0376
2005-03-02,981.9362500000001
2005-03-03,982.5230000000001
2005-03-04,983.28575
2005-03-07,985.0647499999999
2005-03-08,988.91695
2005-03-09,994.4118000000001
2005-03-10,999.0225
2005-03-11,1001.28205
2005-03-14,1004.4047499999999
2005-03-15,1005.9949
2005-03-16,1006.57385
2005-03-17,1006.2585499999999
2005-03-18,1005.49555
2005-03-21,1003.88225
2005-03-22,999.6260500000001
2005-03-23,994.8228499999999
2005-03-24,990.2679
2005-03-25,985.6328500000002
2005-03-28,980.73665
2005-03-29,975.5191000000001
2005-03-30,969.6591499999998
2005-03-31,963.89815
2005-04-01,960.1149499999999
2005-04-04,955.2608
2005-04-05,948.8751500000001
2005-04-06,943.1755
2005-04-07,939.5148999999999
2005-04-08,936.51605
2005-04-11,933.5532000000001
2005-04-12,930.23215
2005-04-13,928.5477999999999
2005-04-14,926.77075
2005-04-15,924.95885
2005-04-18,922.5370999999999
2005-04-19,921.54815
2005-04-20,919.5926000000002
2005-04-21,916.2916499999999
2005-04-22,912.5908499999999
2005-04-25,908.4976
2005-04-26,905.4190499999999
2005-04-27,902.9692500000001
2005-04-28,901.1966499999999
2005-04-29,897.1999
2005-05-09,892.6263500000001
2005-05-10,888.44355
2005-05-11,883.0941999999999
2005-05-12,876.8530499999999
2005-05-13,870.1241
2005-05-16,863.1072
2005-05-17,857.6594499999999
2005-05-18,851.38015
2005-05-19,845.8559000000001
2005-05-20,841.1488499999999
2005-05-23,835.77915
2005-05-24,831.0770500000001
2005-05-25,827.3577500000001
2005-05-26,823.94255
2005-05-27,820.6224
2005-05-30,818.4461
2005-05-31,815.5277000000001
2005-06-01,812.4637
2005-06-02,807.90395
2005-06-03,803.8217500000001
2005-06-06,801.8122999999999
2005-06-07,799.9001000000001
2005-06-08,801.3896
2005-06-09,803.50035
2005-06-10,804.3367000000001
2005-06-13,805.64075
2005-06-14,805.62755
2005-06-15,804.2084000000001
2005-06-16,803.1586500000001
2005-06-17,802.2090000000001
2005-06-20,803.7094500000001
2005-06-21,804.08215
2005-06-22,804.5296500000001
2005-06-23,805.0458
2005-06-24,806.1560499999999
2005-06-27,807.99675
2005-06-28,809.1054499999999
2005-06-29,810.875
2005-06-30,811.97905
2005-07-01,811.6983
2005-07-04,810.26195
2005-07-05,808.4995
2005-07-06,803.6037
2005-07-07,798.48835
2005-07-08,793.0508000000001
2005-07-11,787.06195
2005-07-12,783.1291
2005-07-13,779.9382499999999
2005-07-14,776.3682
2005-07-15,772.08575
2005-07-18,765.7415
2005-07-19,760.08495
2005-07-20,754.51725
2005-07-21,749.2893
2005-07-22,744.7014
2005-07-25,738.9274499999999
2005-07-26,734.7682000000001
2005-07-27,731.56575
2005-07-28,729.3521499999999
2005-07-29,728.5758
2005-08-01,728.6260500000001
2005-08-02,729.5608
2005-08-03,730.8761999999999
2005-08-04,731.7684
2005-08-05,735.0166499999999
2005-08-08,739.29875
2005-08-09,743.03135
2005-08-10,747.60115
2005-08-11,752.616
2005-08-12,757.7109
2005-08-15,764.85185
2005-08-16,771.66175
2005-08-17,779.0234
2005-08-18,784.8172
2005-08-19,789.7884
2005-08-22,795.41985
2005-08-23,799.4725
2005-08-24,803.30755
2005-08-25,807.76695
2005-08-26,812.54725
2005-08-29,816.63525
2005-08-30,819.84825
2005-08-31,823.61775
2005-09-01,828.6249
2005-09-02,832.8582
2005-09-05,837.0668499999999
2005-09-06,839.4821
2005-09-07,842.6964
2005-09-08,845.5388500000001
2005-09-09,848.6947
2005-09-12,850.8894
2005-09-13,854.14175
2005-09-14,857.1646000000001
2005-09-15,862.0566500000001
2005-09-16,866.8951
2005-09-19,871.84475
2005-09-20,877.20705
2005-09-21,881.3606000000002
2005-09-22,883.54035
2005-09-23,884.94625
2005-09-26,887.07585
2005-09-27,888.5462500000001
2005-09-28,888.9071
2005-09-29,889.2013999999999
2005-09-30,889.0526
2005-10-10,887.7755000000001
2005-10-11,888.5821
2005-10-12,888.5613999999999
2005-10-13,888.2494
2005-10-14,888.0769
2005-10-17,887.8367000000001
2005-10-18,887.3061
2005-10-19,885.87265
2005-10-20,884.27495
2005-10-21,883.1443999999999
2005-10-24,881.5078
2005-10-25,879.1786500000001
2005-10-26,876.3906999999999
2005-10-27,874.7697000000001
2005-10-28,872.5953999999999
2005-10-31,870.28635
2005-11-01,868.6048499999999
2005-11-02,868.0027
2005-11-03,865.88345
2005-11-04,864.1641
2005-11-07,863.3268
2005-11-08,861.8439000000001
2005-11-09,859.7138500000001
2005-11-10,856.6047999999998
2005-11-11,853.99995
2005-11-14,851.44055
2005-11-15,847.7801499999999
2005-11-16,844.79905
2005-11-17,841.76135
2005-11-18,839.1968999999999
2005-11-21,836.6569499999999
2005-11-22,834.3666500000002
2005-11-23,833.5710999999999
2005-11-24,833.2764
2005-11-25,834.0797500000001
2005-11-28,834.5638999999999
2005-11-29,834.7477500000001
2005-11-30,834.20695
2005-12-01,834.1713
2005-12-02,833.3083999999999
2005-12-05,831.0546
2005-12-06,828.55025
2005-12-07,826.63365
2005-12-08,825.84825
2005-12-09,825.6104499999999
2005-12-12,825.4579
2005-12-13,825.6764000000001
2005-12-14,825.9674499999999
2005-12-15,826.0545500000001
2005-12-16,825.5944999999999
2005-12-19,824.9822
2005-12-20,825.1996000000001
2005-12-21,824.83205
2005-12-22,824.52225
2005-12-23,824.7452000000001
