date,000300.SH_对_8841431.WI_相对换手率
2009-05-27,0.4264130778012582
2009-06-01,0.5686198763825634
2009-06-02,0.5058029885390977
2009-06-03,0.5465611685940354
2009-06-04,0.6262033694344165
2009-06-05,0.5556223812674165
2009-06-08,0.5034816207616175
2009-06-09,0.42501503526452955
2009-06-10,0.44908033659504937
2009-06-11,0.402506450423885
2009-06-12,0.3898397280233123
2009-06-15,0.48014468414933476
2009-06-16,0.4504391145806584
2009-06-17,0.4263545327939519
2009-06-18,0.4711142487351453
2009-06-19,0.4544108992991779
2009-06-22,0.5619696244397059
2009-06-23,0.6441092255045744
2009-06-24,0.6591973974897428
2009-06-25,0.44513120798091527
2009-06-26,0.40578700478380014
2009-06-29,0.4615182270545168
2009-06-30,0.5066232970348371
2009-07-01,0.540258460435844
2009-07-02,0.5764638299618399
2009-07-03,0.5156930440582211
2009-07-06,0.4400772098480404
2009-07-07,0.4150121065375303
2009-07-08,0.3895227286303088
2009-07-09,0.31438701008563885
2009-07-10,0.3007572133229952
2009-07-13,0.28886487216724643
2009-07-14,0.3183481803742836
2009-07-15,0.3681380598216298
2009-07-16,0.35873437398795255
2009-07-17,0.3230053262081291
2009-07-20,0.37114367825217126
2009-07-21,0.3443094432482314
2009-07-22,0.3873649536283602
2009-07-23,0.3858812583590161
2009-07-24,0.37372788743938257
2009-07-27,0.4324137303104798
2009-07-28,0.39085002030552
2009-07-29,0.42516510977568867
2009-07-30,0.46287710001806465
2009-07-31,0.4277470910920031
2009-08-03,0.3855873111884
2009-08-04,0.35333611218626254
2009-08-05,0.34089564016571317
2009-08-06,0.3446743241594478
2009-08-07,0.33063803897709654
2009-08-10,0.33428537984314644
2009-08-11,0.30350151023604427
2009-08-12,0.38705186216498433
2009-08-13,0.44643183618745813
2009-08-14,0.39214495126911597
2009-08-17,0.4224997261474422
2009-08-18,0.47460358149924925
2009-08-19,0.40749101494044615
2009-08-20,0.4302993358785973
2009-08-21,0.3637901440334337
2009-08-24,0.30355466130114017
2009-08-25,0.3392056900875714
2009-08-26,0.2789921675191816
2009-08-27,0.23454711047720517
2009-08-28,0.36112018904447074
2009-08-31,0.3891747109366713
2009-09-01,0.40439161300974075
2009-09-02,0.38237955623122305
2009-09-03,0.40536815197233217
2009-09-04,0.3450924803950708
2009-09-07,0.29211586184451405
2009-09-08,0.33274692133701933
2009-09-09,0.3666411700623508
2009-09-10,0.3039300850246124
2009-09-11,0.32802868727588064
2009-09-14,0.28314057357780914
2009-09-15,0.2645115578779559
2009-09-16,0.261909707796704
2009-09-17,0.23243732652546273
2009-09-18,0.24237905664889503
2009-09-21,0.26565893123270173
2009-09-22,0.2728693952882423
2009-09-23,0.28375625581570807
2009-09-24,0.3263966234832053
2009-09-25,0.2929821936256172
2009-09-28,0.28235757934161243
2009-09-29,0.31737301844063415
2009-09-30,0.34961676530513247
2009-10-09,0.3760594450249623
2009-10-12,0.34561547962124334
2009-10-13,0.3157165767604607
2009-10-14,0.3576748034753827
2009-10-15,0.3026674084267854
2009-10-16,0.2502936685069893
2009-10-19,0.2816774316109422
2009-10-20,0.26167436334719374
2009-10-21,0.24007715144753516
2009-10-22,0.20622273657972046
2009-10-23,0.2490324529441749
2009-10-26,0.21109361753663558
2009-10-27,0.1704988793890595
2009-10-28,0.17501696875235678
2009-10-29,0.18214729276220173
2009-10-30,0.32144130379424496
2009-11-02,0.32945578626960587
2009-11-03,0.2771413071227981
2009-11-04,0.2879091085146214
2009-11-05,0.27870492322568813
2009-11-06,0.27710109622411694
2009-11-09,0.28610079575596814
2009-11-10,0.3145804453885898
2009-11-11,0.28710132763619717
2009-11-12,0.28208764223705596
2009-11-13,0.31866749388205284
2009-11-16,0.33831998590728624
2009-11-17,0.3113950003942907
2009-11-18,0.2805080408789914
2009-11-19,0.26555278080547473
2009-11-20,0.2623282244624758
2009-11-23,0.26488500792569314
2009-11-24,0.33126197676093
2009-11-25,0.34695463717210967
2009-11-26,0.30776634425723043
2009-11-27,0.3143493699087935
